REG_NO,ACC_NO,PROGRAM,HIGH_SCHOOL,DISTRICT,SCHOOL_TIER,OWNERSHIP
M24B06/005,A10075,Bachelor of Divinity,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
M24B06/008,A10101,Bachelor of Divinity,Kakumiro Secondary School,Kakumiro,Tier 2,Public/Mixed
M25B06/001,A10022,Bachelor of Divinity,Kalungu Secondary School,Kalungu,Tier 2,Public/Mixed
M25B06/004,A10029,Bachelor of Divinity,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
M25B06/006,A10070,Bachelor of Divinity,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed
M25B06/008,A10086,Bachelor of Divinity,Kumi Secondary School,Kumi,Tier 2,Public/Mixed
M25B06/010,A10111,Bachelor of Divinity,Trinity College Nabbingo,Kampala,Tier 1,Private/Faith-based
S23B06/002,A10003,Bachelor of Divinity,Namasagali College,Kamuli,Tier 1,Private/Faith-based
S23B06/004,A10023,Bachelor of Divinity,Iganga Secondary School,Iganga,Tier 2,Public/Mixed
S23B06/007,A10044,Bachelor of Divinity,Kamuli Secondary School,Kamuli,Tier 2,Public/Mixed
S23B06/009,A10071,Bachelor of Divinity,Mpigi Secondary School,Mpigi,Tier 2,Public/Mixed
S23B06/011,A10091,Bachelor of Divinity,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
S23B06/013,A10104,Bachelor of Divinity,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
S24B06/003,A10015,Bachelor of Divinity,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
S24B06/005,A10020,Bachelor of Divinity,Masaka Secondary School,Masaka,Tier 2,Public/Mixed
S24B06/007,A10045,Bachelor of Divinity,St. Joseph's Layibi,Gulu,Tier 2,Private/Faith-based
S24B06/009,A10062,Bachelor of Divinity,Lubiri Secondary School,Kampala,Tier 2,Public/Mixed
S24B06/011,A10068,Bachelor of Divinity,St. Joseph's Layibi,Gulu,Tier 2,Private/Faith-based
S24B06/014,A10096,Bachelor of Divinity,Jinja Secondary School,Jinja,Tier 2,Public/Mixed
S25B06/001,A10013,Bachelor of Divinity,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
S25B06/003,A10034,Bachelor of Divinity,Bukomansimbi Secondary School,Bukomansimbi,Tier 2,Public/Mixed
S25B06/005,A10063,Bachelor of Divinity,Trinity College Nabbingo,Kampala,Tier 1,Private/Faith-based
S25B06/007,A10072,Bachelor of Divinity,Duhaga Secondary School,Hoima,Tier 2,Public/Mixed
S25B06/009,A10093,Bachelor of Divinity,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based
S25B06/011,A10108,Bachelor of Divinity,Fort Portal Secondary School,Fort Portal,Tier 2,Public/Mixed
J24P05/002,A10129,Doctor of Ministry,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
J24P05/004,A10133,Doctor of Ministry,St. Mary's College Rushoroza,Kabarole,Tier 2,Private/Faith-based
J25P05/002,A10134,Doctor of Ministry,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based
KJ24P05/001,A10128,Doctor of Ministry,Mubende Secondary School,Mubende,Tier 2,Public/Mixed
KM25P05/001,A10120,Doctor of Ministry,Trinity College Nabbingo,Kampala,Tier 1,Private/Faith-based
KS24P05/001,A10117,Doctor of Ministry,Ntare School Mbarara,Mbarara,Tier 1,Public/Mixed
KS25P05/003,A10127,Doctor of Ministry,Kiira College Butiki,Jinja,Tier 2,Private/Faith-based
M24P05/002,A10125,Doctor of Ministry,Tororo Girls School,Tororo,Tier 2,Private/Faith-based
M24P05/004,A10139,Doctor of Ministry,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
M25P05/003,A10124,Doctor of Ministry,St. Lawrence Schools,Kampala,Tier 2,Private/Faith-based
S24P05/003,A10132,Doctor of Ministry,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based
S25P05/001,A10118,Doctor of Ministry,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
S25P05/004,A10131,Doctor of Ministry,Mbarara High School,Mbarara,Tier 1,Private/Faith-based
J24M02/001,A10142,Master of Arts in Theology,Hoima Secondary School,Hoima,Tier 2,Public/Mixed
J24M02/003,A10158,Master of Arts in Theology,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based
J24M02/005,A10176,Master of Arts in Theology,St. Peter's College Tororo,Tororo,Tier 2,Private/Faith-based
J24M02/007,A10180,Master of Arts in Theology,Jinja Secondary School,Jinja,Tier 2,Public/Mixed
J25M02/004,A10166,Master of Arts in Theology,Sembabule Secondary School,Sembabule,Tier 2,Public/Mixed
J25M02/006,A10169,Master of Arts in Theology,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
J25M02/008,A10185,Master of Arts in Theology,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
KJ25M02/003,A10157,Master of Arts in Theology,Pallisa Secondary School,Pallisa,Tier 2,Public/Mixed
KM24M02/005,A10160,Master of Arts in Theology,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based
KM25M02/008,A10181,Master of Arts in Theology,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed
KS24M02/006,A10182,Master of Arts in Theology,Muni Girls School,Arua,Tier 2,Private/Faith-based
M24M02/002,A10149,Master of Arts in Theology,Kyegegwa Secondary School,Kyegegwa,Tier 2,Public/Mixed
M24M02/004,A10159,Master of Arts in Theology,Hoima Secondary School,Hoima,Tier 2,Public/Mixed
M24M02/007,A10162,Master of Arts in Theology,St. Mary's College Rushoroza,Kabarole,Tier 2,Private/Faith-based
M24M02/009,A10174,Master of Arts in Theology,Kiira College Butiki,Jinja,Tier 2,Private/Faith-based
M25M02/002,A10151,Master of Arts in Theology,Lira Town College,Lira,Tier 2,Private/Faith-based
M25M02/004,A10163,Master of Arts in Theology,St. Lawrence Schools,Kampala,Tier 2,Private/Faith-based
M25M02/007,A10177,Master of Arts in Theology,Arua Public Secondary School,Arua,Tier 2,Public/Mixed
S24M02/002,A10147,Master of Arts in Theology,St. Lawrence Schools,Kampala,Tier 2,Private/Faith-based
S24M02/004,A10155,Master of Arts in Theology,Butambala Secondary School,Butambala,Tier 2,Public/Mixed
S25M02/001,A10143,Master of Arts in Theology,Bukomansimbi Secondary School,Bukomansimbi,Tier 2,Public/Mixed
S25M02/003,A10173,Master of Arts in Theology,Gulu High School,Gulu,Tier 2,Private/Faith-based
S25M02/005,A10183,Master of Arts in Theology,Ntare School,Kampala,Tier 1,Public/Mixed
J24M03/001,A10209,Master of Divinity,Namagunga Girls School,Kampala,Tier 1,Private/Faith-based
J24M03/003,A10219,Master of Divinity,St. Leo's College Fort Portal,Fort Portal,Tier 2,Private/Faith-based
J25M03/002,A10193,Master of Divinity,Trinity College Nabbingo,Kampala,Tier 1,Private/Faith-based
J25M03/005,A10206,Master of Divinity,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
J25M03/010,A10230,Master of Divinity,King's College Budo,Kampala,Tier 1,Private/Faith-based
KJ25M03/006,A10213,Master of Divinity,Jinja Secondary School,Jinja,Tier 2,Public/Mixed
KJ25M03/009,A10228,Master of Divinity,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed
KM24M03/009,A10221,Master of Divinity,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
KS25M03/013,A10231,Master of Divinity,St. Mary's College Rushoroza,Kabarole,Tier 2,Private/Faith-based
M24M03/002,A10189,Master of Divinity,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
M24M03/004,A10191,Master of Divinity,Nabumali High School,Mbale,Tier 1,Private/Faith-based
M24M03/007,A10211,Master of Divinity,St. Joseph's Layibi,Gulu,Tier 2,Private/Faith-based
M25M03/001,A10201,Master of Divinity,Nabisunsa Girls School,Kampala,Tier 1,Private/Faith-based
M25M03/003,A10214,Master of Divinity,Muni Girls School,Arua,Tier 2,Private/Faith-based
S24M03/002,A10204,Master of Divinity,Ntare School Mbarara,Mbarara,Tier 1,Public/Mixed
S24M03/004,A10208,Master of Divinity,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
S24M03/006,A10216,Master of Divinity,Bukomansimbi Secondary School,Bukomansimbi,Tier 2,Public/Mixed
S25M03/001,A10194,Master of Divinity,Namagunga Girls School,Kampala,Tier 1,Private/Faith-based
S25M03/003,A10197,Master of Divinity,St. Joseph's Layibi,Gulu,Tier 2,Private/Faith-based
S25M03/005,A10205,Master of Divinity,Mbarara High School,Mbarara,Tier 1,Private/Faith-based
S25M03/008,A10220,Master of Divinity,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based
S25M03/010,A10224,Master of Divinity,Jinja Secondary School,Jinja,Tier 2,Public/Mixed
S25M03/012,A10229,Master of Divinity,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
J24M01/001,A10233,Master of Theological Studies,Lira Town College,Lira,Tier 2,Private/Faith-based
J24M01/003,A10241,Master of Theological Studies,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed
J24M01/005,A10262,Master of Theological Studies,Hoima Secondary School,Hoima,Tier 2,Public/Mixed
J24M01/007,A10267,Master of Theological Studies,St. Leo's College Fort Portal,Fort Portal,Tier 2,Private/Faith-based
J25M01/002,A10249,Master of Theological Studies,Kyenjojo Secondary School,Kyenjojo,Tier 2,Public/Mixed
J25M01/004,A10255,Master of Theological Studies,Bundibugyo Secondary School,Bundibugyo,Tier 2,Public/Mixed
J25M01/007,A10266,Master of Theological Studies,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based
KM25M01/006,A10273,Master of Theological Studies,Jinja Secondary School,Jinja,Tier 2,Public/Mixed
KS25M01/003,A10243,Master of Theological Studies,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
KS25M01/011,A10274,Master of Theological Studies,Jinja Secondary School,Jinja,Tier 2,Public/Mixed
M24M01/002,A10235,Master of Theological Studies,Kyenjojo Secondary School,Kyenjojo,Tier 2,Public/Mixed
M24M01/004,A10239,Master of Theological Studies,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed
M24M01/006,A10265,Master of Theological Studies,King's College Budo,Kampala,Tier 1,Private/Faith-based
M25M01/001,A10244,Master of Theological Studies,Seeta High School,Kampala,Tier 2,Private/Faith-based
M25M01/003,A10246,Master of Theological Studies,Kakumiro Secondary School,Kakumiro,Tier 2,Public/Mixed
M25M01/005,A10272,Master of Theological Studies,Tororo Girls School,Tororo,Tier 2,Private/Faith-based
S24M01/001,A10242,Master of Theological Studies,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based
S24M01/004,A10256,Master of Theological Studies,Masaka Secondary School,Masaka,Tier 2,Public/Mixed
S25M01/001,A10234,Master of Theological Studies,Kiira College Butiki,Jinja,Tier 2,Private/Faith-based
S25M01/004,A10247,Master of Theological Studies,Namagunga Girls School,Kampala,Tier 1,Private/Faith-based
S25M01/006,A10257,Master of Theological Studies,Sembabule Secondary School,Sembabule,Tier 2,Public/Mixed
S25M01/008,A10268,Master of Theological Studies,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
J24P04/002,A10283,PhD in Theology,Mityana Secondary School,Mityana,Tier 2,Public/Mixed
J24P04/004,A10289,PhD in Theology,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
J25P04/001,A10279,PhD in Theology,St. Peter's College Tororo,Tororo,Tier 2,Private/Faith-based
J25P04/003,A10285,PhD in Theology,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based
J25P04/005,A10298,PhD in Theology,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
KM24P04/003,A10299,PhD in Theology,Mbarara High School,Mbarara,Tier 1,Private/Faith-based
KS25P04/003,A10293,PhD in Theology,Lyantonde Secondary School,Lyantonde,Tier 2,Public/Mixed
M24P04/002,A10277,PhD in Theology,Ntare School Mbarara,Mbarara,Tier 1,Public/Mixed
M25P04/002,A10282,PhD in Theology,Lwengo Secondary School,Lwengo,Tier 2,Public/Mixed
M25P04/004,A10291,PhD in Theology,Trinity College Nabbingo,Kampala,Tier 1,Private/Faith-based
S24P04/001,A10284,PhD in Theology,Bundibugyo Secondary School,Bundibugyo,Tier 2,Public/Mixed
S24P04/004,A10297,PhD in Theology,Kasese Secondary School,Kasese,Tier 2,Public/Mixed
S25P04/002,A10290,PhD in Theology,Nabisunsa Girls School,Kampala,Tier 1,Private/Faith-based
J23B39/001,A10312,Bachelor of Science in Agricultural Science and Entrepreneurship,St. Mary's College Rushoroza,Kabarole,Tier 2,Private/Faith-based
J23B39/003,A10323,Bachelor of Science in Agricultural Science and Entrepreneurship,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based
J23B39/006,A10340,Bachelor of Science in Agricultural Science and Entrepreneurship,King's College Budo,Kampala,Tier 1,Private/Faith-based
J23B39/008,A10350,Bachelor of Science in Agricultural Science and Entrepreneurship,Gayaza High School,Kampala,Tier 1,Private/Faith-based
J23B39/010,A10365,Bachelor of Science in Agricultural Science and Entrepreneurship,Ntare School Mbarara,Mbarara,Tier 1,Public/Mixed
J23B39/012,A10373,Bachelor of Science in Agricultural Science and Entrepreneurship,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
J23B39/014,A10392,Bachelor of Science in Agricultural Science and Entrepreneurship,Arua Public Secondary School,Arua,Tier 2,Public/Mixed
J24B39/001,A10302,Bachelor of Science in Agricultural Science and Entrepreneurship,Kasese Secondary School,Kasese,Tier 2,Public/Mixed
J24B39/003,A10309,Bachelor of Science in Agricultural Science and Entrepreneurship,Nabisunsa Girls School,Kampala,Tier 1,Private/Faith-based
J24B39/006,A10344,Bachelor of Science in Agricultural Science and Entrepreneurship,Masaka Secondary School,Masaka,Tier 2,Public/Mixed
J24B39/008,A10364,Bachelor of Science in Agricultural Science and Entrepreneurship,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
J24B39/010,A10381,Bachelor of Science in Agricultural Science and Entrepreneurship,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
J24B39/013,A10395,Bachelor of Science in Agricultural Science and Entrepreneurship,Kiira College Butiki,Jinja,Tier 2,Private/Faith-based
J25B39/002,A10317,Bachelor of Science in Agricultural Science and Entrepreneurship,Busoga High School,Iganga,Tier 2,Private/Faith-based
J25B39/004,A10346,Bachelor of Science in Agricultural Science and Entrepreneurship,Ntare School Mbarara,Mbarara,Tier 1,Public/Mixed
J25B39/007,A10383,Bachelor of Science in Agricultural Science and Entrepreneurship,Gayaza High School,Kampala,Tier 1,Private/Faith-based
J25B39/009,A10396,Bachelor of Science in Agricultural Science and Entrepreneurship,Ntare School Mbarara,Mbarara,Tier 1,Public/Mixed
KJ23B39/015,A10401,Bachelor of Science in Agricultural Science and Entrepreneurship,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based
KJ24B39/011,A10384,Bachelor of Science in Agricultural Science and Entrepreneurship,Mubende Secondary School,Mubende,Tier 2,Public/Mixed
KM23B39/002,A10303,Bachelor of Science in Agricultural Science and Entrepreneurship,Fort Portal Secondary School,Fort Portal,Tier 2,Public/Mixed
KM23B39/004,A10328,Bachelor of Science in Agricultural Science and Entrepreneurship,Kumi Secondary School,Kumi,Tier 2,Public/Mixed
KM23B39/010,A10368,Bachelor of Science in Agricultural Science and Entrepreneurship,Mbale Secondary School,Mbale,Tier 2,Public/Mixed
KM24B39/005,A10380,Bachelor of Science in Agricultural Science and Entrepreneurship,Mbale Secondary School,Mbale,Tier 2,Public/Mixed
KM25B39/006,A10335,Bachelor of Science in Agricultural Science and Entrepreneurship,Duhaga Secondary School,Hoima,Tier 2,Public/Mixed
KS24B39/006,A10347,Bachelor of Science in Agricultural Science and Entrepreneurship,Nabumali High School,Mbale,Tier 1,Private/Faith-based
KS25B39/002,A10311,Bachelor of Science in Agricultural Science and Entrepreneurship,St. Mary's College Kisubi,Kampala,Tier 1,Private/Faith-based
KS25B39/006,A10378,Bachelor of Science in Agricultural Science and Entrepreneurship,Kalangala Secondary School,Kalangala,Tier 2,Public/Mixed
M23B39/005,A10341,Bachelor of Science in Agricultural Science and Entrepreneurship,Jinja Secondary School,Jinja,Tier 2,Public/Mixed
M23B39/008,A10360,Bachelor of Science in Agricultural Science and Entrepreneurship,King's College Budo,Kampala,Tier 1,Private/Faith-based
M23B39/012,A10390,Bachelor of Science in Agricultural Science and Entrepreneurship,St. Mary's College Kisubi,Kampala,Tier 1,Private/Faith-based
M23B39/014,A10405,Bachelor of Science in Agricultural Science and Entrepreneurship,Tororo Girls School,Tororo,Tier 2,Private/Faith-based
M24B39/002,A10348,Bachelor of Science in Agricultural Science and Entrepreneurship,St. Lawrence Schools,Kampala,Tier 2,Private/Faith-based
M24B39/004,A10355,Bachelor of Science in Agricultural Science and Entrepreneurship,St. Mary's College Kisubi,Kampala,Tier 1,Private/Faith-based
M24B39/007,A10389,Bachelor of Science in Agricultural Science and Entrepreneurship,Lyantonde Secondary School,Lyantonde,Tier 2,Public/Mixed
M25B39/001,A10305,Bachelor of Science in Agricultural Science and Entrepreneurship,St. Charles Lwanga Secondary School,Kasese,Tier 2,Private/Faith-based
M25B39/004,A10330,Bachelor of Science in Agricultural Science and Entrepreneurship,Ntare School Mbarara,Mbarara,Tier 1,Public/Mixed
M25B39/007,A10338,Bachelor of Science in Agricultural Science and Entrepreneurship,Mubende Secondary School,Mubende,Tier 2,Public/Mixed
M25B39/009,A10357,Bachelor of Science in Agricultural Science and Entrepreneurship,Kamuli Secondary School,Kamuli,Tier 2,Public/Mixed
M25B39/011,A10376,Bachelor of Science in Agricultural Science and Entrepreneurship,Sembabule Secondary School,Sembabule,Tier 2,Public/Mixed
S23B39/001,A10308,Bachelor of Science in Agricultural Science and Entrepreneurship,Ngora High School,Soroti,Tier 2,Private/Faith-based
S23B39/003,A10315,Bachelor of Science in Agricultural Science and Entrepreneurship,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
S23B39/005,A10321,Bachelor of Science in Agricultural Science and Entrepreneurship,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed
S23B39/007,A10332,Bachelor of Science in Agricultural Science and Entrepreneurship,Ntare School,Kampala,Tier 1,Public/Mixed
S23B39/009,A10343,Bachelor of Science in Agricultural Science and Entrepreneurship,Kamuli Secondary School,Kamuli,Tier 2,Public/Mixed
S23B39/012,A10377,Bachelor of Science in Agricultural Science and Entrepreneurship,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
S24B39/001,A10304,Bachelor of Science in Agricultural Science and Entrepreneurship,Seeta High School,Kampala,Tier 2,Private/Faith-based
S24B39/003,A10336,Bachelor of Science in Agricultural Science and Entrepreneurship,Uganda Martyrs High School,Kampala,Tier 2,Private/Faith-based
S24B39/005,A10345,Bachelor of Science in Agricultural Science and Entrepreneurship,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
S24B39/008,A10382,Bachelor of Science in Agricultural Science and Entrepreneurship,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
S24B39/011,A10404,Bachelor of Science in Agricultural Science and Entrepreneurship,Ntare School,Kampala,Tier 1,Public/Mixed
S25B39/004,A10363,Bachelor of Science in Agricultural Science and Entrepreneurship,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
S25B39/007,A10386,Bachelor of Science in Agricultural Science and Entrepreneurship,Masaka Secondary School,Masaka,Tier 2,Public/Mixed
S25B39/009,A10400,Bachelor of Science in Agricultural Science and Entrepreneurship,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
J23B41/002,A10418,Bachelor of Science in Food Science and Technology,St. Lawrence Schools,Kampala,Tier 2,Private/Faith-based
J23B41/005,A10451,Bachelor of Science in Food Science and Technology,Kumi Secondary School,Kumi,Tier 2,Public/Mixed
J23B41/008,A10464,Bachelor of Science in Food Science and Technology,King's College Budo,Kampala,Tier 1,Private/Faith-based
J23B41/010,A10478,Bachelor of Science in Food Science and Technology,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
J23B41/013,A10506,Bachelor of Science in Food Science and Technology,Ntare School,Kampala,Tier 1,Public/Mixed
J24B41/004,A10437,Bachelor of Science in Food Science and Technology,Jinja Secondary School,Jinja,Tier 2,Public/Mixed
J24B41/007,A10466,Bachelor of Science in Food Science and Technology,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed
J24B41/009,A10510,Bachelor of Science in Food Science and Technology,Butambala Secondary School,Butambala,Tier 2,Public/Mixed
J25B41/002,A10439,Bachelor of Science in Food Science and Technology,Mityana Secondary School,Mityana,Tier 2,Public/Mixed
J25B41/005,A10474,Bachelor of Science in Food Science and Technology,Mbale Secondary School,Mbale,Tier 2,Public/Mixed
J25B41/007,A10483,Bachelor of Science in Food Science and Technology,Sembabule Secondary School,Sembabule,Tier 2,Public/Mixed
J25B41/009,A10496,Bachelor of Science in Food Science and Technology,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
J25B41/011,A10505,Bachelor of Science in Food Science and Technology,Kibale Secondary School,Kibale,Tier 2,Public/Mixed
KJ23B41/003,A10444,Bachelor of Science in Food Science and Technology,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based
KJ23B41/011,A10485,Bachelor of Science in Food Science and Technology,King's College Budo,Kampala,Tier 1,Private/Faith-based
KJ24B41/002,A10423,Bachelor of Science in Food Science and Technology,Muni Girls School,Arua,Tier 2,Private/Faith-based
KJ25B41/004,A10467,Bachelor of Science in Food Science and Technology,Seeta High School,Kampala,Tier 2,Private/Faith-based
KM23B41/004,A10435,Bachelor of Science in Food Science and Technology,Namagunga Girls School,Kampala,Tier 1,Private/Faith-based
KM24B41/010,A10490,Bachelor of Science in Food Science and Technology,Iganga Secondary School,Iganga,Tier 2,Public/Mixed
KM25B41/003,A10415,Bachelor of Science in Food Science and Technology,Bundibugyo Secondary School,Bundibugyo,Tier 2,Public/Mixed
KM25B41/007,A10440,Bachelor of Science in Food Science and Technology,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based
KM25B41/013,A10488,Bachelor of Science in Food Science and Technology,St. Leo's College Fort Portal,Fort Portal,Tier 2,Private/Faith-based
KM25B41/015,A10503,Bachelor of Science in Food Science and Technology,Jinja Secondary School,Jinja,Tier 2,Public/Mixed
KS23B41/007,A10456,Bachelor of Science in Food Science and Technology,Kiira College Butiki,Jinja,Tier 2,Private/Faith-based
KS24B41/006,A10445,Bachelor of Science in Food Science and Technology,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
KS24B41/008,A10457,Bachelor of Science in Food Science and Technology,Masaka Secondary School,Masaka,Tier 2,Public/Mixed
KS25B41/006,A10470,Bachelor of Science in Food Science and Technology,Tororo Girls School,Tororo,Tier 2,Private/Faith-based
M23B41/003,A10422,Bachelor of Science in Food Science and Technology,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
M23B41/006,A10476,Bachelor of Science in Food Science and Technology,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
M23B41/008,A10502,Bachelor of Science in Food Science and Technology,Duhaga Secondary School,Hoima,Tier 2,Public/Mixed
M24B41/002,A10410,Bachelor of Science in Food Science and Technology,Kiira College Butiki,Jinja,Tier 2,Private/Faith-based
M24B41/004,A10431,Bachelor of Science in Food Science and Technology,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed
M24B41/007,A10447,Bachelor of Science in Food Science and Technology,Namagunga Girls School,Kampala,Tier 1,Private/Faith-based
M24B41/009,A10475,Bachelor of Science in Food Science and Technology,Makerere College School,Kampala,Tier 2,Private/Faith-based
M25B41/002,A10414,Bachelor of Science in Food Science and Technology,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
