REG_NO,ACC_NO,PROGRAM,ACADEMIC_YEAR,SEMESTER,SEMESTER_INDEX,COURSES_REGISTERED,TOTAL_CREDITS,QUALITY_POINTS,PASSED_COURSES,FAILED_COURSES,FCW_COUNT,FEX_COUNT,MEX_COUNT,SEMESTER_GPA
J22B45/003,A10840,Bachelor of Science in Computer Science,2023/2024,SEM1,3,6,19,36.0,3,3,0,2,1,1.89
J22B45/003,A10840,Bachelor of Science in Computer Science,2023/2024,SEM2,4,7,20,72.0,5,2,1,1,0,3.6
J22B45/003,A10840,Bachelor of Science in Computer Science,2024/2025,SEM1,5,6,18,43.0,4,2,0,2,0,2.39
J22B45/003,A10840,Bachelor of Science in Computer Science,2024/2025,SEM2,6,7,21,64.5,5,2,0,2,0,3.07
J22B45/003,A10840,Bachelor of Science in Computer Science,2025/2026,SEM1,7,6,18,44.5,5,1,0,1,0,2.47
J22B45/003,A10840,Bachelor of Science in Computer Science,2025/2026,SEM2,8,7,21,48.0,5,2,1,1,0,2.29
J22B45/006,A10913,Bachelor of Science in Computer Science,2022/2023,SEM1,1,6,18,39.5,3,3,1,2,0,2.19
J22B45/006,A10913,Bachelor of Science in Computer Science,2022/2023,SEM2,2,7,22,61.5,6,1,0,1,0,2.8
J22B45/006,A10913,Bachelor of Science in Computer Science,2023/2024,SEM1,3,6,19,44.0,3,3,1,2,0,2.32
J22B45/006,A10913,Bachelor of Science in Computer Science,2023/2024,SEM2,4,7,20,72.0,7,0,0,0,0,3.6
J22B45/006,A10913,Bachelor of Science in Computer Science,2024/2025,SEM1,5,6,18,43.5,4,2,0,2,0,2.42
J22B45/006,A10913,Bachelor of Science in Computer Science,2024/2025,SEM2,6,7,21,39.0,2,5,1,4,0,1.86
J22B45/006,A10913,Bachelor of Science in Computer Science,2025/2026,SEM1,7,6,18,63.5,6,0,0,0,0,3.53
J22B45/006,A10913,Bachelor of Science in Computer Science,2025/2026,SEM2,8,7,21,52.5,5,2,0,2,0,2.5
J22B46/001,A11070,Bachelor of Science in Information Technology,2022/2023,SEM1,1,7,21,68.0,5,2,0,2,0,3.24
J22B46/001,A11070,Bachelor of Science in Information Technology,2022/2023,SEM2,2,6,18,47.5,3,3,0,2,1,2.64
J22B46/001,A11070,Bachelor of Science in Information Technology,2023/2024,SEM1,3,7,21,59.0,5,2,0,2,0,2.81
J22B46/001,A11070,Bachelor of Science in Information Technology,2023/2024,SEM2,4,6,17,57.5,5,1,1,0,0,3.38
J22B46/001,A11070,Bachelor of Science in Information Technology,2024/2025,SEM1,5,7,21,54.5,5,2,0,2,0,2.6
J22B46/001,A11070,Bachelor of Science in Information Technology,2024/2025,SEM2,6,6,18,40.5,2,4,1,2,1,2.25
J22B46/001,A11070,Bachelor of Science in Information Technology,2025/2026,SEM1,7,7,22,60.5,4,3,1,1,1,2.75
J22B46/001,A11070,Bachelor of Science in Information Technology,2025/2026,SEM2,8,6,19,52.0,5,1,0,1,0,2.74
J22B46/003,A11099,Bachelor of Science in Information Technology,2022/2023,SEM1,1,7,21,74.0,6,1,0,1,0,3.52
J22B46/003,A11099,Bachelor of Science in Information Technology,2022/2023,SEM2,2,6,18,66.0,5,1,1,0,0,3.67
J22B46/003,A11099,Bachelor of Science in Information Technology,2023/2024,SEM1,3,7,21,58.0,4,3,2,1,0,2.76
J22B46/003,A11099,Bachelor of Science in Information Technology,2023/2024,SEM2,4,6,17,46.0,4,2,1,1,0,2.71
J22B46/003,A11099,Bachelor of Science in Information Technology,2024/2025,SEM1,5,7,21,70.0,6,1,1,0,0,3.33
J22B46/003,A11099,Bachelor of Science in Information Technology,2024/2025,SEM2,6,6,18,64.5,6,0,0,0,0,3.58
J22B46/003,A11099,Bachelor of Science in Information Technology,2025/2026,SEM1,7,7,22,59.5,4,3,0,3,0,2.7
J22B46/003,A11099,Bachelor of Science in Information Technology,2025/2026,SEM2,8,6,19,47.5,3,3,1,1,1,2.5
J22B46/005,A11119,Bachelor of Science in Information Technology,2022/2023,SEM1,1,7,21,84.0,6,1,0,1,0,4.0
J22B46/005,A11119,Bachelor of Science in Information Technology,2022/2023,SEM2,2,6,18,84.0,6,0,0,0,0,4.67
J22B46/005,A11119,Bachelor of Science in Information Technology,2023/2024,SEM1,3,7,21,97.0,7,0,0,0,0,4.62
J22B46/005,A11119,Bachelor of Science in Information Technology,2023/2024,SEM2,4,6,17,65.5,4,2,1,0,1,3.85
J22B46/005,A11119,Bachelor of Science in Information Technology,2024/2025,SEM1,5,7,21,87.0,6,1,1,0,0,4.14
J22B46/005,A11119,Bachelor of Science in Information Technology,2024/2025,SEM2,6,6,18,86.0,6,0,0,0,0,4.78
J22B46/005,A11119,Bachelor of Science in Information Technology,2025/2026,SEM1,7,7,22,99.5,7,0,0,0,0,4.52
J22B46/005,A11119,Bachelor of Science in Information Technology,2025/2026,SEM2,8,6,19,79.0,6,0,0,0,0,4.16
J22B46/008,A11127,Bachelor of Science in Information Technology,2022/2023,SEM1,1,7,21,69.0,6,1,0,1,0,3.29
J22B46/008,A11127,Bachelor of Science in Information Technology,2022/2023,SEM2,2,6,18,71.0,6,0,0,0,0,3.94
J22B46/008,A11127,Bachelor of Science in Information Technology,2023/2024,SEM1,3,7,21,45.5,4,3,1,2,0,2.17
J22B46/008,A11127,Bachelor of Science in Information Technology,2023/2024,SEM2,4,6,17,51.5,5,1,0,0,1,3.03
J22B46/008,A11127,Bachelor of Science in Information Technology,2024/2025,SEM1,5,7,21,70.5,6,1,0,0,1,3.36
J22B46/008,A11127,Bachelor of Science in Information Technology,2024/2025,SEM2,6,6,18,61.5,5,1,0,1,0,3.42
J22B46/008,A11127,Bachelor of Science in Information Technology,2025/2026,SEM1,7,7,22,84.5,6,1,0,0,1,3.84
J22B46/008,A11127,Bachelor of Science in Information Technology,2025/2026,SEM2,8,6,19,73.5,6,0,0,0,0,3.87
J22B46/011,A11145,Bachelor of Science in Information Technology,2022/2023,SEM1,1,7,21,57.0,4,3,1,2,0,2.71
J22B46/011,A11145,Bachelor of Science in Information Technology,2022/2023,SEM2,2,6,18,36.5,3,3,0,3,0,2.03
J22B46/011,A11145,Bachelor of Science in Information Technology,2023/2024,SEM1,3,7,21,37.5,2,5,0,5,0,1.79
J22B46/011,A11145,Bachelor of Science in Information Technology,2023/2024,SEM2,4,6,17,29.5,2,4,0,3,1,1.74
J22B46/011,A11145,Bachelor of Science in Information Technology,2024/2025,SEM1,5,7,21,49.0,3,4,0,4,0,2.33
J22B46/011,A11145,Bachelor of Science in Information Technology,2024/2025,SEM2,6,6,18,39.0,2,4,0,4,0,2.17
J22B46/011,A11145,Bachelor of Science in Information Technology,2025/2026,SEM1,7,7,22,36.0,1,6,0,6,0,1.64
J22B46/011,A11145,Bachelor of Science in Information Technology,2025/2026,SEM2,8,6,19,37.5,2,4,0,4,0,1.97
J22B49/001,A11824,Bachelor of Visual Art and Design,2022/2023,SEM1,1,6,18,86.0,6,0,0,0,0,4.78
J22B49/001,A11824,Bachelor of Visual Art and Design,2022/2023,SEM2,2,7,22,107.5,7,0,0,0,0,4.89
J22B49/001,A11824,Bachelor of Visual Art and Design,2023/2024,SEM1,3,6,19,60.0,3,3,2,0,1,3.16
J22B49/001,A11824,Bachelor of Visual Art and Design,2023/2024,SEM2,4,7,20,85.5,7,0,0,0,0,4.28
J22B49/001,A11824,Bachelor of Visual Art and Design,2024/2025,SEM1,5,6,18,80.0,6,0,0,0,0,4.44
J22B49/001,A11824,Bachelor of Visual Art and Design,2024/2025,SEM2,6,7,21,64.0,5,2,1,0,1,3.05
J22B49/001,A11824,Bachelor of Visual Art and Design,2025/2026,SEM1,7,6,18,73.0,5,1,1,0,0,4.06
J22B49/001,A11824,Bachelor of Visual Art and Design,2025/2026,SEM2,8,7,21,91.5,7,0,0,0,0,4.36
J22B49/003,A11857,Bachelor of Visual Art and Design,2022/2023,SEM1,1,6,18,55.5,5,1,0,1,0,3.08
J22B49/003,A11857,Bachelor of Visual Art and Design,2022/2023,SEM2,2,7,22,64.5,5,2,0,2,0,2.93
J22B49/003,A11857,Bachelor of Visual Art and Design,2023/2024,SEM1,3,6,19,57.5,5,1,1,0,0,3.03
J22B49/003,A11857,Bachelor of Visual Art and Design,2023/2024,SEM2,4,7,20,66.0,6,1,0,0,1,3.3
J22B49/003,A11857,Bachelor of Visual Art and Design,2024/2025,SEM1,5,6,18,62.5,6,0,0,0,0,3.47
J22B49/003,A11857,Bachelor of Visual Art and Design,2024/2025,SEM2,6,7,21,50.0,3,4,1,3,0,2.38
J22B49/003,A11857,Bachelor of Visual Art and Design,2025/2026,SEM1,7,6,18,55.5,4,2,1,1,0,3.08
J22B49/003,A11857,Bachelor of Visual Art and Design,2025/2026,SEM2,8,7,21,65.5,7,0,0,0,0,3.12
J22B49/006,A11886,Bachelor of Visual Art and Design,2022/2023,SEM1,1,6,18,63.5,5,1,1,0,0,3.53
J22B49/006,A11886,Bachelor of Visual Art and Design,2022/2023,SEM2,2,7,22,64.5,6,1,0,1,0,2.93
J22B49/006,A11886,Bachelor of Visual Art and Design,2023/2024,SEM1,3,6,19,57.0,5,1,0,0,1,3.0
J22B49/006,A11886,Bachelor of Visual Art and Design,2023/2024,SEM2,4,7,20,70.0,7,0,0,0,0,3.5
J22B49/006,A11886,Bachelor of Visual Art and Design,2024/2025,SEM1,5,6,18,76.5,6,0,0,0,0,4.25
J22B49/006,A11886,Bachelor of Visual Art and Design,2024/2025,SEM2,6,7,21,56.0,4,3,1,2,0,2.67
J22B49/006,A11886,Bachelor of Visual Art and Design,2025/2026,SEM1,7,6,18,51.0,4,2,1,1,0,2.83
J22B49/006,A11886,Bachelor of Visual Art and Design,2025/2026,SEM2,8,7,21,78.5,6,1,0,1,0,3.74
J22B49/008,A11921,Bachelor of Visual Art and Design,2022/2023,SEM1,1,6,18,79.0,6,0,0,0,0,4.39
J22B49/008,A11921,Bachelor of Visual Art and Design,2022/2023,SEM2,2,7,22,75.0,6,1,0,0,1,3.41
J22B49/008,A11921,Bachelor of Visual Art and Design,2023/2024,SEM1,3,6,19,57.5,4,2,1,1,0,3.03
J22B49/008,A11921,Bachelor of Visual Art and Design,2023/2024,SEM2,4,7,20,62.0,5,2,2,0,0,3.1
J22B49/008,A11921,Bachelor of Visual Art and Design,2024/2025,SEM1,5,6,18,65.5,6,0,0,0,0,3.64
J22B49/008,A11921,Bachelor of Visual Art and Design,2024/2025,SEM2,6,7,21,86.0,6,1,1,0,0,4.1
J22B49/008,A11921,Bachelor of Visual Art and Design,2025/2026,SEM1,7,6,18,67.5,5,1,1,0,0,3.75
J22B49/008,A11921,Bachelor of Visual Art and Design,2025/2026,SEM2,8,7,21,81.0,7,0,0,0,0,3.86
J22B50/001,A11711,Bachelor of Art in Graphic Design and Animation,2022/2023,SEM1,1,7,21,71.0,7,0,0,0,0,3.38
J22B50/001,A11711,Bachelor of Art in Graphic Design and Animation,2022/2023,SEM2,2,6,18,61.5,4,2,1,1,0,3.42
J22B50/001,A11711,Bachelor of Art in Graphic Design and Animation,2023/2024,SEM1,3,7,21,68.0,5,2,1,1,0,3.24
J22B50/001,A11711,Bachelor of Art in Graphic Design and Animation,2023/2024,SEM2,4,6,17,58.5,6,0,0,0,0,3.44
J22B50/001,A11711,Bachelor of Art in Graphic Design and Animation,2024/2025,SEM1,5,7,21,83.5,6,1,1,0,0,3.98
J22B50/001,A11711,Bachelor of Art in Graphic Design and Animation,2024/2025,SEM2,6,6,18,63.5,5,1,0,1,0,3.53
J22B50/001,A11711,Bachelor of Art in Graphic Design and Animation,2025/2026,SEM1,7,7,22,72.0,6,1,0,1,0,3.27
J22B50/001,A11711,Bachelor of Art in Graphic Design and Animation,2025/2026,SEM2,8,6,19,66.0,5,1,0,1,0,3.47
J22B50/003,A11718,Bachelor of Art in Graphic Design and Animation,2022/2023,SEM1,1,7,21,67.0,5,2,1,1,0,3.19
J22B50/003,A11718,Bachelor of Art in Graphic Design and Animation,2022/2023,SEM2,2,6,18,63.5,6,0,0,0,0,3.53
J22B50/003,A11718,Bachelor of Art in Graphic Design and Animation,2023/2024,SEM1,3,7,21,54.5,5,2,1,1,0,2.6
J22B50/003,A11718,Bachelor of Art in Graphic Design and Animation,2023/2024,SEM2,4,6,17,54.5,6,0,0,0,0,3.21
J22B50/003,A11718,Bachelor of Art in Graphic Design and Animation,2024/2025,SEM1,5,7,21,64.0,5,2,0,2,0,3.05
J22B50/003,A11718,Bachelor of Art in Graphic Design and Animation,2024/2025,SEM2,6,6,18,58.0,5,1,0,1,0,3.22
J22B50/003,A11718,Bachelor of Art in Graphic Design and Animation,2025/2026,SEM1,7,7,22,57.0,4,3,0,3,0,2.59
J22B50/003,A11718,Bachelor of Art in Graphic Design and Animation,2025/2026,SEM2,8,6,19,43.5,3,3,0,3,0,2.29
J22B50/007,A11763,Bachelor of Art in Graphic Design and Animation,2022/2023,SEM1,1,7,21,70.5,7,0,0,0,0,3.36
J22B50/007,A11763,Bachelor of Art in Graphic Design and Animation,2022/2023,SEM2,2,6,18,72.5,6,0,0,0,0,4.03
J22B50/007,A11763,Bachelor of Art in Graphic Design and Animation,2023/2024,SEM1,3,7,21,60.0,5,2,1,1,0,2.86
J22B50/007,A11763,Bachelor of Art in Graphic Design and Animation,2023/2024,SEM2,4,6,17,70.5,6,0,0,0,0,4.15
J22B50/007,A11763,Bachelor of Art in Graphic Design and Animation,2024/2025,SEM1,5,7,21,78.0,6,1,0,1,0,3.71
J22B50/007,A11763,Bachelor of Art in Graphic Design and Animation,2024/2025,SEM2,6,6,18,71.0,6,0,0,0,0,3.94
J22B50/007,A11763,Bachelor of Art in Graphic Design and Animation,2025/2026,SEM1,7,7,22,79.0,7,0,0,0,0,3.59
J22B50/007,A11763,Bachelor of Art in Graphic Design and Animation,2025/2026,SEM2,8,6,19,67.5,5,1,0,1,0,3.55
J22B50/009,A11774,Bachelor of Art in Graphic Design and Animation,2022/2023,SEM1,1,7,21,94.0,7,0,0,0,0,4.48
J22B50/009,A11774,Bachelor of Art in Graphic Design and Animation,2022/2023,SEM2,2,6,18,70.0,5,1,1,0,0,3.89
J22B50/009,A11774,Bachelor of Art in Graphic Design and Animation,2023/2024,SEM1,3,7,21,81.5,5,2,1,1,0,3.88
J22B50/009,A11774,Bachelor of Art in Graphic Design and Animation,2023/2024,SEM2,4,6,17,52.5,4,2,1,1,0,3.09
J22B50/009,A11774,Bachelor of Art in Graphic Design and Animation,2024/2025,SEM1,5,7,21,82.5,7,0,0,0,0,3.93
J22B50/009,A11774,Bachelor of Art in Graphic Design and Animation,2024/2025,SEM2,6,6,18,74.0,6,0,0,0,0,4.11
J22B50/009,A11774,Bachelor of Art in Graphic Design and Animation,2025/2026,SEM1,7,7,22,67.0,5,2,1,0,1,3.05
J22B50/009,A11774,Bachelor of Art in Graphic Design and Animation,2025/2026,SEM2,8,6,19,68.0,5,1,1,0,0,3.58
J22B50/011,A11811,Bachelor of Art in Graphic Design and Animation,2022/2023,SEM1,1,7,21,84.0,6,1,1,0,0,4.0
J22B50/011,A11811,Bachelor of Art in Graphic Design and Animation,2022/2023,SEM2,2,6,18,79.5,6,0,0,0,0,4.42
J22B50/011,A11811,Bachelor of Art in Graphic Design and Animation,2023/2024,SEM1,3,7,21,94.5,7,0,0,0,0,4.5
J22B50/011,A11811,Bachelor of Art in Graphic Design and Animation,2023/2024,SEM2,4,6,17,74.5,6,0,0,0,0,4.38
J22B50/011,A11811,Bachelor of Art in Graphic Design and Animation,2024/2025,SEM1,5,7,21,97.5,7,0,0,0,0,4.64
J22B50/011,A11811,Bachelor of Art in Graphic Design and Animation,2024/2025,SEM2,6,6,18,70.5,6,0,0,0,0,3.92
J22B50/011,A11811,Bachelor of Art in Graphic Design and Animation,2025/2026,SEM1,7,7,22,101.0,7,0,0,0,0,4.59
J22B50/011,A11811,Bachelor of Art in Graphic Design and Animation,2025/2026,SEM2,8,6,19,60.0,4,2,1,1,0,3.16
J22B54/001,A11427,Bachelor of Science in Civil and Environmental Engineering,2022/2023,SEM1,1,6,18,56.5,5,1,0,1,0,3.14
J22B54/001,A11427,Bachelor of Science in Civil and Environmental Engineering,2022/2023,SEM2,2,7,22,86.0,7,0,0,0,0,3.91
J22B54/001,A11427,Bachelor of Science in Civil and Environmental Engineering,2023/2024,SEM1,3,6,19,50.0,5,1,0,1,0,2.63
J22B54/001,A11427,Bachelor of Science in Civil and Environmental Engineering,2023/2024,SEM2,4,7,20,55.0,5,2,1,1,0,2.75
J22B54/001,A11427,Bachelor of Science in Civil and Environmental Engineering,2024/2025,SEM1,5,6,18,51.0,5,1,0,1,0,2.83
J22B54/001,A11427,Bachelor of Science in Civil and Environmental Engineering,2024/2025,SEM2,6,7,21,66.5,6,1,0,1,0,3.17
J22B54/001,A11427,Bachelor of Science in Civil and Environmental Engineering,2025/2026,SEM1,7,6,18,63.0,5,1,0,1,0,3.5
J22B54/001,A11427,Bachelor of Science in Civil and Environmental Engineering,2025/2026,SEM2,8,7,21,61.0,4,3,1,2,0,2.9
J22B54/003,A11467,Bachelor of Science in Civil and Environmental Engineering,2022/2023,SEM1,1,6,18,68.5,5,1,0,1,0,3.81
J22B54/003,A11467,Bachelor of Science in Civil and Environmental Engineering,2022/2023,SEM2,2,7,22,65.0,4,3,2,0,1,2.95
J22B54/003,A11467,Bachelor of Science in Civil and Environmental Engineering,2023/2024,SEM1,3,6,19,63.5,4,2,0,2,0,3.34
J22B54/003,A11467,Bachelor of Science in Civil and Environmental Engineering,2023/2024,SEM2,4,7,20,65.5,7,0,0,0,0,3.28
J22B54/003,A11467,Bachelor of Science in Civil and Environmental Engineering,2024/2025,SEM1,5,6,18,59.5,4,2,1,0,1,3.31
J22B54/003,A11467,Bachelor of Science in Civil and Environmental Engineering,2024/2025,SEM2,6,7,21,69.5,5,2,1,1,0,3.31
J22B54/003,A11467,Bachelor of Science in Civil and Environmental Engineering,2025/2026,SEM1,7,6,18,69.0,5,1,1,0,0,3.83
J22B54/003,A11467,Bachelor of Science in Civil and Environmental Engineering,2025/2026,SEM2,8,7,21,79.0,6,1,0,1,0,3.76
J22B54/005,A11494,Bachelor of Science in Civil and Environmental Engineering,2022/2023,SEM1,1,6,18,67.0,6,0,0,0,0,3.72
J22B54/005,A11494,Bachelor of Science in Civil and Environmental Engineering,2022/2023,SEM2,2,7,22,54.0,5,2,0,2,0,2.45
J22B54/005,A11494,Bachelor of Science in Civil and Environmental Engineering,2023/2024,SEM1,3,6,19,64.0,5,1,0,1,0,3.37
J22B54/005,A11494,Bachelor of Science in Civil and Environmental Engineering,2023/2024,SEM2,4,7,20,43.0,3,4,1,3,0,2.15
J22B54/005,A11494,Bachelor of Science in Civil and Environmental Engineering,2024/2025,SEM1,5,6,18,42.5,3,3,0,2,1,2.36
J22B54/005,A11494,Bachelor of Science in Civil and Environmental Engineering,2024/2025,SEM2,6,7,21,60.5,6,1,0,1,0,2.88
J22B54/005,A11494,Bachelor of Science in Civil and Environmental Engineering,2025/2026,SEM1,7,6,18,69.5,6,0,0,0,0,3.86
J22B54/005,A11494,Bachelor of Science in Civil and Environmental Engineering,2025/2026,SEM2,8,7,21,52.0,5,2,1,1,0,2.48
J22B54/007,A11507,Bachelor of Science in Civil and Environmental Engineering,2022/2023,SEM1,1,6,18,62.5,5,1,0,1,0,3.47
J22B54/007,A11507,Bachelor of Science in Civil and Environmental Engineering,2022/2023,SEM2,2,7,22,100.5,7,0,0,0,0,4.57
J22B54/007,A11507,Bachelor of Science in Civil and Environmental Engineering,2023/2024,SEM1,3,6,19,66.5,5,1,1,0,0,3.5
J22B54/007,A11507,Bachelor of Science in Civil and Environmental Engineering,2023/2024,SEM2,4,7,20,87.5,7,0,0,0,0,4.38
J22B54/007,A11507,Bachelor of Science in Civil and Environmental Engineering,2024/2025,SEM1,5,6,18,59.5,4,2,0,1,1,3.31
J22B54/007,A11507,Bachelor of Science in Civil and Environmental Engineering,2024/2025,SEM2,6,7,21,68.0,5,2,2,0,0,3.24
J22B54/007,A11507,Bachelor of Science in Civil and Environmental Engineering,2025/2026,SEM1,7,6,18,83.0,6,0,0,0,0,4.61
J22B54/007,A11507,Bachelor of Science in Civil and Environmental Engineering,2025/2026,SEM2,8,7,21,93.5,7,0,0,0,0,4.45
J22B55/001,A11309,Bachelor of Electronics and Communication Science,2022/2023,SEM1,1,6,18,47.5,5,1,0,1,0,2.64
J22B55/001,A11309,Bachelor of Electronics and Communication Science,2022/2023,SEM2,2,7,22,57.0,3,4,2,2,0,2.59
J22B55/001,A11309,Bachelor of Electronics and Communication Science,2023/2024,SEM1,3,6,19,65.0,5,1,0,1,0,3.42
J22B55/001,A11309,Bachelor of Electronics and Communication Science,2023/2024,SEM2,4,7,20,62.0,7,0,0,0,0,3.1
J22B55/001,A11309,Bachelor of Electronics and Communication Science,2024/2025,SEM1,5,6,18,57.0,5,1,0,1,0,3.17
J22B55/001,A11309,Bachelor of Electronics and Communication Science,2024/2025,SEM2,6,7,21,53.5,6,1,0,1,0,2.55
