REG_NO,ACC_NO,PROGRAM,ACADEMIC_YEAR,SEMESTER,SEMESTER_INDEX,CREDITS_ATTEMPTED,QUALITY_POINTS,COURSES_COUNT,PASSED_COURSES,FAILED_COURSES,FCW_COUNT,FEX_COUNT,MEX_COUNT,CREDITS_PASSED,CREDITS_FAILED,SEMESTER_GPA,CUM_CREDITS_ATTEMPTED,CUM_CREDITS_PASSED,CUM_QUALITY_POINTS,CGPA
J22B44/007,A10985,Bachelor of Science in Data Science and Analytics,2024/2025,SEM2,6,21,73.0,7,6,1,0,1,0,19.0,2.0,3.48,118,99.0,392.5,3.33
J22B44/007,A10985,Bachelor of Science in Data Science and Analytics,2025/2026,SEM1,7,18,64.5,6,6,0,0,0,0,18.0,0.0,3.58,136,117.0,457.0,3.36
J22B44/007,A10985,Bachelor of Science in Data Science and Analytics,2025/2026,SEM2,8,21,79.0,7,7,0,0,0,0,21.0,0.0,3.76,157,138.0,536.0,3.41
J22B44/009,A11001,Bachelor of Science in Data Science and Analytics,2022/2023,SEM1,1,18,47.5,6,4,2,0,2,0,13.0,5.0,2.64,18,13.0,47.5,2.64
J22B44/009,A11001,Bachelor of Science in Data Science and Analytics,2022/2023,SEM2,2,22,52.0,7,4,3,0,3,0,12.0,10.0,2.36,40,25.0,99.5,2.49
J22B44/009,A11001,Bachelor of Science in Data Science and Analytics,2023/2024,SEM1,3,19,43.0,6,3,3,1,2,0,10.0,9.0,2.26,59,35.0,142.5,2.42
J22B44/009,A11001,Bachelor of Science in Data Science and Analytics,2023/2024,SEM2,4,20,60.5,7,5,2,1,1,0,15.0,5.0,3.02,79,50.0,203.0,2.57
J22B44/009,A11001,Bachelor of Science in Data Science and Analytics,2024/2025,SEM1,5,18,51.0,6,4,2,1,1,0,13.0,5.0,2.83,97,63.0,254.0,2.62
J22B44/009,A11001,Bachelor of Science in Data Science and Analytics,2024/2025,SEM2,6,21,50.5,7,3,4,1,3,0,10.0,11.0,2.4,118,73.0,304.5,2.58
J22B44/009,A11001,Bachelor of Science in Data Science and Analytics,2025/2026,SEM1,7,18,38.0,6,2,4,0,4,0,7.0,11.0,2.11,136,80.0,342.5,2.52
J22B44/009,A11001,Bachelor of Science in Data Science and Analytics,2025/2026,SEM2,8,21,63.5,7,4,3,1,1,1,14.0,7.0,3.02,157,94.0,406.0,2.59
J22B44/011,A11016,Bachelor of Science in Data Science and Analytics,2022/2023,SEM1,1,18,68.5,6,5,1,1,0,0,15.0,3.0,3.81,18,15.0,68.5,3.81
J22B44/011,A11016,Bachelor of Science in Data Science and Analytics,2022/2023,SEM2,2,22,84.0,7,6,1,1,0,0,18.0,4.0,3.82,40,33.0,152.5,3.81
J22B44/011,A11016,Bachelor of Science in Data Science and Analytics,2023/2024,SEM1,3,19,86.0,6,6,0,0,0,0,19.0,0.0,4.53,59,52.0,238.5,4.04
J22B44/011,A11016,Bachelor of Science in Data Science and Analytics,2023/2024,SEM2,4,20,82.0,7,7,0,0,0,0,20.0,0.0,4.1,79,72.0,320.5,4.06
J22B44/011,A11016,Bachelor of Science in Data Science and Analytics,2024/2025,SEM1,5,18,78.0,6,6,0,0,0,0,18.0,0.0,4.33,97,90.0,398.5,4.11
J22B44/011,A11016,Bachelor of Science in Data Science and Analytics,2024/2025,SEM2,6,21,82.0,7,6,1,0,0,1,18.0,3.0,3.9,118,108.0,480.5,4.07
J22B44/011,A11016,Bachelor of Science in Data Science and Analytics,2025/2026,SEM1,7,18,78.0,6,6,0,0,0,0,18.0,0.0,4.33,136,126.0,558.5,4.11
J22B44/011,A11016,Bachelor of Science in Data Science and Analytics,2025/2026,SEM2,8,21,82.5,7,6,1,0,0,1,19.0,2.0,3.93,157,145.0,641.0,4.08
J22B44/013,A11034,Bachelor of Science in Data Science and Analytics,2022/2023,SEM1,1,18,73.5,6,6,0,0,0,0,18.0,0.0,4.08,18,18.0,73.5,4.08
J22B44/013,A11034,Bachelor of Science in Data Science and Analytics,2022/2023,SEM2,2,22,67.5,7,5,2,2,0,0,15.0,7.0,3.07,40,33.0,141.0,3.52
J22B44/013,A11034,Bachelor of Science in Data Science and Analytics,2023/2024,SEM1,3,19,68.0,6,5,1,1,0,0,15.0,4.0,3.58,59,48.0,209.0,3.54
J22B44/013,A11034,Bachelor of Science in Data Science and Analytics,2023/2024,SEM2,4,20,65.0,7,6,1,1,0,0,18.0,2.0,3.25,79,66.0,274.0,3.47
J22B44/013,A11034,Bachelor of Science in Data Science and Analytics,2024/2025,SEM1,5,18,57.0,6,4,2,0,1,1,11.0,7.0,3.17,97,77.0,331.0,3.41
J22B44/013,A11034,Bachelor of Science in Data Science and Analytics,2024/2025,SEM2,6,21,76.5,7,6,1,0,0,1,18.0,3.0,3.64,118,95.0,407.5,3.45
J22B44/013,A11034,Bachelor of Science in Data Science and Analytics,2025/2026,SEM1,7,18,70.5,6,5,1,0,0,1,15.0,3.0,3.92,136,110.0,478.0,3.51
J22B44/013,A11034,Bachelor of Science in Data Science and Analytics,2025/2026,SEM2,8,21,78.0,7,7,0,0,0,0,21.0,0.0,3.71,157,131.0,556.0,3.54
J22B45/002,A10822,Bachelor of Science in Computer Science,2022/2023,SEM1,1,18,68.0,6,6,0,0,0,0,18.0,0.0,3.78,18,18.0,68.0,3.78
J22B45/002,A10822,Bachelor of Science in Computer Science,2022/2023,SEM2,2,22,86.5,7,6,1,0,1,0,18.0,4.0,3.93,40,36.0,154.5,3.86
J22B45/002,A10822,Bachelor of Science in Computer Science,2023/2024,SEM1,3,19,58.5,6,4,2,0,2,0,12.0,7.0,3.08,59,48.0,213.0,3.61
J22B45/002,A10822,Bachelor of Science in Computer Science,2023/2024,SEM2,4,20,72.0,7,6,1,0,1,0,18.0,2.0,3.6,79,66.0,285.0,3.61
J22B45/002,A10822,Bachelor of Science in Computer Science,2024/2025,SEM1,5,18,67.5,6,5,1,0,1,0,15.0,3.0,3.75,97,81.0,352.5,3.63
J22B45/002,A10822,Bachelor of Science in Computer Science,2024/2025,SEM2,6,21,74.0,7,7,0,0,0,0,21.0,0.0,3.52,118,102.0,426.5,3.61
J22B45/002,A10822,Bachelor of Science in Computer Science,2025/2026,SEM1,7,18,63.5,6,6,0,0,0,0,18.0,0.0,3.53,136,120.0,490.0,3.6
J22B45/002,A10822,Bachelor of Science in Computer Science,2025/2026,SEM2,8,21,82.0,7,7,0,0,0,0,21.0,0.0,3.9,157,141.0,572.0,3.64
J22B45/005,A10890,Bachelor of Science in Computer Science,2022/2023,SEM1,1,18,69.0,6,5,1,0,0,1,15.0,3.0,3.83,18,15.0,69.0,3.83
J22B45/005,A10890,Bachelor of Science in Computer Science,2022/2023,SEM2,2,22,54.0,7,4,3,1,1,1,12.0,10.0,2.45,40,27.0,123.0,3.08
J22B45/005,A10890,Bachelor of Science in Computer Science,2023/2024,SEM1,3,19,56.5,6,6,0,0,0,0,19.0,0.0,2.97,59,46.0,179.5,3.04
J22B45/005,A10890,Bachelor of Science in Computer Science,2023/2024,SEM2,4,20,54.0,7,4,3,0,2,1,11.0,9.0,2.7,79,57.0,233.5,2.96
J22B45/005,A10890,Bachelor of Science in Computer Science,2024/2025,SEM1,5,18,45.5,6,4,2,0,2,0,12.0,6.0,2.53,97,69.0,279.0,2.88
J22B45/005,A10890,Bachelor of Science in Computer Science,2024/2025,SEM2,6,21,60.5,7,6,1,0,1,0,19.0,2.0,2.88,118,88.0,339.5,2.88
J22B45/005,A10890,Bachelor of Science in Computer Science,2025/2026,SEM1,7,18,67.0,6,6,0,0,0,0,18.0,0.0,3.72,136,106.0,406.5,2.99
J22B45/005,A10890,Bachelor of Science in Computer Science,2025/2026,SEM2,8,21,74.5,7,6,1,0,1,0,19.0,2.0,3.55,157,125.0,481.0,3.06
J22B45/007,A10914,Bachelor of Science in Computer Science,2022/2023,SEM1,1,18,74.0,6,6,0,0,0,0,18.0,0.0,4.11,18,18.0,74.0,4.11
J22B45/007,A10914,Bachelor of Science in Computer Science,2022/2023,SEM2,2,22,64.0,7,6,1,0,1,0,18.0,4.0,2.91,40,36.0,138.0,3.45
J22B45/007,A10914,Bachelor of Science in Computer Science,2023/2024,SEM1,3,19,49.0,6,3,3,1,2,0,9.0,10.0,2.58,59,45.0,187.0,3.17
J22B45/007,A10914,Bachelor of Science in Computer Science,2023/2024,SEM2,4,20,71.0,7,7,0,0,0,0,20.0,0.0,3.55,79,65.0,258.0,3.27
J22B45/007,A10914,Bachelor of Science in Computer Science,2024/2025,SEM1,5,18,63.0,6,5,1,0,1,0,15.0,3.0,3.5,97,80.0,321.0,3.31
J22B45/007,A10914,Bachelor of Science in Computer Science,2024/2025,SEM2,6,21,49.5,7,5,2,1,1,0,14.0,7.0,2.36,118,94.0,370.5,3.14
J22B45/007,A10914,Bachelor of Science in Computer Science,2025/2026,SEM1,7,18,66.5,6,6,0,0,0,0,18.0,0.0,3.69,136,112.0,437.0,3.21
J22B45/007,A10914,Bachelor of Science in Computer Science,2025/2026,SEM2,8,21,70.0,7,6,1,0,1,0,18.0,3.0,3.33,157,130.0,507.0,3.23
J22B46/002,A11090,Bachelor of Science in Information Technology,2022/2023,SEM1,1,21,73.5,7,6,1,0,0,1,18.0,3.0,3.5,21,18.0,73.5,3.5
J22B46/002,A11090,Bachelor of Science in Information Technology,2022/2023,SEM2,2,18,68.5,6,5,1,0,0,1,15.0,3.0,3.81,39,33.0,142.0,3.64
J22B46/002,A11090,Bachelor of Science in Information Technology,2023/2024,SEM1,3,21,62.0,7,4,3,1,1,1,11.0,10.0,2.95,60,44.0,204.0,3.4
J22B46/002,A11090,Bachelor of Science in Information Technology,2023/2024,SEM2,4,17,72.5,6,6,0,0,0,0,17.0,0.0,4.26,77,61.0,276.5,3.59
J22B46/002,A11090,Bachelor of Science in Information Technology,2024/2025,SEM1,5,21,72.5,7,6,1,0,0,1,18.0,3.0,3.45,98,79.0,349.0,3.56
J22B46/002,A11090,Bachelor of Science in Information Technology,2024/2025,SEM2,6,18,55.5,6,5,1,0,1,0,15.0,3.0,3.08,116,94.0,404.5,3.49
J22B46/002,A11090,Bachelor of Science in Information Technology,2025/2026,SEM1,7,22,89.5,7,7,0,0,0,0,22.0,0.0,4.07,138,116.0,494.0,3.58
J22B46/002,A11090,Bachelor of Science in Information Technology,2025/2026,SEM2,8,19,60.5,6,4,2,1,0,1,14.0,5.0,3.18,157,130.0,554.5,3.53
J22B46/004,A11114,Bachelor of Science in Information Technology,2022/2023,SEM1,1,21,56.0,7,5,2,0,1,1,14.0,7.0,2.67,21,14.0,56.0,2.67
J22B46/004,A11114,Bachelor of Science in Information Technology,2022/2023,SEM2,2,18,44.5,6,3,3,1,2,0,9.0,9.0,2.47,39,23.0,100.5,2.58
J22B46/004,A11114,Bachelor of Science in Information Technology,2023/2024,SEM1,3,21,46.0,7,3,4,0,2,2,9.0,12.0,2.19,60,32.0,146.5,2.44
J22B46/004,A11114,Bachelor of Science in Information Technology,2023/2024,SEM2,4,17,51.0,6,4,2,0,1,1,12.0,5.0,3.0,77,44.0,197.5,2.56
J22B46/004,A11114,Bachelor of Science in Information Technology,2024/2025,SEM1,5,21,52.5,7,3,4,0,4,0,9.0,12.0,2.5,98,53.0,250.0,2.55
J22B46/004,A11114,Bachelor of Science in Information Technology,2024/2025,SEM2,6,18,46.0,6,4,2,1,1,0,12.0,6.0,2.56,116,65.0,296.0,2.55
J22B46/004,A11114,Bachelor of Science in Information Technology,2025/2026,SEM1,7,22,62.5,7,6,1,0,1,0,20.0,2.0,2.84,138,85.0,358.5,2.6
J22B46/004,A11114,Bachelor of Science in Information Technology,2025/2026,SEM2,8,19,48.5,6,4,2,0,2,0,12.0,7.0,2.55,157,97.0,407.0,2.59
J22B46/006,A11122,Bachelor of Science in Information Technology,2022/2023,SEM1,1,21,79.0,7,7,0,0,0,0,21.0,0.0,3.76,21,21.0,79.0,3.76
J22B46/006,A11122,Bachelor of Science in Information Technology,2022/2023,SEM2,2,18,69.0,6,5,1,0,0,1,14.0,4.0,3.83,39,35.0,148.0,3.79
J22B46/006,A11122,Bachelor of Science in Information Technology,2023/2024,SEM1,3,21,80.0,7,7,0,0,0,0,21.0,0.0,3.81,60,56.0,228.0,3.8
J22B46/006,A11122,Bachelor of Science in Information Technology,2023/2024,SEM2,4,17,67.5,6,6,0,0,0,0,17.0,0.0,3.97,77,73.0,295.5,3.84
J22B46/006,A11122,Bachelor of Science in Information Technology,2024/2025,SEM1,5,21,81.5,7,6,1,0,0,1,19.0,2.0,3.88,98,92.0,377.0,3.85
J22B46/006,A11122,Bachelor of Science in Information Technology,2024/2025,SEM2,6,18,67.0,6,6,0,0,0,0,18.0,0.0,3.72,116,110.0,444.0,3.83
J22B46/006,A11122,Bachelor of Science in Information Technology,2025/2026,SEM1,7,22,75.0,7,6,1,1,0,0,18.0,4.0,3.41,138,128.0,519.0,3.76
J22B46/006,A11122,Bachelor of Science in Information Technology,2025/2026,SEM2,8,19,73.5,6,5,1,0,0,1,16.0,3.0,3.87,157,144.0,592.5,3.77
J22B46/010,A11144,Bachelor of Science in Information Technology,2022/2023,SEM1,1,21,56.0,7,5,2,0,1,1,16.0,5.0,2.67,21,16.0,56.0,2.67
J22B46/010,A11144,Bachelor of Science in Information Technology,2022/2023,SEM2,2,18,46.0,6,3,3,1,1,1,10.0,8.0,2.56,39,26.0,102.0,2.62
J22B46/010,A11144,Bachelor of Science in Information Technology,2023/2024,SEM1,3,21,57.0,7,5,2,0,2,0,14.0,7.0,2.71,60,40.0,159.0,2.65
J22B46/010,A11144,Bachelor of Science in Information Technology,2023/2024,SEM2,4,17,66.0,6,6,0,0,0,0,17.0,0.0,3.88,77,57.0,225.0,2.92
J22B46/010,A11144,Bachelor of Science in Information Technology,2024/2025,SEM1,5,21,65.0,7,6,1,1,0,0,18.0,3.0,3.1,98,75.0,290.0,2.96
J22B46/010,A11144,Bachelor of Science in Information Technology,2024/2025,SEM2,6,18,71.5,6,5,1,1,0,0,15.0,3.0,3.97,116,90.0,361.5,3.12
J22B46/010,A11144,Bachelor of Science in Information Technology,2025/2026,SEM1,7,22,64.5,7,4,3,1,0,2,13.0,9.0,2.93,138,103.0,426.0,3.09
J22B46/010,A11144,Bachelor of Science in Information Technology,2025/2026,SEM2,8,19,49.5,6,4,2,0,2,0,14.0,5.0,2.61,157,117.0,475.5,3.03
J22B46/012,A11151,Bachelor of Science in Information Technology,2022/2023,SEM1,1,21,78.5,7,6,1,0,1,0,18.0,3.0,3.74,21,18.0,78.5,3.74
J22B46/012,A11151,Bachelor of Science in Information Technology,2022/2023,SEM2,2,18,59.5,6,5,1,1,0,0,15.0,3.0,3.31,39,33.0,138.0,3.54
J22B46/012,A11151,Bachelor of Science in Information Technology,2023/2024,SEM1,3,21,75.5,7,6,1,0,1,0,17.0,4.0,3.6,60,50.0,213.5,3.56
J22B46/012,A11151,Bachelor of Science in Information Technology,2023/2024,SEM2,4,17,60.0,6,4,2,0,1,1,11.0,6.0,3.53,77,61.0,273.5,3.55
J22B46/012,A11151,Bachelor of Science in Information Technology,2024/2025,SEM1,5,21,91.0,7,7,0,0,0,0,21.0,0.0,4.33,98,82.0,364.5,3.72
J22B46/012,A11151,Bachelor of Science in Information Technology,2024/2025,SEM2,6,18,74.5,6,5,1,0,0,1,16.0,2.0,4.14,116,98.0,439.0,3.78
J22B46/012,A11151,Bachelor of Science in Information Technology,2025/2026,SEM1,7,22,83.5,7,6,1,1,0,0,19.0,3.0,3.8,138,117.0,522.5,3.79
J22B46/012,A11151,Bachelor of Science in Information Technology,2025/2026,SEM2,8,19,60.5,6,5,1,0,0,1,15.0,4.0,3.18,157,132.0,583.0,3.71
J22B49/002,A11850,Bachelor of Visual Art and Design,2022/2023,SEM1,1,18,75.0,6,6,0,0,0,0,18.0,0.0,4.17,18,18.0,75.0,4.17
J22B49/002,A11850,Bachelor of Visual Art and Design,2022/2023,SEM2,2,22,82.0,7,6,1,1,0,0,18.0,4.0,3.73,40,36.0,157.0,3.92
J22B49/002,A11850,Bachelor of Visual Art and Design,2023/2024,SEM1,3,19,78.0,6,6,0,0,0,0,19.0,0.0,4.11,59,55.0,235.0,3.98
J22B49/002,A11850,Bachelor of Visual Art and Design,2023/2024,SEM2,4,20,76.5,7,6,1,0,1,0,17.0,3.0,3.82,79,72.0,311.5,3.94
J22B49/002,A11850,Bachelor of Visual Art and Design,2024/2025,SEM1,5,18,76.0,6,6,0,0,0,0,18.0,0.0,4.22,97,90.0,387.5,3.99
J22B49/002,A11850,Bachelor of Visual Art and Design,2024/2025,SEM2,6,21,92.5,7,7,0,0,0,0,21.0,0.0,4.4,118,111.0,480.0,4.07
J22B49/002,A11850,Bachelor of Visual Art and Design,2025/2026,SEM1,7,18,63.5,6,6,0,0,0,0,18.0,0.0,3.53,136,129.0,543.5,4.0
J22B49/002,A11850,Bachelor of Visual Art and Design,2025/2026,SEM2,8,21,86.5,7,7,0,0,0,0,21.0,0.0,4.12,157,150.0,630.0,4.01
J22B49/005,A11880,Bachelor of Visual Art and Design,2022/2023,SEM1,1,18,63.5,6,6,0,0,0,0,18.0,0.0,3.53,18,18.0,63.5,3.53
J22B49/005,A11880,Bachelor of Visual Art and Design,2022/2023,SEM2,2,22,78.5,7,6,1,0,1,0,20.0,2.0,3.57,40,38.0,142.0,3.55
J22B49/005,A11880,Bachelor of Visual Art and Design,2023/2024,SEM1,3,19,70.5,6,6,0,0,0,0,19.0,0.0,3.71,59,57.0,212.5,3.6
J22B49/005,A11880,Bachelor of Visual Art and Design,2023/2024,SEM2,4,20,61.0,7,5,2,0,2,0,13.0,7.0,3.05,79,70.0,273.5,3.46
J22B49/005,A11880,Bachelor of Visual Art and Design,2024/2025,SEM1,5,18,39.0,6,3,3,1,2,0,9.0,9.0,2.17,97,79.0,312.5,3.22
J22B49/005,A11880,Bachelor of Visual Art and Design,2024/2025,SEM2,6,21,53.5,7,5,2,0,2,0,15.0,6.0,2.55,118,94.0,366.0,3.1
J22B49/005,A11880,Bachelor of Visual Art and Design,2025/2026,SEM1,7,18,39.5,6,4,2,0,2,0,13.0,5.0,2.19,136,107.0,405.5,2.98
J22B49/005,A11880,Bachelor of Visual Art and Design,2025/2026,SEM2,8,21,65.5,7,5,2,0,2,0,15.0,6.0,3.12,157,122.0,471.0,3.0
J22B49/007,A11917,Bachelor of Visual Art and Design,2022/2023,SEM1,1,18,53.0,6,5,1,1,0,0,15.0,3.0,2.94,18,15.0,53.0,2.94
J22B49/007,A11917,Bachelor of Visual Art and Design,2022/2023,SEM2,2,22,62.5,7,6,1,0,0,1,20.0,2.0,2.84,40,35.0,115.5,2.89
J22B49/007,A11917,Bachelor of Visual Art and Design,2023/2024,SEM1,3,19,71.5,6,6,0,0,0,0,19.0,0.0,3.76,59,54.0,187.0,3.17
J22B49/007,A11917,Bachelor of Visual Art and Design,2023/2024,SEM2,4,20,60.0,7,6,1,0,1,0,17.0,3.0,3.0,79,71.0,247.0,3.13
J22B49/007,A11917,Bachelor of Visual Art and Design,2024/2025,SEM1,5,18,37.5,6,3,3,1,2,0,9.0,9.0,2.08,97,80.0,284.5,2.93
J22B49/007,A11917,Bachelor of Visual Art and Design,2024/2025,SEM2,6,21,43.0,7,2,5,1,4,0,5.0,16.0,2.05,118,85.0,327.5,2.78
J22B49/007,A11917,Bachelor of Visual Art and Design,2025/2026,SEM1,7,18,52.5,6,4,2,1,1,0,13.0,5.0,2.92,136,98.0,380.0,2.79
J22B49/007,A11917,Bachelor of Visual Art and Design,2025/2026,SEM2,8,21,70.0,7,6,1,0,1,0,19.0,2.0,3.33,157,117.0,450.0,2.87
J22B50/002,A11716,Bachelor of Art in Graphic Design and Animation,2022/2023,SEM1,1,21,47.0,7,3,4,1,3,0,9.0,12.0,2.24,21,9.0,47.0,2.24
J22B50/002,A11716,Bachelor of Art in Graphic Design and Animation,2022/2023,SEM2,2,18,62.5,6,5,1,0,1,0,15.0,3.0,3.47,39,24.0,109.5,2.81
J22B50/002,A11716,Bachelor of Art in Graphic Design and Animation,2023/2024,SEM1,3,21,43.5,7,4,3,0,3,0,13.0,8.0,2.07,60,37.0,153.0,2.55
J22B50/002,A11716,Bachelor of Art in Graphic Design and Animation,2023/2024,SEM2,4,17,57.0,6,5,1,1,0,0,14.0,3.0,3.35,77,51.0,210.0,2.73
J22B50/002,A11716,Bachelor of Art in Graphic Design and Animation,2024/2025,SEM1,5,21,63.0,7,5,2,1,1,0,14.0,7.0,3.0,98,65.0,273.0,2.79
J22B50/002,A11716,Bachelor of Art in Graphic Design and Animation,2024/2025,SEM2,6,18,45.0,6,3,3,2,1,0,8.0,10.0,2.5,116,73.0,318.0,2.74
J22B50/002,A11716,Bachelor of Art in Graphic Design and Animation,2025/2026,SEM1,7,22,49.0,7,5,2,0,1,1,15.0,7.0,2.23,138,88.0,367.0,2.66
J22B50/002,A11716,Bachelor of Art in Graphic Design and Animation,2025/2026,SEM2,8,19,49.0,6,4,2,0,2,0,12.0,7.0,2.58,157,100.0,416.0,2.65
J22B50/006,A11759,Bachelor of Art in Graphic Design and Animation,2022/2023,SEM1,1,21,70.5,7,6,1,0,1,0,18.0,3.0,3.36,21,18.0,70.5,3.36
J22B50/006,A11759,Bachelor of Art in Graphic Design and Animation,2022/2023,SEM2,2,18,58.5,6,6,0,0,0,0,18.0,0.0,3.25,39,36.0,129.0,3.31
J22B50/006,A11759,Bachelor of Art in Graphic Design and Animation,2023/2024,SEM1,3,21,59.5,7,5,2,2,0,0,14.0,7.0,2.83,60,50.0,188.5,3.14
J22B50/006,A11759,Bachelor of Art in Graphic Design and Animation,2023/2024,SEM2,4,17,51.5,6,4,2,0,2,0,11.0,6.0,3.03,77,61.0,240.0,3.12
J22B50/006,A11759,Bachelor of Art in Graphic Design and Animation,2024/2025,SEM1,5,21,85.5,7,7,0,0,0,0,21.0,0.0,4.07,98,82.0,325.5,3.32
J22B50/006,A11759,Bachelor of Art in Graphic Design and Animation,2024/2025,SEM2,6,18,54.5,6,4,2,1,0,1,11.0,7.0,3.03,116,93.0,380.0,3.28
J22B50/006,A11759,Bachelor of Art in Graphic Design and Animation,2025/2026,SEM1,7,22,70.0,7,6,1,1,0,0,19.0,3.0,3.18,138,112.0,450.0,3.26
J22B50/006,A11759,Bachelor of Art in Graphic Design and Animation,2025/2026,SEM2,8,19,73.0,6,5,1,0,1,0,16.0,3.0,3.84,157,128.0,523.0,3.33
J22B50/008,A11767,Bachelor of Art in Graphic Design and Animation,2022/2023,SEM1,1,21,57.5,7,5,2,0,2,0,16.0,5.0,2.74,21,16.0,57.5,2.74
J22B50/008,A11767,Bachelor of Art in Graphic Design and Animation,2022/2023,SEM2,2,18,62.0,6,6,0,0,0,0,18.0,0.0,3.44,39,34.0,119.5,3.06
J22B50/008,A11767,Bachelor of Art in Graphic Design and Animation,2023/2024,SEM1,3,21,53.0,7,4,3,2,1,0,10.0,11.0,2.52,60,44.0,172.5,2.88
J22B50/008,A11767,Bachelor of Art in Graphic Design and Animation,2023/2024,SEM2,4,17,40.0,6,4,2,1,1,0,10.0,7.0,2.35,77,54.0,212.5,2.76
J22B50/008,A11767,Bachelor of Art in Graphic Design and Animation,2024/2025,SEM1,5,21,63.0,7,5,2,0,2,0,15.0,6.0,3.0,98,69.0,275.5,2.81
J22B50/008,A11767,Bachelor of Art in Graphic Design and Animation,2024/2025,SEM2,6,18,58.0,6,5,1,0,1,0,15.0,3.0,3.22,116,84.0,333.5,2.88
J22B50/008,A11767,Bachelor of Art in Graphic Design and Animation,2025/2026,SEM1,7,22,78.5,7,6,1,1,0,0,18.0,4.0,3.57,138,102.0,412.0,2.99
J22B50/008,A11767,Bachelor of Art in Graphic Design and Animation,2025/2026,SEM2,8,19,66.0,6,6,0,0,0,0,19.0,0.0,3.47,157,121.0,478.0,3.04
J22B50/010,A11807,Bachelor of Art in Graphic Design and Animation,2022/2023,SEM1,1,21,67.5,7,5,2,1,0,1,16.0,5.0,3.21,21,16.0,67.5,3.21
J22B50/010,A11807,Bachelor of Art in Graphic Design and Animation,2022/2023,SEM2,2,18,43.0,6,3,3,3,0,0,10.0,8.0,2.39,39,26.0,110.5,2.83
J22B50/010,A11807,Bachelor of Art in Graphic Design and Animation,2023/2024,SEM1,3,21,87.0,7,7,0,0,0,0,21.0,0.0,4.14,60,47.0,197.5,3.29
J22B50/010,A11807,Bachelor of Art in Graphic Design and Animation,2023/2024,SEM2,4,17,63.5,6,5,1,0,0,1,15.0,2.0,3.74,77,62.0,261.0,3.39
J22B50/010,A11807,Bachelor of Art in Graphic Design and Animation,2024/2025,SEM1,5,21,90.0,7,7,0,0,0,0,21.0,0.0,4.29,98,83.0,351.0,3.58
J22B50/010,A11807,Bachelor of Art in Graphic Design and Animation,2024/2025,SEM2,6,18,58.0,6,6,0,0,0,0,18.0,0.0,3.22,116,101.0,409.0,3.53
J22B50/010,A11807,Bachelor of Art in Graphic Design and Animation,2025/2026,SEM1,7,22,81.5,7,7,0,0,0,0,22.0,0.0,3.7,138,123.0,490.5,3.55
