SPONSOR_PAYMENT_ID,REG_NO,ACC_NO,PROGRAM,SPONSOR_NAME,SCHOLARSHIP_TYPE,ACADEMIC_YEAR,SEMESTER,SEMESTER_INDEX,AMOUNT_SPONSORED_UGX,DISBURSEMENT_DATE,SPONSOR_REFERENCE,STATUS
SP0000064,J25B06/006,A10051,Bachelor of Divinity,NGO Education Fund,NEED_BASED_AID,2025/2026,SEM1,1,2598091,2025-01-17,QY4MIY1LYH,APPROVED
SP0000065,J25B06/006,A10051,Bachelor of Divinity,NGO Education Fund,NEED_BASED_AID,2025/2026,SEM2,2,2286391,2025-06-17,JSADLNMGN7,APPROVED
SP0000066,J25B06/006,A10051,Bachelor of Divinity,NGO Education Fund,NEED_BASED_AID,2026/2027,SEM1,3,795414,2026-01-31,37QWTCE8A6,PENDING
SP0000067,J25B06/008,A10064,Bachelor of Divinity,Private Sponsor,NEED_BASED_AID,2025/2026,SEM1,1,1285665,2025-01-30,A7S2SHU93O,APPROVED
SP0000068,J25B06/008,A10064,Bachelor of Divinity,Private Sponsor,NEED_BASED_AID,2025/2026,SEM2,2,735302,2025-06-28,TD3K7YOMCZ,APPROVED
SP0000069,J25B06/008,A10064,Bachelor of Divinity,Private Sponsor,NEED_BASED_AID,2026/2027,SEM1,3,1124335,2026-01-31,3GA2RTF6EP,APPROVED
SP0000070,J25B06/010,A10088,Bachelor of Divinity,Church Education Fund,NEED_BASED_AID,2025/2026,SEM1,1,705003,2025-02-13,0CR0ZHISTQ,APPROVED
SP0000071,J25B06/010,A10088,Bachelor of Divinity,Church Education Fund,NEED_BASED_AID,2025/2026,SEM2,2,1778436,2025-06-05,599UPIRJF4,PENDING
SP0000072,J25B06/010,A10088,Bachelor of Divinity,Church Education Fund,NEED_BASED_AID,2026/2027,SEM1,3,905878,2026-01-23,1EARDXNNYF,APPROVED
SP0000073,J25B06/012,A10116,Bachelor of Divinity,Government Sponsorship,NEED_BASED_AID,2025/2026,SEM1,1,1177066,2025-02-14,86SL4L1Y2K,APPROVED
SP0000074,J25B06/012,A10116,Bachelor of Divinity,Government Sponsorship,NEED_BASED_AID,2025/2026,SEM2,2,1133978,2025-05-21,3KH8Y4WRK6,APPROVED
SP0000075,KJ23B06/004,A10032,Bachelor of Divinity,NGO Education Fund,MERIT_BASED_AID,2023/2024,SEM1,1,3750135,2023-01-13,QI18C3C8EL,PENDING
SP0000076,KJ23B06/004,A10032,Bachelor of Divinity,NGO Education Fund,MERIT_BASED_AID,2023/2024,SEM2,2,3903509,2023-05-30,R31KCHVIB6,PENDING
SP0000077,KJ23B06/004,A10032,Bachelor of Divinity,NGO Education Fund,MERIT_BASED_AID,2024/2025,SEM1,3,2107252,2024-01-22,O1JUXW363I,APPROVED
SP0000078,KJ23B06/004,A10032,Bachelor of Divinity,NGO Education Fund,MERIT_BASED_AID,2024/2025,SEM2,4,1431632,2024-05-11,AAUIPRQB1M,APPROVED
SP0000079,KJ23B06/004,A10032,Bachelor of Divinity,NGO Education Fund,MERIT_BASED_AID,2025/2026,SEM1,5,3570690,2025-01-15,6LTGRLFFRY,APPROVED
SP0000080,KJ23B06/004,A10032,Bachelor of Divinity,NGO Education Fund,MERIT_BASED_AID,2025/2026,SEM2,6,3658309,2025-05-22,DN7EWI2F53,PENDING
SP0000081,KJ23B06/007,A10089,Bachelor of Divinity,Alumni Foundation,NEED_BASED_AID,2023/2024,SEM1,1,1083594,2023-02-26,CJU9DM0QYP,APPROVED
SP0000082,KJ23B06/007,A10089,Bachelor of Divinity,Alumni Foundation,NEED_BASED_AID,2023/2024,SEM2,2,3266208,2023-05-27,178QMF8YGP,PENDING
SP0000083,KJ23B06/007,A10089,Bachelor of Divinity,Alumni Foundation,NEED_BASED_AID,2024/2025,SEM1,3,2723671,2024-02-05,BTNHVHCOQW,APPROVED
SP0000084,KJ23B06/007,A10089,Bachelor of Divinity,Alumni Foundation,NEED_BASED_AID,2024/2025,SEM2,4,958051,2024-06-21,CMT3AD02FI,APPROVED
SP0000085,KJ23B06/007,A10089,Bachelor of Divinity,Alumni Foundation,NEED_BASED_AID,2025/2026,SEM1,5,3521735,2025-01-14,2IAITUDTI3,APPROVED
SP0000086,KJ23B06/007,A10089,Bachelor of Divinity,Alumni Foundation,NEED_BASED_AID,2025/2026,SEM2,6,2561608,2025-06-07,4KZDJR0MAZ,APPROVED
SP0000087,KJ25B06/005,A10043,Bachelor of Divinity,Private Sponsor,MERIT_BASED_AID,2025/2026,SEM1,1,3056944,2025-02-21,32LFYDMQDG,APPROVED
SP0000088,KJ25B06/005,A10043,Bachelor of Divinity,Private Sponsor,MERIT_BASED_AID,2025/2026,SEM2,2,1028721,2025-06-23,OFMNFWJ4SH,APPROVED
SP0000089,KM23B06/007,A10048,Bachelor of Divinity,Alumni Foundation,TUITION_WAIVER,2023/2024,SEM1,1,2403339,2023-05-26,88Z7EGRCDW,PENDING
SP0000090,KM23B06/007,A10048,Bachelor of Divinity,Alumni Foundation,TUITION_WAIVER,2023/2024,SEM2,2,1208755,2023-10-08,VQ6P7CIHHQ,PENDING
SP0000091,KM23B06/007,A10048,Bachelor of Divinity,Alumni Foundation,TUITION_WAIVER,2024/2025,SEM1,3,908110,2024-06-18,JXDWHGA9K4,APPROVED
SP0000092,KM23B06/007,A10048,Bachelor of Divinity,Alumni Foundation,TUITION_WAIVER,2024/2025,SEM2,4,2012883,2024-10-10,Y86WTNP0S6,APPROVED
SP0000093,KM23B06/007,A10048,Bachelor of Divinity,Alumni Foundation,TUITION_WAIVER,2025/2026,SEM1,5,1452684,2025-06-21,AJMF6HSQAG,APPROVED
SP0000094,KM23B06/007,A10048,Bachelor of Divinity,Alumni Foundation,TUITION_WAIVER,2025/2026,SEM2,6,1625578,2025-09-26,K4S32JMMQM,PENDING
SP0000095,KM24B06/004,A10053,Bachelor of Divinity,International Education Grant,TUITION_WAIVER,2024/2025,SEM1,1,2510772,2024-05-16,HLWAN4BUKX,PENDING
SP0000096,KM24B06/004,A10053,Bachelor of Divinity,International Education Grant,TUITION_WAIVER,2024/2025,SEM2,2,2841779,2024-09-24,IW9JBRR2GT,APPROVED
SP0000097,KM24B06/004,A10053,Bachelor of Divinity,International Education Grant,TUITION_WAIVER,2025/2026,SEM1,3,2438683,2025-05-17,MCCZ5BEDR4,PENDING
SP0000098,KM24B06/004,A10053,Bachelor of Divinity,International Education Grant,TUITION_WAIVER,2025/2026,SEM2,4,2938702,2025-10-14,K46DDIGL0J,APPROVED
SP0000099,KM24B06/009,A10102,Bachelor of Divinity,Alumni Foundation,PARTIAL_SCHOLARSHIP,2024/2025,SEM1,1,2119398,2024-06-03,UTG5JP6DMD,APPROVED
SP0000100,KM24B06/009,A10102,Bachelor of Divinity,Alumni Foundation,PARTIAL_SCHOLARSHIP,2024/2025,SEM2,2,3645369,2024-10-06,JS59GEVLQ3,PENDING
SP0000101,KM24B06/009,A10102,Bachelor of Divinity,Alumni Foundation,PARTIAL_SCHOLARSHIP,2025/2026,SEM1,3,2981674,2025-06-29,1LGCLSYOS1,APPROVED
SP0000102,KM24B06/009,A10102,Bachelor of Divinity,Alumni Foundation,PARTIAL_SCHOLARSHIP,2025/2026,SEM2,4,3668264,2025-10-29,8A7GFU2C99,APPROVED
SP0000103,KS23B06/006,A10042,Bachelor of Divinity,International Education Grant,MERIT_BASED_AID,2023/2024,SEM1,1,2533556,2023-10-03,3DPQULPGK3,APPROVED
SP0000104,KS23B06/006,A10042,Bachelor of Divinity,International Education Grant,MERIT_BASED_AID,2024/2025,SEM2,2,1017044,2024-01-28,7I1LUIK9ZR,APPROVED
SP0000105,KS23B06/006,A10042,Bachelor of Divinity,International Education Grant,MERIT_BASED_AID,2024/2025,SEM1,3,2406810,2024-09-11,3MWQQYXC73,APPROVED
SP0000106,KS23B06/006,A10042,Bachelor of Divinity,International Education Grant,MERIT_BASED_AID,2025/2026,SEM2,4,2385180,2025-01-15,POAY3U7JZ5,APPROVED
SP0000107,KS23B06/006,A10042,Bachelor of Divinity,International Education Grant,MERIT_BASED_AID,2025/2026,SEM1,5,1809116,2025-10-06,GEAN0H7VL1,APPROVED
SP0000108,KS23B06/006,A10042,Bachelor of Divinity,International Education Grant,MERIT_BASED_AID,2026/2027,SEM2,6,1664466,2026-01-31,M9BO904S1V,APPROVED
SP0000109,KS24B06/002,A10010,Bachelor of Divinity,NGO Education Fund,PARTIAL_SCHOLARSHIP,2024/2025,SEM1,1,1409480,2024-09-26,SF8OVW7Z7C,PENDING
SP0000110,KS24B06/002,A10010,Bachelor of Divinity,NGO Education Fund,PARTIAL_SCHOLARSHIP,2025/2026,SEM2,2,2149103,2025-02-12,AHKQAJV7QK,PENDING
SP0000111,KS24B06/002,A10010,Bachelor of Divinity,NGO Education Fund,PARTIAL_SCHOLARSHIP,2025/2026,SEM1,3,3672539,2025-10-10,4ITIRRBZZC,PENDING
SP0000112,KS24B06/002,A10010,Bachelor of Divinity,NGO Education Fund,PARTIAL_SCHOLARSHIP,2026/2027,SEM2,4,2327274,2026-01-31,E3XCH10XV4,APPROVED
SP0000113,KS24B06/016,A10105,Bachelor of Divinity,Private Sponsor,NEED_BASED_AID,2024/2025,SEM1,1,1026092,2024-10-26,IK9I758135,APPROVED
SP0000114,KS24B06/016,A10105,Bachelor of Divinity,Private Sponsor,NEED_BASED_AID,2025/2026,SEM2,2,1843217,2025-02-06,T3OHVKC3VZ,APPROVED
SP0000115,KS24B06/016,A10105,Bachelor of Divinity,Private Sponsor,NEED_BASED_AID,2025/2026,SEM1,3,1461807,2025-10-12,OOPAPZCMOJ,APPROVED
SP0000116,KS24B06/016,A10105,Bachelor of Divinity,Private Sponsor,NEED_BASED_AID,2026/2027,SEM2,4,2067789,2026-01-25,H3Y7YDPJHW,APPROVED
SP0000117,M23B06/002,A10017,Bachelor of Divinity,Corporate Scholarship,NEED_BASED_AID,2023/2024,SEM1,1,840264,2023-06-04,MT8SOU5R17,APPROVED
SP0000118,M23B06/002,A10017,Bachelor of Divinity,Corporate Scholarship,NEED_BASED_AID,2023/2024,SEM2,2,1518497,2023-09-19,QRKGLQ4GM1,APPROVED
SP0000119,M23B06/002,A10017,Bachelor of Divinity,Corporate Scholarship,NEED_BASED_AID,2024/2025,SEM1,3,982229,2024-06-07,DM7PAWS11T,APPROVED
SP0000120,M23B06/002,A10017,Bachelor of Divinity,Corporate Scholarship,NEED_BASED_AID,2024/2025,SEM2,4,909096,2024-09-18,1VF3ETZ28A,APPROVED
SP0000121,M23B06/002,A10017,Bachelor of Divinity,Corporate Scholarship,NEED_BASED_AID,2025/2026,SEM1,5,1448785,2025-05-11,94RS8D9NC5,PENDING
SP0000122,M23B06/002,A10017,Bachelor of Divinity,Corporate Scholarship,NEED_BASED_AID,2025/2026,SEM2,6,1892968,2025-09-17,P7I914NZKJ,PENDING
SP0000123,M23B06/004,A10021,Bachelor of Divinity,NGO Education Fund,NEED_BASED_AID,2023/2024,SEM1,1,2595118,2023-06-14,ZBEO2BQMM0,APPROVED
SP0000124,M23B06/004,A10021,Bachelor of Divinity,NGO Education Fund,NEED_BASED_AID,2023/2024,SEM2,2,2029746,2023-10-16,C8CN3Q8BEO,APPROVED
SP0000125,M23B06/004,A10021,Bachelor of Divinity,NGO Education Fund,NEED_BASED_AID,2024/2025,SEM1,3,1078263,2024-06-23,OC0XSYYYPE,PENDING
SP0000126,M23B06/004,A10021,Bachelor of Divinity,NGO Education Fund,NEED_BASED_AID,2024/2025,SEM2,4,2202600,2024-09-29,7FYPSRMVVM,APPROVED
SP0000127,M23B06/004,A10021,Bachelor of Divinity,NGO Education Fund,NEED_BASED_AID,2025/2026,SEM1,5,2505430,2025-05-10,JHGL0SHIBA,APPROVED
SP0000128,M23B06/008,A10050,Bachelor of Divinity,NGO Education Fund,FULL_SCHOLARSHIP,2023/2024,SEM1,1,2675626,2023-06-18,TCA81KH2RK,APPROVED
SP0000129,M23B06/008,A10050,Bachelor of Divinity,NGO Education Fund,FULL_SCHOLARSHIP,2023/2024,SEM2,2,1166522,2023-10-24,2Y7HKC8AAX,APPROVED
SP0000130,M23B06/008,A10050,Bachelor of Divinity,NGO Education Fund,FULL_SCHOLARSHIP,2024/2025,SEM1,3,1778730,2024-06-25,Y9FCM6WQRX,APPROVED
SP0000131,M23B06/008,A10050,Bachelor of Divinity,NGO Education Fund,FULL_SCHOLARSHIP,2024/2025,SEM2,4,1269300,2024-10-15,ZX15694A37,APPROVED
SP0000132,M23B06/008,A10050,Bachelor of Divinity,NGO Education Fund,FULL_SCHOLARSHIP,2025/2026,SEM1,5,1483394,2025-05-29,5QV10XZXY9,PENDING
SP0000133,M23B06/008,A10050,Bachelor of Divinity,NGO Education Fund,FULL_SCHOLARSHIP,2025/2026,SEM2,6,1913204,2025-10-12,DPMA1SAF41,APPROVED
SP0000134,M23B06/010,A10059,Bachelor of Divinity,Corporate Scholarship,FULL_SCHOLARSHIP,2023/2024,SEM1,1,2318860,2023-06-15,EL3QYHKFG9,APPROVED
SP0000135,M23B06/010,A10059,Bachelor of Divinity,Corporate Scholarship,FULL_SCHOLARSHIP,2023/2024,SEM2,2,2131035,2023-09-23,MHK9YAAHM9,APPROVED
SP0000136,M23B06/010,A10059,Bachelor of Divinity,Corporate Scholarship,FULL_SCHOLARSHIP,2024/2025,SEM1,3,1807756,2024-05-20,IDZ9KY5B27,APPROVED
SP0000137,M23B06/010,A10059,Bachelor of Divinity,Corporate Scholarship,FULL_SCHOLARSHIP,2024/2025,SEM2,4,1419119,2024-10-26,VXQPWP8MN8,APPROVED
SP0000138,M23B06/010,A10059,Bachelor of Divinity,Corporate Scholarship,FULL_SCHOLARSHIP,2025/2026,SEM1,5,848109,2025-05-30,U6DR14P0XV,PENDING
SP0000139,M23B06/010,A10059,Bachelor of Divinity,Corporate Scholarship,FULL_SCHOLARSHIP,2025/2026,SEM2,6,2682779,2025-10-28,CY56AX0AFT,APPROVED
SP0000140,M23B06/013,A10103,Bachelor of Divinity,Corporate Scholarship,PARTIAL_SCHOLARSHIP,2023/2024,SEM1,1,2359004,2023-06-01,B1LB1QAT14,APPROVED
SP0000141,M23B06/013,A10103,Bachelor of Divinity,Corporate Scholarship,PARTIAL_SCHOLARSHIP,2023/2024,SEM2,2,1773978,2023-10-23,B9LQMEE8EC,APPROVED
SP0000142,M23B06/013,A10103,Bachelor of Divinity,Corporate Scholarship,PARTIAL_SCHOLARSHIP,2024/2025,SEM1,3,799066,2024-05-24,00RDXQN2WT,PENDING
SP0000143,M23B06/013,A10103,Bachelor of Divinity,Corporate Scholarship,PARTIAL_SCHOLARSHIP,2024/2025,SEM2,4,720454,2024-10-23,Q33Z4UDNC9,APPROVED
SP0000144,M23B06/013,A10103,Bachelor of Divinity,Corporate Scholarship,PARTIAL_SCHOLARSHIP,2025/2026,SEM1,5,1141671,2025-06-18,DHHHW1B3MY,APPROVED
SP0000145,M23B06/013,A10103,Bachelor of Divinity,Corporate Scholarship,PARTIAL_SCHOLARSHIP,2025/2026,SEM2,6,1767045,2025-09-12,TJ86NMP7E8,APPROVED
SP0000146,M24B06/001,A10007,Bachelor of Divinity,Corporate Scholarship,FULL_SCHOLARSHIP,2024/2025,SEM1,1,2206097,2024-06-08,FPLQK7INFL,APPROVED
SP0000147,M24B06/001,A10007,Bachelor of Divinity,Corporate Scholarship,FULL_SCHOLARSHIP,2024/2025,SEM2,2,1469991,2024-09-16,CUAW131ZBP,APPROVED
SP0000148,M24B06/001,A10007,Bachelor of Divinity,Corporate Scholarship,FULL_SCHOLARSHIP,2025/2026,SEM1,3,3989921,2025-05-16,YFPIQ6MQXE,APPROVED
SP0000149,M24B06/001,A10007,Bachelor of Divinity,Corporate Scholarship,FULL_SCHOLARSHIP,2025/2026,SEM2,4,2297264,2025-09-11,00EWIC2AP7,APPROVED
SP0000150,M24B06/003,A10052,Bachelor of Divinity,Corporate Scholarship,PARTIAL_SCHOLARSHIP,2024/2025,SEM1,1,1484594,2024-06-01,AD0UZ8U08L,APPROVED
SP0000151,M24B06/003,A10052,Bachelor of Divinity,Corporate Scholarship,PARTIAL_SCHOLARSHIP,2024/2025,SEM2,2,793893,2024-10-07,5QFFP6G6AB,PENDING
