FACULTY,DEPARTMENT,PROGRAM,PROGRAM ID,SEMESTER_INDEX,COURSE_CODE,COURSE_TITLE,COURSE_UNITS,COURSE_TYPE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Bachelor of Divinity,6,4,BOD0407,Old Testament Survey 2,3,ELECTIVE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Bachelor of Divinity,6,5,BOD0501,New Testament Survey 2,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Bachelor of Divinity,6,5,BOD0502,Missiology 2,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Bachelor of Divinity,6,5,BOD0503,Leadership in Ministry 2,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Bachelor of Divinity,6,5,BOD0504,Spiritual Formation 2,4,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Bachelor of Divinity,6,5,BOD0505,Biblical Hebrew 2,2,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Bachelor of Divinity,6,5,BOD0506,Biblical Greek 2,3,ELECTIVE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Bachelor of Divinity,6,6,BOD0601,Hermeneutics 2,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Bachelor of Divinity,6,6,BOD0602,Counselling in Ministry 2,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Bachelor of Divinity,6,6,BOD0603,Worship and Liturgy 2,4,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Bachelor of Divinity,6,6,BOD0604,Research Methods in Theology 2,2,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Bachelor of Divinity,6,6,BOD0605,Field Education 2,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Bachelor of Divinity,6,6,BOD0606,Dissertation 2,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Bachelor of Divinity,6,6,BOD0607,Biblical Studies 3,3,ELECTIVE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Doctor of Ministry,5,1,DOM0101,Biblical Studies,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Doctor of Ministry,5,1,DOM0102,Systematic Theology,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Doctor of Ministry,5,1,DOM0103,Church History,4,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Doctor of Ministry,5,1,DOM0104,Christian Ethics,2,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Doctor of Ministry,5,1,DOM0105,Homiletics,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Doctor of Ministry,5,1,DOM0106,Pastoral Theology,3,ELECTIVE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Doctor of Ministry,5,2,DOM0201,Old Testament Survey,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Doctor of Ministry,5,2,DOM0202,New Testament Survey,4,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Doctor of Ministry,5,2,DOM0203,Missiology,2,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Doctor of Ministry,5,2,DOM0204,Leadership in Ministry,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Doctor of Ministry,5,2,DOM0205,Spiritual Formation,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Doctor of Ministry,5,2,DOM0206,Biblical Hebrew,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Doctor of Ministry,5,2,DOM0207,Biblical Greek,4,ELECTIVE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Doctor of Ministry,5,3,DOM0301,Hermeneutics,4,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Doctor of Ministry,5,3,DOM0302,Counselling in Ministry,2,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Doctor of Ministry,5,3,DOM0303,Worship and Liturgy,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Doctor of Ministry,5,3,DOM0304,Research Methods in Theology,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Doctor of Ministry,5,3,DOM0305,Field Education,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Doctor of Ministry,5,3,DOM0306,Dissertation,4,ELECTIVE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Doctor of Ministry,5,4,DOM0401,Biblical Studies 2,2,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Doctor of Ministry,5,4,DOM0402,Systematic Theology 2,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Doctor of Ministry,5,4,DOM0403,Church History 2,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Doctor of Ministry,5,4,DOM0404,Christian Ethics 2,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Doctor of Ministry,5,4,DOM0405,Homiletics 2,4,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Doctor of Ministry,5,4,DOM0406,Pastoral Theology 2,2,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Doctor of Ministry,5,4,DOM0407,Old Testament Survey 2,3,ELECTIVE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Doctor of Ministry,5,5,DOM0501,New Testament Survey 2,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Doctor of Ministry,5,5,DOM0502,Missiology 2,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Doctor of Ministry,5,5,DOM0503,Leadership in Ministry 2,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Doctor of Ministry,5,5,DOM0504,Spiritual Formation 2,4,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Doctor of Ministry,5,5,DOM0505,Biblical Hebrew 2,2,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Doctor of Ministry,5,5,DOM0506,Biblical Greek 2,3,ELECTIVE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Doctor of Ministry,5,6,DOM0601,Hermeneutics 2,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Doctor of Ministry,5,6,DOM0602,Counselling in Ministry 2,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Doctor of Ministry,5,6,DOM0603,Worship and Liturgy 2,4,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Doctor of Ministry,5,6,DOM0604,Research Methods in Theology 2,2,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Doctor of Ministry,5,6,DOM0605,Field Education 2,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Doctor of Ministry,5,6,DOM0606,Dissertation 2,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Doctor of Ministry,5,6,DOM0607,Biblical Studies 3,3,ELECTIVE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Arts in Theology,2,1,MOA0101,Biblical Studies,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Arts in Theology,2,1,MOA0102,Systematic Theology,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Arts in Theology,2,1,MOA0103,Church History,4,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Arts in Theology,2,1,MOA0104,Christian Ethics,2,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Arts in Theology,2,1,MOA0105,Homiletics,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Arts in Theology,2,1,MOA0106,Pastoral Theology,3,ELECTIVE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Arts in Theology,2,2,MOA0201,Old Testament Survey,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Arts in Theology,2,2,MOA0202,New Testament Survey,4,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Arts in Theology,2,2,MOA0203,Missiology,2,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Arts in Theology,2,2,MOA0204,Leadership in Ministry,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Arts in Theology,2,2,MOA0205,Spiritual Formation,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Arts in Theology,2,2,MOA0206,Biblical Hebrew,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Arts in Theology,2,2,MOA0207,Biblical Greek,4,ELECTIVE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Arts in Theology,2,3,MOA0301,Hermeneutics,4,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Arts in Theology,2,3,MOA0302,Counselling in Ministry,2,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Arts in Theology,2,3,MOA0303,Worship and Liturgy,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Arts in Theology,2,3,MOA0304,Research Methods in Theology,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Arts in Theology,2,3,MOA0305,Field Education,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Arts in Theology,2,3,MOA0306,Dissertation,4,ELECTIVE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Arts in Theology,2,4,MOA0401,Biblical Studies 2,2,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Arts in Theology,2,4,MOA0402,Systematic Theology 2,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Arts in Theology,2,4,MOA0403,Church History 2,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Arts in Theology,2,4,MOA0404,Christian Ethics 2,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Arts in Theology,2,4,MOA0405,Homiletics 2,4,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Arts in Theology,2,4,MOA0406,Pastoral Theology 2,2,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Arts in Theology,2,4,MOA0407,Old Testament Survey 2,3,ELECTIVE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Divinity,3,1,MOD0101,Biblical Studies,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Divinity,3,1,MOD0102,Systematic Theology,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Divinity,3,1,MOD0103,Church History,4,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Divinity,3,1,MOD0104,Christian Ethics,2,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Divinity,3,1,MOD0105,Homiletics,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Divinity,3,1,MOD0106,Pastoral Theology,3,ELECTIVE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Divinity,3,2,MOD0201,Old Testament Survey,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Divinity,3,2,MOD0202,New Testament Survey,4,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Divinity,3,2,MOD0203,Missiology,2,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Divinity,3,2,MOD0204,Leadership in Ministry,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Divinity,3,2,MOD0205,Spiritual Formation,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Divinity,3,2,MOD0206,Biblical Hebrew,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Divinity,3,2,MOD0207,Biblical Greek,4,ELECTIVE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Divinity,3,3,MOD0301,Hermeneutics,4,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Divinity,3,3,MOD0302,Counselling in Ministry,2,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Divinity,3,3,MOD0303,Worship and Liturgy,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Divinity,3,3,MOD0304,Research Methods in Theology,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Divinity,3,3,MOD0305,Field Education,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Divinity,3,3,MOD0306,Dissertation,4,ELECTIVE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Divinity,3,4,MOD0401,Biblical Studies 2,2,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Divinity,3,4,MOD0402,Systematic Theology 2,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Divinity,3,4,MOD0403,Church History 2,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Divinity,3,4,MOD0404,Christian Ethics 2,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Divinity,3,4,MOD0405,Homiletics 2,4,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Divinity,3,4,MOD0406,Pastoral Theology 2,2,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Divinity,3,4,MOD0407,Old Testament Survey 2,3,ELECTIVE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Theological Studies,1,1,MOT0101,Communication Skills,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Theological Studies,1,1,MOT0102,Critical Thinking,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Theological Studies,1,1,MOT0103,Research Methods,4,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Theological Studies,1,1,MOT0104,Entrepreneurship,2,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Theological Studies,1,1,MOT0105,Ethics and Integrity,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Theological Studies,1,1,MOT0106,Statistics,3,ELECTIVE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Theological Studies,1,2,MOT0201,Project Planning,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Theological Studies,1,2,MOT0202,Field Attachment,4,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Theological Studies,1,2,MOT0203,Internship,2,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Theological Studies,1,2,MOT0204,Capstone Project,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Theological Studies,1,2,MOT0205,Professional Practice,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Theological Studies,1,2,MOT0206,Seminar,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Theological Studies,1,2,MOT0207,Communication Skills 2,4,ELECTIVE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Theological Studies,1,3,MOT0301,Critical Thinking 2,4,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Theological Studies,1,3,MOT0302,Research Methods 2,2,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Theological Studies,1,3,MOT0303,Entrepreneurship 2,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Theological Studies,1,3,MOT0304,Ethics and Integrity 2,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Theological Studies,1,3,MOT0305,Statistics 2,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Theological Studies,1,3,MOT0306,Project Planning 2,4,ELECTIVE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Theological Studies,1,4,MOT0401,Field Attachment 2,2,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Theological Studies,1,4,MOT0402,Internship 2,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Theological Studies,1,4,MOT0403,Capstone Project 2,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Theological Studies,1,4,MOT0404,Professional Practice 2,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Theological Studies,1,4,MOT0405,Seminar 2,4,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Theological Studies,1,4,MOT0406,Communication Skills 3,2,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,Master of Theological Studies,1,4,MOT0407,Critical Thinking 3,3,ELECTIVE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,PhD in Theology,4,1,PIT0101,Biblical Studies,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,PhD in Theology,4,1,PIT0102,Systematic Theology,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,PhD in Theology,4,1,PIT0103,Church History,4,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,PhD in Theology,4,1,PIT0104,Christian Ethics,2,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,PhD in Theology,4,1,PIT0105,Homiletics,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,PhD in Theology,4,1,PIT0106,Pastoral Theology,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,PhD in Theology,4,1,PIT0107,Old Testament Survey,3,ELECTIVE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,PhD in Theology,4,2,PIT0201,New Testament Survey,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,PhD in Theology,4,2,PIT0202,Missiology,4,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,PhD in Theology,4,2,PIT0203,Leadership in Ministry,2,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,PhD in Theology,4,2,PIT0204,Spiritual Formation,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,PhD in Theology,4,2,PIT0205,Biblical Hebrew,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,PhD in Theology,4,2,PIT0206,Biblical Greek,3,ELECTIVE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,PhD in Theology,4,3,PIT0301,Hermeneutics,4,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,PhD in Theology,4,3,PIT0302,Counselling in Ministry,2,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,PhD in Theology,4,3,PIT0303,Worship and Liturgy,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,PhD in Theology,4,3,PIT0304,Research Methods in Theology,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,PhD in Theology,4,3,PIT0305,Field Education,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,PhD in Theology,4,3,PIT0306,Dissertation,4,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,PhD in Theology,4,3,PIT0307,Biblical Studies 2,2,ELECTIVE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,PhD in Theology,4,4,PIT0401,Systematic Theology 2,2,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,PhD in Theology,4,4,PIT0402,Church History 2,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,PhD in Theology,4,4,PIT0403,Christian Ethics 2,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,PhD in Theology,4,4,PIT0404,Homiletics 2,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,PhD in Theology,4,4,PIT0405,Pastoral Theology 2,4,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,PhD in Theology,4,4,PIT0406,Old Testament Survey 2,2,ELECTIVE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,PhD in Theology,4,5,PIT0501,New Testament Survey 2,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,PhD in Theology,4,5,PIT0502,Missiology 2,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,PhD in Theology,4,5,PIT0503,Leadership in Ministry 2,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,PhD in Theology,4,5,PIT0504,Spiritual Formation 2,4,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,PhD in Theology,4,5,PIT0505,Biblical Hebrew 2,2,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,PhD in Theology,4,5,PIT0506,Biblical Greek 2,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,PhD in Theology,4,5,PIT0507,Hermeneutics 2,3,ELECTIVE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,PhD in Theology,4,6,PIT0601,Counselling in Ministry 2,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,PhD in Theology,4,6,PIT0602,Worship and Liturgy 2,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,PhD in Theology,4,6,PIT0603,Research Methods in Theology 2,4,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,PhD in Theology,4,6,PIT0604,Field Education 2,2,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,PhD in Theology,4,6,PIT0605,Dissertation 2,3,CORE
Bishop Tucker School of Divinity and Theology,Divinity and Theology,PhD in Theology,4,6,PIT0606,Biblical Studies 3,3,ELECTIVE
Faculty of Agricultural Sciences,Agricultural Science,Bachelor of Science in Agricultural Science and Entrepreneurship,39,1,BOS0101,Introduction to Agriculture,3,CORE
Faculty of Agricultural Sciences,Agricultural Science,Bachelor of Science in Agricultural Science and Entrepreneurship,39,1,BOS0102,Soil Science,3,CORE
Faculty of Agricultural Sciences,Agricultural Science,Bachelor of Science in Agricultural Science and Entrepreneurship,39,1,BOS0103,Crop Science,4,CORE
Faculty of Agricultural Sciences,Agricultural Science,Bachelor of Science in Agricultural Science and Entrepreneurship,39,1,BOS0104,Animal Science,2,CORE
Faculty of Agricultural Sciences,Agricultural Science,Bachelor of Science in Agricultural Science and Entrepreneurship,39,1,BOS0105,Agricultural Economics,3,CORE
Faculty of Agricultural Sciences,Agricultural Science,Bachelor of Science in Agricultural Science and Entrepreneurship,39,1,BOS0106,Agribusiness Management,3,ELECTIVE
Faculty of Agricultural Sciences,Agricultural Science,Bachelor of Science in Agricultural Science and Entrepreneurship,39,2,BOS0201,Agricultural Extension,3,CORE
Faculty of Agricultural Sciences,Agricultural Science,Bachelor of Science in Agricultural Science and Entrepreneurship,39,2,BOS0202,Plant Pathology,4,CORE
Faculty of Agricultural Sciences,Agricultural Science,Bachelor of Science in Agricultural Science and Entrepreneurship,39,2,BOS0203,Farm Management,2,CORE
Faculty of Agricultural Sciences,Agricultural Science,Bachelor of Science in Agricultural Science and Entrepreneurship,39,2,BOS0204,Irrigation and Water Management,3,CORE
Faculty of Agricultural Sciences,Agricultural Science,Bachelor of Science in Agricultural Science and Entrepreneurship,39,2,BOS0205,Agricultural Marketing,3,CORE
Faculty of Agricultural Sciences,Agricultural Science,Bachelor of Science in Agricultural Science and Entrepreneurship,39,2,BOS0206,Entrepreneurship in Agriculture,3,CORE
Faculty of Agricultural Sciences,Agricultural Science,Bachelor of Science in Agricultural Science and Entrepreneurship,39,2,BOS0207,Statistics for Agriculture,4,ELECTIVE
Faculty of Agricultural Sciences,Agricultural Science,Bachelor of Science in Agricultural Science and Entrepreneurship,39,3,BOS0301,Research Methods,4,CORE
Faculty of Agricultural Sciences,Agricultural Science,Bachelor of Science in Agricultural Science and Entrepreneurship,39,3,BOS0302,Field Attachment,2,CORE
Faculty of Agricultural Sciences,Agricultural Science,Bachelor of Science in Agricultural Science and Entrepreneurship,39,3,BOS0303,Project,3,CORE
Faculty of Agricultural Sciences,Agricultural Science,Bachelor of Science in Agricultural Science and Entrepreneurship,39,3,BOS0304,Introduction to Agriculture 2,3,CORE
Faculty of Agricultural Sciences,Agricultural Science,Bachelor of Science in Agricultural Science and Entrepreneurship,39,3,BOS0305,Soil Science 2,3,CORE
Faculty of Agricultural Sciences,Agricultural Science,Bachelor of Science in Agricultural Science and Entrepreneurship,39,3,BOS0306,Crop Science 2,4,ELECTIVE
Faculty of Agricultural Sciences,Agricultural Science,Bachelor of Science in Agricultural Science and Entrepreneurship,39,4,BOS0401,Animal Science 2,2,CORE
Faculty of Agricultural Sciences,Agricultural Science,Bachelor of Science in Agricultural Science and Entrepreneurship,39,4,BOS0402,Agricultural Economics 2,3,CORE
