REG_NO,ACC_NO,PROGRAM,HIGH_SCHOOL,DISTRICT,SCHOOL_TIER,OWNERSHIP
KM23B06/007,A10048,Bachelor of Divinity,Nabumali High School,Mbale,Tier 1,Private/Faith-based
KM24B06/004,A10053,Bachelor of Divinity,Lubiri Secondary School,Kampala,Tier 2,Public/Mixed
KM24B06/009,A10102,Bachelor of Divinity,Gulu High School,Gulu,Tier 2,Private/Faith-based
KS23B06/006,A10042,Bachelor of Divinity,Kakumiro Secondary School,Kakumiro,Tier 2,Public/Mixed
KS24B06/002,A10010,Bachelor of Divinity,Kyegegwa Secondary School,Kyegegwa,Tier 2,Public/Mixed
KS24B06/016,A10105,Bachelor of Divinity,Butambala Secondary School,Butambala,Tier 2,Public/Mixed
M23B06/002,A10017,Bachelor of Divinity,Moroto High School,Moroto,Tier 2,Private/Faith-based
M23B06/004,A10021,Bachelor of Divinity,Butambala Secondary School,Butambala,Tier 2,Public/Mixed
M23B06/008,A10050,Bachelor of Divinity,Kiboga Secondary School,Kiboga,Tier 2,Public/Mixed
M23B06/010,A10059,Bachelor of Divinity,Kamuli Secondary School,Kamuli,Tier 2,Public/Mixed
M23B06/013,A10103,Bachelor of Divinity,Hoima Secondary School,Hoima,Tier 2,Public/Mixed
M24B06/001,A10007,Bachelor of Divinity,St. Mary's College Rushoroza,Kabarole,Tier 2,Private/Faith-based
M24B06/003,A10052,Bachelor of Divinity,Hoima Secondary School,Hoima,Tier 2,Public/Mixed
M24B06/007,A10098,Bachelor of Divinity,Kiira College Butiki,Jinja,Tier 2,Private/Faith-based
M24B06/010,A10107,Bachelor of Divinity,Makerere College School,Kampala,Tier 2,Private/Faith-based
M25B06/002,A10025,Bachelor of Divinity,Namagunga Girls School,Kampala,Tier 1,Private/Faith-based
M25B06/005,A10037,Bachelor of Divinity,Kyotera Secondary School,Kyotera,Tier 2,Public/Mixed
M25B06/007,A10085,Bachelor of Divinity,Kiira College Butiki,Jinja,Tier 2,Private/Faith-based
M25B06/009,A10092,Bachelor of Divinity,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
S23B06/001,A10002,Bachelor of Divinity,Kalungu Secondary School,Kalungu,Tier 2,Public/Mixed
S23B06/003,A10011,Bachelor of Divinity,St. Katherine's Secondary School,Lira,Tier 2,Private/Faith-based
S23B06/005,A10033,Bachelor of Divinity,Pallisa Secondary School,Pallisa,Tier 2,Public/Mixed
S23B06/008,A10058,Bachelor of Divinity,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
S23B06/010,A10077,Bachelor of Divinity,Muni Girls School,Arua,Tier 2,Private/Faith-based
S23B06/012,A10095,Bachelor of Divinity,Mbarara High School,Mbarara,Tier 1,Private/Faith-based
S24B06/001,A10008,Bachelor of Divinity,Mbarara High School,Mbarara,Tier 1,Private/Faith-based
S24B06/004,A10016,Bachelor of Divinity,Uganda Martyrs High School,Kampala,Tier 2,Private/Faith-based
S24B06/006,A10031,Bachelor of Divinity,St. Henry's College Kitovu,Masaka,Tier 1,Private/Faith-based
S24B06/008,A10061,Bachelor of Divinity,Mbarara High School,Mbarara,Tier 1,Private/Faith-based
S24B06/010,A10066,Bachelor of Divinity,Gayaza High School,Kampala,Tier 1,Private/Faith-based
S24B06/013,A10082,Bachelor of Divinity,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
S24B06/015,A10100,Bachelor of Divinity,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
S25B06/002,A10024,Bachelor of Divinity,Nabumali High School,Mbale,Tier 1,Private/Faith-based
S25B06/004,A10057,Bachelor of Divinity,St. Leo's College Fort Portal,Fort Portal,Tier 2,Private/Faith-based
S25B06/006,A10067,Bachelor of Divinity,Seeta High School,Kampala,Tier 2,Private/Faith-based
S25B06/008,A10083,Bachelor of Divinity,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
S25B06/010,A10106,Bachelor of Divinity,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
S25B06/012,A10113,Bachelor of Divinity,Kumi Secondary School,Kumi,Tier 2,Public/Mixed
J24P05/003,A10130,Doctor of Ministry,Gomba Secondary School,Gomba,Tier 2,Public/Mixed
J25P05/001,A10119,Doctor of Ministry,Jinja Secondary School,Jinja,Tier 2,Public/Mixed
J25P05/003,A10135,Doctor of Ministry,St. Henry's College Kitovu,Masaka,Tier 1,Private/Faith-based
KM24P05/006,A10141,Doctor of Ministry,Hoima Secondary School,Hoima,Tier 2,Public/Mixed
KM25P05/002,A10122,Doctor of Ministry,Kyenjojo Secondary School,Kyenjojo,Tier 2,Public/Mixed
KS24P05/002,A10126,Doctor of Ministry,St. Katherine's Secondary School,Lira,Tier 2,Private/Faith-based
M24P05/001,A10121,Doctor of Ministry,Kumi Secondary School,Kumi,Tier 2,Public/Mixed
M24P05/003,A10137,Doctor of Ministry,Gayaza High School,Kampala,Tier 1,Private/Faith-based
M24P05/005,A10140,Doctor of Ministry,St. Katherine's Secondary School,Lira,Tier 2,Private/Faith-based
M25P05/004,A10138,Doctor of Ministry,Lira Town College,Lira,Tier 2,Private/Faith-based
S24P05/004,A10136,Doctor of Ministry,Mityana Secondary School,Mityana,Tier 2,Public/Mixed
S25P05/002,A10123,Doctor of Ministry,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
J24M02/002,A10156,Master of Arts in Theology,Kibale Secondary School,Kibale,Tier 2,Public/Mixed
J24M02/004,A10171,Master of Arts in Theology,Trinity College Nabbingo,Kampala,Tier 1,Private/Faith-based
J24M02/006,A10179,Master of Arts in Theology,St. Mary's College Kisubi,Kampala,Tier 1,Private/Faith-based
J25M02/002,A10154,Master of Arts in Theology,Lubiri Secondary School,Kampala,Tier 2,Public/Mixed
J25M02/005,A10168,Master of Arts in Theology,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
J25M02/007,A10175,Master of Arts in Theology,Uganda Martyrs High School,Kampala,Tier 2,Private/Faith-based
KJ25M02/001,A10148,Master of Arts in Theology,Tororo Girls School,Tororo,Tier 2,Private/Faith-based
KM24M02/001,A10146,Master of Arts in Theology,Jinja Secondary School,Jinja,Tier 2,Public/Mixed
KM25M02/006,A10170,Master of Arts in Theology,Kiira College Butiki,Jinja,Tier 2,Private/Faith-based
KS24M02/001,A10145,Master of Arts in Theology,St. Joseph's Layibi,Gulu,Tier 2,Private/Faith-based
KS24M02/007,A10186,Master of Arts in Theology,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
M24M02/003,A10152,Master of Arts in Theology,Lira Town College,Lira,Tier 2,Private/Faith-based
M24M02/006,A10161,Master of Arts in Theology,Soroti Secondary School,Soroti,Tier 2,Public/Mixed
M24M02/008,A10167,Master of Arts in Theology,King's College Budo,Kampala,Tier 1,Private/Faith-based
M25M02/001,A10144,Master of Arts in Theology,Lira Town College,Lira,Tier 2,Private/Faith-based
M25M02/003,A10153,Master of Arts in Theology,Nabisunsa Girls School,Kampala,Tier 1,Private/Faith-based
M25M02/005,A10165,Master of Arts in Theology,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
M25M02/009,A10184,Master of Arts in Theology,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed
S24M02/003,A10150,Master of Arts in Theology,Mubende Secondary School,Mubende,Tier 2,Public/Mixed
S24M02/005,A10172,Master of Arts in Theology,Lira Town College,Lira,Tier 2,Private/Faith-based
S25M02/002,A10164,Master of Arts in Theology,Mbarara High School,Mbarara,Tier 1,Private/Faith-based
S25M02/004,A10178,Master of Arts in Theology,Lwengo Secondary School,Lwengo,Tier 2,Public/Mixed
J24M03/002,A10212,Master of Divinity,Gomba Secondary School,Gomba,Tier 2,Public/Mixed
J25M03/001,A10188,Master of Divinity,Ntare School,Kampala,Tier 1,Public/Mixed
J25M03/004,A10203,Master of Divinity,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
J25M03/007,A10223,Master of Divinity,Uganda Martyrs High School,Kampala,Tier 2,Private/Faith-based
KJ25M03/003,A10199,Master of Divinity,Jinja Secondary School,Jinja,Tier 2,Public/Mixed
KJ25M03/008,A10225,Master of Divinity,Pallisa Secondary School,Pallisa,Tier 2,Public/Mixed
KM24M03/005,A10192,Master of Divinity,Sembabule Secondary School,Sembabule,Tier 2,Public/Mixed
KS25M03/006,A10215,Master of Divinity,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based
M24M03/001,A10187,Master of Divinity,Kumi Secondary School,Kumi,Tier 2,Public/Mixed
M24M03/003,A10190,Master of Divinity,Masaka Secondary School,Masaka,Tier 2,Public/Mixed
M24M03/006,A10198,Master of Divinity,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
M24M03/008,A10218,Master of Divinity,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed
M25M03/002,A10202,Master of Divinity,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based
S24M03/001,A10195,Master of Divinity,Mbale Secondary School,Mbale,Tier 2,Public/Mixed
S24M03/003,A10207,Master of Divinity,Kabarole Secondary School,Kabarole,Tier 2,Public/Mixed
S24M03/005,A10210,Master of Divinity,Kotido Secondary School,Kotido,Tier 2,Public/Mixed
S24M03/007,A10227,Master of Divinity,Uganda Martyrs High School,Kampala,Tier 2,Private/Faith-based
S25M03/002,A10196,Master of Divinity,Uganda Martyrs High School,Kampala,Tier 2,Private/Faith-based
S25M03/004,A10200,Master of Divinity,Mubende Secondary School,Mubende,Tier 2,Public/Mixed
S25M03/007,A10217,Master of Divinity,Masaka Secondary School,Masaka,Tier 2,Public/Mixed
S25M03/009,A10222,Master of Divinity,Nebbi Secondary School,Nebbi,Tier 2,Public/Mixed
S25M03/011,A10226,Master of Divinity,Mbale Secondary School,Mbale,Tier 2,Public/Mixed
J24M01/002,A10236,Master of Theological Studies,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based
J24M01/004,A10260,Master of Theological Studies,Hoima Secondary School,Hoima,Tier 2,Public/Mixed
J24M01/006,A10263,Master of Theological Studies,Lubiri Secondary School,Kampala,Tier 2,Public/Mixed
J25M01/001,A10237,Master of Theological Studies,Kiira College Butiki,Jinja,Tier 2,Private/Faith-based
J25M01/003,A10251,Master of Theological Studies,Bukomansimbi Secondary School,Bukomansimbi,Tier 2,Public/Mixed
J25M01/006,A10264,Master of Theological Studies,Kibale Secondary School,Kibale,Tier 2,Public/Mixed
KJ25M01/005,A10259,Master of Theological Studies,Gayaza High School,Kampala,Tier 1,Private/Faith-based
KS24M01/002,A10252,Master of Theological Studies,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed
KS25M01/010,A10271,Master of Theological Studies,St. Henry's College Kitovu,Masaka,Tier 1,Private/Faith-based
M24M01/001,A10232,Master of Theological Studies,Kiboga Secondary School,Kiboga,Tier 2,Public/Mixed
M24M01/003,A10238,Master of Theological Studies,Lyantonde Secondary School,Lyantonde,Tier 2,Public/Mixed
M24M01/005,A10253,Master of Theological Studies,Arua Public Secondary School,Arua,Tier 2,Public/Mixed
M24M01/007,A10269,Master of Theological Studies,Kotido Secondary School,Kotido,Tier 2,Public/Mixed
M25M01/002,A10245,Master of Theological Studies,Kiboga Secondary School,Kiboga,Tier 2,Public/Mixed
M25M01/004,A10248,Master of Theological Studies,St. Henry's College Kitovu,Masaka,Tier 1,Private/Faith-based
M25M01/007,A10275,Master of Theological Studies,Namagunga Girls School,Kampala,Tier 1,Private/Faith-based
S24M01/003,A10254,Master of Theological Studies,Muni Girls School,Arua,Tier 2,Private/Faith-based
S24M01/005,A10261,Master of Theological Studies,Gulu High School,Gulu,Tier 2,Private/Faith-based
S25M01/002,A10240,Master of Theological Studies,Fort Portal Secondary School,Fort Portal,Tier 2,Public/Mixed
S25M01/005,A10250,Master of Theological Studies,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
S25M01/007,A10258,Master of Theological Studies,Ntare School,Kampala,Tier 1,Public/Mixed
S25M01/009,A10270,Master of Theological Studies,Ntare School Mbarara,Mbarara,Tier 1,Public/Mixed
J24P04/003,A10286,PhD in Theology,Muni Girls School,Arua,Tier 2,Private/Faith-based
J24P04/005,A10300,PhD in Theology,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
J25P04/002,A10281,PhD in Theology,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based
J25P04/004,A10294,PhD in Theology,St. Peter's College Tororo,Tororo,Tier 2,Private/Faith-based
KJ24P04/001,A10278,PhD in Theology,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
KS24P04/003,A10296,PhD in Theology,Namagunga Girls School,Kampala,Tier 1,Private/Faith-based
M24P04/001,A10276,PhD in Theology,Duhaga Secondary School,Hoima,Tier 2,Public/Mixed
M25P04/001,A10280,PhD in Theology,Mityana Secondary School,Mityana,Tier 2,Public/Mixed
M25P04/003,A10287,PhD in Theology,Fort Portal Secondary School,Fort Portal,Tier 2,Public/Mixed
M25P04/005,A10292,PhD in Theology,Jinja Secondary School,Jinja,Tier 2,Public/Mixed
S24P04/002,A10295,PhD in Theology,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based
S25P04/001,A10288,PhD in Theology,Gayaza High School,Kampala,Tier 1,Private/Faith-based
J23B39/002,A10322,Bachelor of Science in Agricultural Science and Entrepreneurship,Ntare School Mbarara,Mbarara,Tier 1,Public/Mixed
J23B39/004,A10327,Bachelor of Science in Agricultural Science and Entrepreneurship,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed
J23B39/007,A10349,Bachelor of Science in Agricultural Science and Entrepreneurship,St. Mary's College Kisubi,Kampala,Tier 1,Private/Faith-based
J23B39/009,A10361,Bachelor of Science in Agricultural Science and Entrepreneurship,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based
J23B39/011,A10371,Bachelor of Science in Agricultural Science and Entrepreneurship,Soroti Secondary School,Soroti,Tier 2,Public/Mixed
J23B39/013,A10391,Bachelor of Science in Agricultural Science and Entrepreneurship,Kibale Secondary School,Kibale,Tier 2,Public/Mixed
J23B39/016,A10402,Bachelor of Science in Agricultural Science and Entrepreneurship,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed
J24B39/002,A10306,Bachelor of Science in Agricultural Science and Entrepreneurship,Arua Public Secondary School,Arua,Tier 2,Public/Mixed
J24B39/004,A10318,Bachelor of Science in Agricultural Science and Entrepreneurship,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
J24B39/007,A10358,Bachelor of Science in Agricultural Science and Entrepreneurship,Ngora High School,Soroti,Tier 2,Private/Faith-based
J24B39/009,A10367,Bachelor of Science in Agricultural Science and Entrepreneurship,St. Henry's College Kitovu,Masaka,Tier 1,Private/Faith-based
J24B39/012,A10387,Bachelor of Science in Agricultural Science and Entrepreneurship,Lira Town College,Lira,Tier 2,Private/Faith-based
J25B39/001,A10313,Bachelor of Science in Agricultural Science and Entrepreneurship,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based
J25B39/003,A10324,Bachelor of Science in Agricultural Science and Entrepreneurship,St. Leo's College Fort Portal,Fort Portal,Tier 2,Private/Faith-based
J25B39/006,A10369,Bachelor of Science in Agricultural Science and Entrepreneurship,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
J25B39/008,A10394,Bachelor of Science in Agricultural Science and Entrepreneurship,Namasagali College,Kamuli,Tier 1,Private/Faith-based
KJ23B39/005,A10333,Bachelor of Science in Agricultural Science and Entrepreneurship,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
KJ24B39/005,A10331,Bachelor of Science in Agricultural Science and Entrepreneurship,Lwengo Secondary School,Lwengo,Tier 2,Public/Mixed
KJ25B39/005,A10356,Bachelor of Science in Agricultural Science and Entrepreneurship,Mbarara High School,Mbarara,Tier 1,Private/Faith-based
KM23B39/003,A10314,Bachelor of Science in Agricultural Science and Entrepreneurship,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed
KM23B39/007,A10354,Bachelor of Science in Agricultural Science and Entrepreneurship,Mbarara High School,Mbarara,Tier 1,Private/Faith-based
KM23B39/011,A10372,Bachelor of Science in Agricultural Science and Entrepreneurship,Kabarole Secondary School,Kabarole,Tier 2,Public/Mixed
KM25B39/003,A10319,Bachelor of Science in Agricultural Science and Entrepreneurship,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
KS23B39/011,A10375,Bachelor of Science in Agricultural Science and Entrepreneurship,Kumi Secondary School,Kumi,Tier 2,Public/Mixed
KS24B39/010,A10399,Bachelor of Science in Agricultural Science and Entrepreneurship,St. Mary's College Rushoroza,Kabarole,Tier 2,Private/Faith-based
KS25B39/003,A10353,Bachelor of Science in Agricultural Science and Entrepreneurship,Gayaza High School,Kampala,Tier 1,Private/Faith-based
M23B39/001,A10301,Bachelor of Science in Agricultural Science and Entrepreneurship,Muni Girls School,Arua,Tier 2,Private/Faith-based
M23B39/006,A10352,Bachelor of Science in Agricultural Science and Entrepreneurship,Makerere College School,Kampala,Tier 2,Private/Faith-based
M23B39/009,A10366,Bachelor of Science in Agricultural Science and Entrepreneurship,St. Lawrence Schools,Kampala,Tier 2,Private/Faith-based
M23B39/013,A10393,Bachelor of Science in Agricultural Science and Entrepreneurship,Masaka Secondary School,Masaka,Tier 2,Public/Mixed
M24B39/001,A10329,Bachelor of Science in Agricultural Science and Entrepreneurship,Namagunga Girls School,Kampala,Tier 1,Private/Faith-based
M24B39/003,A10351,Bachelor of Science in Agricultural Science and Entrepreneurship,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
M24B39/006,A10385,Bachelor of Science in Agricultural Science and Entrepreneurship,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
M24B39/008,A10403,Bachelor of Science in Agricultural Science and Entrepreneurship,Masaka Secondary School,Masaka,Tier 2,Public/Mixed
M25B39/002,A10316,Bachelor of Science in Agricultural Science and Entrepreneurship,Gulu High School,Gulu,Tier 2,Private/Faith-based
M25B39/005,A10334,Bachelor of Science in Agricultural Science and Entrepreneurship,Lira Town College,Lira,Tier 2,Private/Faith-based
M25B39/008,A10342,Bachelor of Science in Agricultural Science and Entrepreneurship,Kumi Secondary School,Kumi,Tier 2,Public/Mixed
M25B39/010,A10370,Bachelor of Science in Agricultural Science and Entrepreneurship,Jinja Secondary School,Jinja,Tier 2,Public/Mixed
M25B39/012,A10388,Bachelor of Science in Agricultural Science and Entrepreneurship,St. Katherine's Secondary School,Lira,Tier 2,Private/Faith-based
S23B39/002,A10310,Bachelor of Science in Agricultural Science and Entrepreneurship,Makerere College School,Kampala,Tier 2,Private/Faith-based
S23B39/004,A10320,Bachelor of Science in Agricultural Science and Entrepreneurship,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
S23B39/006,A10326,Bachelor of Science in Agricultural Science and Entrepreneurship,Kotido Secondary School,Kotido,Tier 2,Public/Mixed
S23B39/008,A10339,Bachelor of Science in Agricultural Science and Entrepreneurship,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
S23B39/010,A10362,Bachelor of Science in Agricultural Science and Entrepreneurship,St. Leo's College Fort Portal,Fort Portal,Tier 2,Private/Faith-based
S23B39/013,A10379,Bachelor of Science in Agricultural Science and Entrepreneurship,King's College Budo,Kampala,Tier 1,Private/Faith-based
S24B39/002,A10325,Bachelor of Science in Agricultural Science and Entrepreneurship,Gayaza High School,Kampala,Tier 1,Private/Faith-based
S24B39/004,A10337,Bachelor of Science in Agricultural Science and Entrepreneurship,King's College Budo,Kampala,Tier 1,Private/Faith-based
S24B39/007,A10359,Bachelor of Science in Agricultural Science and Entrepreneurship,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
S24B39/009,A10397,Bachelor of Science in Agricultural Science and Entrepreneurship,Kyegegwa Secondary School,Kyegegwa,Tier 2,Public/Mixed
S25B39/001,A10307,Bachelor of Science in Agricultural Science and Entrepreneurship,Kakumiro Secondary School,Kakumiro,Tier 2,Public/Mixed
S25B39/005,A10374,Bachelor of Science in Agricultural Science and Entrepreneurship,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
S25B39/008,A10398,Bachelor of Science in Agricultural Science and Entrepreneurship,Lira Town College,Lira,Tier 2,Private/Faith-based
J23B41/004,A10450,Bachelor of Science in Food Science and Technology,Lyantonde Secondary School,Lyantonde,Tier 2,Public/Mixed
J23B41/007,A10463,Bachelor of Science in Food Science and Technology,Seeta High School,Kampala,Tier 2,Private/Faith-based
J23B41/009,A10468,Bachelor of Science in Food Science and Technology,St. Lawrence Schools,Kampala,Tier 2,Private/Faith-based
J23B41/012,A10500,Bachelor of Science in Food Science and Technology,Moroto High School,Moroto,Tier 2,Private/Faith-based
J24B41/003,A10432,Bachelor of Science in Food Science and Technology,St. Lawrence Schools,Kampala,Tier 2,Private/Faith-based
J24B41/006,A10465,Bachelor of Science in Food Science and Technology,King's College Budo,Kampala,Tier 1,Private/Faith-based
J24B41/008,A10480,Bachelor of Science in Food Science and Technology,Hoima Secondary School,Hoima,Tier 2,Public/Mixed
J25B41/001,A10425,Bachelor of Science in Food Science and Technology,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
J25B41/003,A10449,Bachelor of Science in Food Science and Technology,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
J25B41/006,A10479,Bachelor of Science in Food Science and Technology,St. Joseph's Layibi,Gulu,Tier 2,Private/Faith-based
J25B41/008,A10491,Bachelor of Science in Food Science and Technology,Ntare School,Kampala,Tier 1,Public/Mixed
J25B41/010,A10497,Bachelor of Science in Food Science and Technology,Ngora High School,Soroti,Tier 2,Private/Faith-based
KJ23B41/001,A10411,Bachelor of Science in Food Science and Technology,Ngora High School,Soroti,Tier 2,Private/Faith-based
KJ23B41/006,A10461,Bachelor of Science in Food Science and Technology,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
KJ24B41/001,A10406,Bachelor of Science in Food Science and Technology,Mityana Secondary School,Mityana,Tier 2,Public/Mixed
KJ24B41/005,A10458,Bachelor of Science in Food Science and Technology,St. Peter's College Tororo,Tororo,Tier 2,Private/Faith-based
KM23B41/002,A10416,Bachelor of Science in Food Science and Technology,St. Katherine's Secondary School,Lira,Tier 2,Private/Faith-based
KM24B41/005,A10436,Bachelor of Science in Food Science and Technology,Namagunga Girls School,Kampala,Tier 1,Private/Faith-based
KM24B41/011,A10501,Bachelor of Science in Food Science and Technology,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
KM25B41/004,A10426,Bachelor of Science in Food Science and Technology,Masaka Secondary School,Masaka,Tier 2,Public/Mixed
KM25B41/010,A10460,Bachelor of Science in Food Science and Technology,Jinja Secondary School,Jinja,Tier 2,Public/Mixed
KM25B41/014,A10495,Bachelor of Science in Food Science and Technology,Kumi Secondary School,Kumi,Tier 2,Public/Mixed
KS23B41/003,A10420,Bachelor of Science in Food Science and Technology,Pallisa Secondary School,Pallisa,Tier 2,Public/Mixed
KS24B41/003,A10430,Bachelor of Science in Food Science and Technology,St. Henry's College Kitovu,Masaka,Tier 1,Private/Faith-based
KS24B41/007,A10453,Bachelor of Science in Food Science and Technology,St. Joseph's Secondary School Naggalama,Wakiso,Tier 2,Private/Faith-based
KS25B41/005,A10469,Bachelor of Science in Food Science and Technology,St. Mary's College Kisubi,Kampala,Tier 1,Private/Faith-based
M23B41/001,A10413,Bachelor of Science in Food Science and Technology,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed
M23B41/005,A10452,Bachelor of Science in Food Science and Technology,Tororo Girls School,Tororo,Tier 2,Private/Faith-based
M23B41/007,A10494,Bachelor of Science in Food Science and Technology,St. Mary's College Kisubi,Kampala,Tier 1,Private/Faith-based
M24B41/001,A10407,Bachelor of Science in Food Science and Technology,Kalangala Secondary School,Kalangala,Tier 2,Public/Mixed
M24B41/003,A10417,Bachelor of Science in Food Science and Technology,St. Katherine's Secondary School,Lira,Tier 2,Private/Faith-based
M24B41/006,A10443,Bachelor of Science in Food Science and Technology,Duhaga Secondary School,Hoima,Tier 2,Public/Mixed
M24B41/008,A10448,Bachelor of Science in Food Science and Technology,Masaka Secondary School,Masaka,Tier 2,Public/Mixed
M25B41/001,A10409,Bachelor of Science in Food Science and Technology,Arua Public Secondary School,Arua,Tier 2,Public/Mixed
M25B41/005,A10427,Bachelor of Science in Food Science and Technology,Jinja Secondary School,Jinja,Tier 2,Public/Mixed
M25B41/008,A10454,Bachelor of Science in Food Science and Technology,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed
M25B41/011,A10471,Bachelor of Science in Food Science and Technology,Namagunga Girls School,Kampala,Tier 1,Private/Faith-based
M25B41/016,A10509,Bachelor of Science in Food Science and Technology,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based
S23B41/002,A10419,Bachelor of Science in Food Science and Technology,St. Joseph's Secondary School Mukono,Mukono,Tier 2,Private/Faith-based
S23B41/005,A10429,Bachelor of Science in Food Science and Technology,Seeta High School,Kampala,Tier 2,Private/Faith-based
S23B41/008,A10484,Bachelor of Science in Food Science and Technology,St. Henry's College Kitovu,Masaka,Tier 1,Private/Faith-based
S23B41/010,A10492,Bachelor of Science in Food Science and Technology,St. Katherine's Secondary School,Lira,Tier 2,Private/Faith-based
