payment_id,student_id,payment_date,year,amount,tuition_national,tuition_international,functional_fees,payment_method,status,semester
PAY000021,M24B01/001,2025-12-10,2024,1688559.0,1818000.0,0.0,983000.0,Bank Transfer,Pending,Jan (Easter Semester)
PAY000022,M24B01/001,2024-09-06,2024,2112411.0,1818000.0,0.0,983000.0,Credit Card,Pending,May (Trinity Semester)
PAY000023,M22B01/003,2024-10-08,2025,960769.0,1818000.0,0.0,983000.0,Cash,Failed,Jan (Easter Semester)
PAY000024,M22B01/003,2024-04-26,2024,2230908.0,1818000.0,0.0,983000.0,Cash,Pending,September (Advent)
PAY000025,M22B01/003,2026-02-13,2025,2287203.0,1818000.0,0.0,983000.0,Bank Transfer,Pending,September (Advent)
PAY000026,M22B01/003,2025-05-04,2025,2509960.0,1818000.0,0.0,983000.0,Mobile Money,Pending,May (Trinity Semester)
PAY000027,J21B01/001,2023-03-20,2025,2606267.0,1818000.0,0.0,983000.0,Cash,Pending,Jan (Easter Semester)
PAY000028,J21B01/001,2024-12-28,2026,1097523.0,1818000.0,0.0,983000.0,Bank Transfer,Failed,September (Advent)
PAY000029,J21B01/001,2025-11-02,2025,895700.0,1818000.0,0.0,983000.0,Cash,Failed,May (Trinity Semester)
PAY000030,J21B01/001,2025-10-28,2025,1038205.0,1818000.0,0.0,983000.0,Mobile Money,Failed,September (Advent)
PAY000031,J21B01/001,2025-04-14,2025,1481307.0,1818000.0,0.0,983000.0,Mobile Money,Pending,Jan (Easter Semester)
PAY000032,J21B01/001,2025-11-30,2024,1456102.0,1818000.0,0.0,983000.0,Mobile Money,Pending,Jan (Easter Semester)
PAY000033,S22B01/001,2025-10-01,2025,1878483.0,0.0,2727000.0,983000.0,Credit Card,Pending,Jan (Easter Semester)
PAY000034,S22B01/001,2023-11-08,2023,3434262.0,0.0,2727000.0,983000.0,Credit Card,Pending,Jan (Easter Semester)
PAY000035,S22B01/001,2023-11-15,2024,2934986.0,0.0,2727000.0,983000.0,Mobile Money,Pending,Jan (Easter Semester)
PAY000036,S22B01/001,2025-03-19,2023,1899094.0,0.0,2727000.0,983000.0,Credit Card,Pending,May (Trinity Semester)
PAY000037,S22B01/001,2023-08-16,2024,1458274.0,0.0,2727000.0,983000.0,Cash,Failed,May (Trinity Semester)
PAY000038,S22B01/001,2026-01-13,2026,2013046.0,0.0,2727000.0,983000.0,Bank Transfer,Pending,September (Advent)
PAY000039,J23B01/001,2023-05-28,2024,3044004.0,0.0,2727000.0,983000.0,Mobile Money,Pending,May (Trinity Semester)
PAY000040,J23B01/001,2024-06-28,2023,1759151.0,0.0,2727000.0,983000.0,Credit Card,Failed,May (Trinity Semester)
PAY000041,J23B01/001,2024-02-02,2026,3622612.0,0.0,2727000.0,983000.0,Cash,Completed,Jan (Easter Semester)
PAY000042,J23B01/001,2025-06-28,2023,2232504.0,0.0,2727000.0,983000.0,Mobile Money,Pending,Jan (Easter Semester)
PAY000043,M21B01/003,2024-12-01,2025,2315414.0,1818000.0,0.0,983000.0,Cash,Pending,May (Trinity Semester)
PAY000044,M21B01/003,2025-01-29,2023,1789049.0,1818000.0,0.0,983000.0,Bank Transfer,Pending,September (Advent)
PAY000045,M21B01/003,2025-03-25,2024,1052089.0,1818000.0,0.0,983000.0,Cash,Failed,Jan (Easter Semester)
PAY000046,M21B01/003,2024-09-20,2023,2776052.0,1818000.0,0.0,983000.0,Mobile Money,Completed,May (Trinity Semester)
PAY000047,M22B01/004,2024-09-08,2026,1223376.0,1818000.0,0.0,983000.0,Credit Card,Failed,September (Advent)
PAY000048,M22B01/004,2024-11-21,2023,1455021.0,1818000.0,0.0,983000.0,Credit Card,Pending,September (Advent)
PAY000049,M22B01/004,2023-10-01,2025,2031489.0,1818000.0,0.0,983000.0,Credit Card,Pending,September (Advent)
PAY000050,M22B01/004,2023-09-13,2024,1728597.0,1818000.0,0.0,983000.0,Cash,Pending,May (Trinity Semester)
PAY000051,M22B01/004,2026-01-04,2024,1692138.0,1818000.0,0.0,983000.0,Mobile Money,Pending,September (Advent)
PAY000052,M24B01/002,2024-08-20,2025,2552081.0,1818000.0,0.0,983000.0,Mobile Money,Pending,May (Trinity Semester)
PAY000053,M24B01/002,2025-06-20,2026,1660196.0,1818000.0,0.0,983000.0,Bank Transfer,Pending,September (Advent)
PAY000054,M24B01/002,2024-04-14,2023,2049095.0,1818000.0,0.0,983000.0,Credit Card,Pending,Jan (Easter Semester)
PAY000055,M24B01/002,2026-01-12,2025,2107550.0,1818000.0,0.0,983000.0,Cash,Pending,September (Advent)
PAY000056,M24B01/002,2024-05-05,2023,1131599.0,1818000.0,0.0,983000.0,Mobile Money,Failed,May (Trinity Semester)
PAY000057,M23B01/002,2025-07-28,2024,1890806.0,1818000.0,0.0,983000.0,Credit Card,Pending,September (Advent)
PAY000058,M23B01/002,2024-03-01,2024,1642801.0,1818000.0,0.0,983000.0,Cash,Pending,September (Advent)
PAY000059,M23B01/002,2025-04-10,2024,2237545.0,1818000.0,0.0,983000.0,Credit Card,Pending,Jan (Easter Semester)
PAY000060,J21B01/002,2024-01-29,2023,1030396.0,1818000.0,0.0,983000.0,Bank Transfer,Failed,Jan (Easter Semester)
PAY000061,J21B01/002,2023-03-17,2024,2010776.0,1818000.0,0.0,983000.0,Mobile Money,Pending,May (Trinity Semester)
PAY000062,J21B01/002,2025-11-01,2023,2422170.0,1818000.0,0.0,983000.0,Credit Card,Pending,September (Advent)
PAY000063,J21B01/002,2025-04-21,2023,2030281.0,1818000.0,0.0,983000.0,Cash,Pending,Jan (Easter Semester)
PAY000064,S24B01/002,2025-04-19,2024,1494243.0,1818000.0,0.0,983000.0,Credit Card,Pending,Jan (Easter Semester)
PAY000065,S24B01/002,2023-04-21,2025,1426947.0,1818000.0,0.0,983000.0,Bank Transfer,Pending,Jan (Easter Semester)
PAY000066,S24B01/002,2025-12-18,2026,1151832.0,1818000.0,0.0,983000.0,Credit Card,Failed,May (Trinity Semester)
PAY000067,S24B01/002,2025-02-16,2025,2492453.0,1818000.0,0.0,983000.0,Cash,Pending,May (Trinity Semester)
PAY000068,S24B01/002,2024-05-22,2026,904991.0,1818000.0,0.0,983000.0,Mobile Money,Failed,May (Trinity Semester)
PAY000069,M21B01/004,2024-05-17,2024,1635152.0,0.0,2727000.0,983000.0,Mobile Money,Failed,May (Trinity Semester)
PAY000070,J22B01/002,2023-10-03,2023,2387985.0,1818000.0,0.0,983000.0,Bank Transfer,Pending,September (Advent)
PAY000071,J22B01/002,2025-08-08,2023,1982954.0,1818000.0,0.0,983000.0,Credit Card,Pending,September (Advent)
PAY000072,J22B01/002,2023-08-23,2025,885619.0,1818000.0,0.0,983000.0,Bank Transfer,Failed,Jan (Easter Semester)
PAY000073,J22B01/002,2025-03-25,2026,1373504.0,1818000.0,0.0,983000.0,Credit Card,Failed,May (Trinity Semester)
PAY000074,S23B01/002,2025-05-10,2026,2453810.0,1818000.0,0.0,983000.0,Bank Transfer,Pending,September (Advent)
PAY000075,S23B01/002,2024-03-06,2026,2189763.0,1818000.0,0.0,983000.0,Bank Transfer,Pending,Jan (Easter Semester)
PAY000076,M22B01/005,2024-06-28,2024,947773.0,1818000.0,0.0,983000.0,Bank Transfer,Failed,May (Trinity Semester)
PAY000077,M22B01/005,2024-11-12,2026,1208498.0,1818000.0,0.0,983000.0,Credit Card,Failed,May (Trinity Semester)
PAY000078,M22B01/005,2023-04-07,2024,1454603.0,1818000.0,0.0,983000.0,Bank Transfer,Pending,May (Trinity Semester)
PAY000079,M22B01/005,2024-08-31,2025,2454628.0,1818000.0,0.0,983000.0,Cash,Pending,September (Advent)
PAY000080,M22B01/005,2024-03-09,2025,2642017.0,1818000.0,0.0,983000.0,Bank Transfer,Pending,September (Advent)
PAY000081,J21B01/003,2024-08-25,2026,1015185.0,1818000.0,0.0,983000.0,Mobile Money,Failed,Jan (Easter Semester)
PAY000082,J21B01/003,2023-08-19,2024,2137265.0,1818000.0,0.0,983000.0,Cash,Pending,September (Advent)
PAY000083,J21B01/003,2024-05-29,2024,1316919.0,1818000.0,0.0,983000.0,Bank Transfer,Failed,Jan (Easter Semester)
PAY000084,S22B01/002,2023-05-04,2025,2187828.0,1818000.0,0.0,983000.0,Bank Transfer,Pending,September (Advent)
PAY000085,S22B01/002,2026-02-07,2026,2471537.0,1818000.0,0.0,983000.0,Credit Card,Pending,September (Advent)
PAY000086,S22B01/002,2024-03-06,2025,2144462.0,1818000.0,0.0,983000.0,Bank Transfer,Pending,Jan (Easter Semester)
PAY000087,S22B01/002,2023-11-22,2026,2784141.0,1818000.0,0.0,983000.0,Mobile Money,Completed,September (Advent)
PAY000088,S22B01/002,2025-06-30,2025,1142740.0,1818000.0,0.0,983000.0,Mobile Money,Failed,September (Advent)
PAY000089,S22B01/002,2025-12-12,2025,2624212.0,1818000.0,0.0,983000.0,Bank Transfer,Pending,September (Advent)
PAY000090,J22B01/003,2023-03-15,2024,1669842.0,1818000.0,0.0,983000.0,Cash,Pending,September (Advent)
PAY000091,J22B01/003,2024-05-29,2023,1523956.0,1818000.0,0.0,983000.0,Credit Card,Pending,September (Advent)
PAY000092,J22B01/003,2024-10-25,2023,2761285.0,1818000.0,0.0,983000.0,Mobile Money,Completed,Jan (Easter Semester)
PAY000093,M21B01/005,2024-05-26,2025,2737948.0,1818000.0,0.0,983000.0,Credit Card,Completed,Jan (Easter Semester)
PAY000094,M21B01/005,2024-06-05,2024,2061894.0,1818000.0,0.0,983000.0,Bank Transfer,Pending,May (Trinity Semester)
PAY000095,M21B01/005,2025-02-04,2024,2124355.0,1818000.0,0.0,983000.0,Cash,Pending,May (Trinity Semester)
PAY000096,S21B01/001,2023-07-09,2026,1302154.0,1818000.0,0.0,983000.0,Credit Card,Failed,Jan (Easter Semester)
PAY000097,S21B01/001,2023-07-30,2025,2643511.0,1818000.0,0.0,983000.0,Cash,Pending,May (Trinity Semester)
PAY000098,S21B01/001,2023-09-16,2026,1899549.0,1818000.0,0.0,983000.0,Cash,Pending,Jan (Easter Semester)
PAY000099,M22B01/006,2023-08-24,2024,1301986.0,1818000.0,0.0,983000.0,Cash,Failed,September (Advent)
PAY000100,M22B01/006,2024-01-13,2026,984267.0,1818000.0,0.0,983000.0,Credit Card,Failed,September (Advent)
PAY000101,M23B01/003,2023-10-15,2025,1803567.0,1818000.0,0.0,983000.0,Mobile Money,Pending,Jan (Easter Semester)
PAY000102,M23B01/003,2025-07-27,2023,2405993.0,1818000.0,0.0,983000.0,Credit Card,Pending,Jan (Easter Semester)
PAY000103,M23B01/003,2024-10-23,2026,1734895.0,1818000.0,0.0,983000.0,Credit Card,Pending,Jan (Easter Semester)
PAY000104,J24B01/001,2025-07-02,2026,1739142.0,0.0,2727000.0,983000.0,Bank Transfer,Failed,Jan (Easter Semester)
PAY000105,J24B01/001,2023-03-27,2025,2990904.0,0.0,2727000.0,983000.0,Cash,Pending,September (Advent)
PAY000106,J24B01/001,2025-05-12,2025,1255290.0,0.0,2727000.0,983000.0,Cash,Failed,September (Advent)
PAY000107,J24B01/001,2023-05-14,2024,1961523.0,0.0,2727000.0,983000.0,Bank Transfer,Pending,Jan (Easter Semester)
PAY000108,J24B01/001,2023-03-18,2023,2784412.0,0.0,2727000.0,983000.0,Credit Card,Pending,September (Advent)
PAY000109,M21B01/006,2023-05-22,2023,1524487.0,1818000.0,0.0,983000.0,Mobile Money,Pending,May (Trinity Semester)
PAY000110,M21B01/006,2023-11-09,2026,2038596.0,1818000.0,0.0,983000.0,Mobile Money,Pending,Jan (Easter Semester)
PAY000111,J21B01/004,2024-12-29,2024,1971827.0,1818000.0,0.0,983000.0,Mobile Money,Pending,September (Advent)
PAY000112,J21B01/004,2025-08-24,2026,1620190.0,1818000.0,0.0,983000.0,Bank Transfer,Pending,September (Advent)
PAY000113,J21B01/004,2025-09-05,2024,1984300.0,1818000.0,0.0,983000.0,Bank Transfer,Pending,May (Trinity Semester)
PAY000114,M23B01/004,2023-03-16,2023,2498995.0,1818000.0,0.0,983000.0,Mobile Money,Pending,September (Advent)
PAY000115,M23B01/004,2024-08-20,2024,2349348.0,1818000.0,0.0,983000.0,Bank Transfer,Pending,September (Advent)
PAY000116,M23B01/004,2025-09-16,2024,1984480.0,1818000.0,0.0,983000.0,Bank Transfer,Pending,September (Advent)
PAY000117,M23B01/004,2025-08-20,2023,1070900.0,1818000.0,0.0,983000.0,Mobile Money,Failed,May (Trinity Semester)
PAY000118,M22B02/001,2025-09-05,2026,2534944.0,1818000.0,0.0,983000.0,Credit Card,Pending,Jan (Easter Semester)
PAY000119,M22B02/001,2023-07-08,2024,2552983.0,1818000.0,0.0,983000.0,Cash,Pending,May (Trinity Semester)
PAY000120,M22B02/001,2024-05-19,2023,1673109.0,1818000.0,0.0,983000.0,Credit Card,Pending,September (Advent)
PAY000121,S24B02/001,2025-08-06,2023,2190519.0,1818000.0,0.0,983000.0,Cash,Pending,Jan (Easter Semester)
PAY000122,S24B02/001,2025-01-29,2026,1829533.0,1818000.0,0.0,983000.0,Bank Transfer,Pending,September (Advent)
PAY000123,S24B02/001,2025-10-04,2025,1487801.0,1818000.0,0.0,983000.0,Mobile Money,Pending,Jan (Easter Semester)
PAY000124,S24B02/002,2024-05-01,2025,1940404.0,1818000.0,0.0,983000.0,Mobile Money,Pending,September (Advent)
PAY000125,S24B02/002,2023-06-17,2025,2759950.0,1818000.0,0.0,983000.0,Bank Transfer,Completed,May (Trinity Semester)
PAY000126,M21B02/001,2025-12-30,2024,2441352.0,0.0,2727000.0,983000.0,Credit Card,Pending,September (Advent)
PAY000127,M21B02/001,2025-02-15,2024,1454645.0,0.0,2727000.0,983000.0,Credit Card,Failed,May (Trinity Semester)
PAY000128,M21B02/001,2024-02-07,2025,1926244.0,0.0,2727000.0,983000.0,Credit Card,Pending,May (Trinity Semester)
PAY000129,J24B02/001,2025-01-20,2024,1689787.0,1818000.0,0.0,983000.0,Credit Card,Pending,Jan (Easter Semester)
PAY000130,J23B02/001,2025-03-21,2024,1768654.0,1818000.0,0.0,983000.0,Cash,Pending,Jan (Easter Semester)
PAY000131,J23B02/001,2025-02-19,2026,969201.0,1818000.0,0.0,983000.0,Cash,Failed,May (Trinity Semester)
PAY000132,J23B02/001,2025-10-18,2024,1080486.0,1818000.0,0.0,983000.0,Mobile Money,Failed,September (Advent)
PAY000133,J23B02/001,2025-07-13,2026,1947176.0,1818000.0,0.0,983000.0,Cash,Pending,Jan (Easter Semester)
PAY000134,J23B02/001,2023-11-26,2023,2026846.0,1818000.0,0.0,983000.0,Credit Card,Pending,September (Advent)
PAY000135,J23B02/001,2025-05-26,2024,961071.0,1818000.0,0.0,983000.0,Bank Transfer,Failed,September (Advent)
PAY000136,M21B02/002,2025-02-28,2024,2785454.0,1818000.0,0.0,983000.0,Credit Card,Completed,September (Advent)
PAY000137,M21B02/002,2025-05-26,2024,1159716.0,1818000.0,0.0,983000.0,Mobile Money,Failed,Jan (Easter Semester)
PAY000138,M21B02/002,2023-03-16,2026,1468778.0,1818000.0,0.0,983000.0,Credit Card,Pending,May (Trinity Semester)
PAY000139,M21B02/002,2023-04-15,2024,1449748.0,1818000.0,0.0,983000.0,Credit Card,Pending,Jan (Easter Semester)
PAY000140,M21B02/002,2024-12-20,2023,2477315.0,1818000.0,0.0,983000.0,Cash,Pending,Jan (Easter Semester)
PAY000141,M21B02/002,2024-03-04,2023,2775411.0,1818000.0,0.0,983000.0,Mobile Money,Completed,Jan (Easter Semester)
PAY000142,J23B02/002,2024-02-13,2024,1177217.0,1818000.0,0.0,983000.0,Bank Transfer,Failed,September (Advent)
PAY000143,M23B02/001,2026-01-09,2024,2639951.0,0.0,2727000.0,983000.0,Mobile Money,Pending,September (Advent)
PAY000144,M23B02/001,2024-05-01,2025,2913174.0,0.0,2727000.0,983000.0,Credit Card,Pending,Jan (Easter Semester)
PAY000145,M23B02/001,2025-11-17,2023,3244163.0,0.0,2727000.0,983000.0,Mobile Money,Pending,September (Advent)
PAY000146,M23B02/002,2024-07-29,2023,1575527.0,0.0,2727000.0,983000.0,Bank Transfer,Failed,Jan (Easter Semester)
PAY000147,M23B02/002,2023-08-11,2026,2032645.0,0.0,2727000.0,983000.0,Mobile Money,Pending,September (Advent)
PAY000148,M23B02/002,2025-05-25,2023,2062046.0,0.0,2727000.0,983000.0,Credit Card,Pending,September (Advent)
PAY000149,M23B02/002,2024-06-23,2024,2941030.0,0.0,2727000.0,983000.0,Bank Transfer,Pending,Jan (Easter Semester)
PAY000150,M23B02/002,2023-07-28,2024,2044089.0,0.0,2727000.0,983000.0,Bank Transfer,Pending,September (Advent)
PAY000151,M23B02/002,2024-07-13,2023,3425886.0,0.0,2727000.0,983000.0,Credit Card,Pending,Jan (Easter Semester)
PAY000152,J21B02/001,2025-09-05,2023,1298416.0,1818000.0,0.0,983000.0,Cash,Failed,September (Advent)
PAY000153,J21B02/001,2023-05-22,2025,1361746.0,1818000.0,0.0,983000.0,Mobile Money,Failed,May (Trinity Semester)
PAY000154,J21B02/002,2026-01-14,2023,1488400.0,0.0,2727000.0,983000.0,Credit Card,Failed,September (Advent)
PAY000155,S21B02/001,2025-05-31,2026,2106679.0,1818000.0,0.0,983000.0,Mobile Money,Pending,Jan (Easter Semester)
PAY000156,S21B02/001,2025-04-25,2025,2679896.0,1818000.0,0.0,983000.0,Bank Transfer,Completed,Jan (Easter Semester)
PAY000157,S21B02/001,2026-01-22,2026,2529492.0,1818000.0,0.0,983000.0,Mobile Money,Pending,September (Advent)
PAY000158,S21B02/001,2026-02-02,2023,1989523.0,1818000.0,0.0,983000.0,Credit Card,Pending,Jan (Easter Semester)
PAY000159,S21B02/001,2025-05-11,2026,2784585.0,1818000.0,0.0,983000.0,Cash,Completed,Jan (Easter Semester)
PAY000160,M23B02/003,2024-05-17,2026,1817832.0,1818000.0,0.0,983000.0,Cash,Pending,September (Advent)
PAY000161,S24B02/003,2026-02-10,2025,1345071.0,1818000.0,0.0,983000.0,Mobile Money,Failed,Jan (Easter Semester)
PAY000162,S24B02/003,2025-02-14,2026,2226925.0,1818000.0,0.0,983000.0,Mobile Money,Pending,May (Trinity Semester)
PAY000163,S21B02/002,2025-06-03,2025,1822284.0,1818000.0,0.0,983000.0,Bank Transfer,Pending,Jan (Easter Semester)
PAY000164,S21B02/002,2026-01-08,2023,2714686.0,1818000.0,0.0,983000.0,Mobile Money,Completed,September (Advent)
PAY000165,S21B02/002,2024-12-02,2026,1184765.0,1818000.0,0.0,983000.0,Mobile Money,Failed,May (Trinity Semester)
PAY000166,S21B02/002,2024-11-10,2026,1848406.0,1818000.0,0.0,983000.0,Mobile Money,Pending,Jan (Easter Semester)
PAY000167,J24B02/002,2025-05-01,2024,2088710.0,1818000.0,0.0,983000.0,Mobile Money,Pending,September (Advent)
PAY000168,J24B02/002,2024-09-07,2025,1091013.0,1818000.0,0.0,983000.0,Mobile Money,Failed,September (Advent)
PAY000169,J24B02/002,2025-09-26,2024,1045924.0,1818000.0,0.0,983000.0,Credit Card,Failed,May (Trinity Semester)
PAY000170,J24B02/002,2023-03-31,2025,1479926.0,1818000.0,0.0,983000.0,Mobile Money,Pending,September (Advent)
PAY000171,J24B02/002,2025-09-06,2024,2664530.0,1818000.0,0.0,983000.0,Cash,Completed,May (Trinity Semester)
PAY000172,J24B02/002,2025-03-15,2024,1701396.0,1818000.0,0.0,983000.0,Mobile Money,Pending,May (Trinity Semester)
PAY000173,M21B02/003,2025-01-23,2024,2383143.0,1818000.0,0.0,983000.0,Mobile Money,Pending,Jan (Easter Semester)
PAY000174,M21B02/003,2023-04-28,2024,1293089.0,1818000.0,0.0,983000.0,Cash,Failed,September (Advent)
PAY000175,M21B02/003,2023-12-03,2024,1038117.0,1818000.0,0.0,983000.0,Bank Transfer,Failed,May (Trinity Semester)
PAY000176,S24B02/004,2025-09-06,2024,974060.0,1818000.0,0.0,983000.0,Bank Transfer,Failed,September (Advent)
PAY000177,S24B02/004,2025-08-11,2023,2322995.0,1818000.0,0.0,983000.0,Credit Card,Pending,May (Trinity Semester)
PAY000178,S24B02/004,2025-04-25,2026,2037065.0,1818000.0,0.0,983000.0,Bank Transfer,Pending,May (Trinity Semester)
PAY000179,S24B02/004,2024-11-12,2025,1144709.0,1818000.0,0.0,983000.0,Credit Card,Failed,September (Advent)
PAY000180,S24B02/004,2025-02-19,2023,2050942.0,1818000.0,0.0,983000.0,Bank Transfer,Pending,May (Trinity Semester)
PAY000181,J23B02/003,2024-03-15,2025,2596025.0,1818000.0,0.0,983000.0,Cash,Pending,September (Advent)
PAY000182,J23B02/003,2024-09-10,2026,1160343.0,1818000.0,0.0,983000.0,Credit Card,Failed,Jan (Easter Semester)
PAY000183,J23B02/003,2025-04-09,2024,2168477.0,1818000.0,0.0,983000.0,Credit Card,Pending,Jan (Easter Semester)
PAY000184,J23B02/003,2025-11-06,2023,1290441.0,1818000.0,0.0,983000.0,Cash,Failed,Jan (Easter Semester)
PAY000185,S21B02/003,2023-05-18,2023,1264859.0,1818000.0,0.0,983000.0,Cash,Failed,Jan (Easter Semester)
PAY000186,S21B02/003,2025-03-18,2023,2008408.0,1818000.0,0.0,983000.0,Mobile Money,Pending,May (Trinity Semester)
PAY000187,S21B02/003,2023-08-08,2024,2785770.0,1818000.0,0.0,983000.0,Mobile Money,Completed,September (Advent)
PAY000188,S22B02/001,2024-11-29,2025,3630382.0,0.0,2727000.0,983000.0,Credit Card,Completed,Jan (Easter Semester)
PAY000189,S22B02/001,2023-04-02,2026,3395814.0,0.0,2727000.0,983000.0,Cash,Pending,September (Advent)
PAY000190,S24B02/005,2023-03-13,2026,2150072.0,1818000.0,0.0,983000.0,Mobile Money,Pending,Jan (Easter Semester)
PAY000191,S24B02/005,2024-08-18,2025,1301355.0,1818000.0,0.0,983000.0,Mobile Money,Failed,September (Advent)
PAY000192,S24B02/005,2025-11-08,2024,2130485.0,1818000.0,0.0,983000.0,Bank Transfer,Pending,May (Trinity Semester)
PAY000193,S24B02/005,2026-02-10,2023,1945817.0,1818000.0,0.0,983000.0,Mobile Money,Pending,September (Advent)
PAY000194,S24B02/005,2023-08-03,2025,1370451.0,1818000.0,0.0,983000.0,Credit Card,Failed,Jan (Easter Semester)
PAY000195,S24B02/005,2023-09-13,2026,2463671.0,1818000.0,0.0,983000.0,Credit Card,Pending,Jan (Easter Semester)
PAY000196,S23B02/001,2024-02-06,2025,1415550.0,1818000.0,0.0,983000.0,Cash,Pending,Jan (Easter Semester)
PAY000197,S23B02/001,2023-08-30,2025,1339282.0,1818000.0,0.0,983000.0,Credit Card,Failed,September (Advent)
PAY000198,M23B02/004,2024-05-11,2023,1557532.0,1818000.0,0.0,983000.0,Credit Card,Pending,September (Advent)
PAY000199,M23B02/004,2024-11-13,2025,1955745.0,1818000.0,0.0,983000.0,Mobile Money,Pending,May (Trinity Semester)
PAY000200,J23B02/004,2024-11-21,2026,1704288.0,1818000.0,0.0,983000.0,Mobile Money,Pending,May (Trinity Semester)
PAY000201,M23B02/005,2025-12-05,2024,2316741.0,0.0,2727000.0,983000.0,Mobile Money,Pending,Jan (Easter Semester)
PAY000202,M23B02/005,2023-02-22,2026,3531385.0,0.0,2727000.0,983000.0,Cash,Completed,Jan (Easter Semester)
PAY000203,M23B02/005,2024-04-22,2023,2325203.0,0.0,2727000.0,983000.0,Credit Card,Pending,Jan (Easter Semester)
PAY000204,M23B02/005,2023-07-26,2023,1470388.0,0.0,2727000.0,983000.0,Credit Card,Failed,May (Trinity Semester)
PAY000205,M23B02/005,2025-03-11,2023,2115274.0,0.0,2727000.0,983000.0,Credit Card,Pending,September (Advent)
PAY000206,M23B02/006,2025-06-19,2025,2788701.0,1818000.0,0.0,983000.0,Mobile Money,Completed,September (Advent)
PAY000207,M23B02/006,2023-07-21,2024,2301191.0,1818000.0,0.0,983000.0,Credit Card,Pending,May (Trinity Semester)
PAY000208,M23B02/006,2024-07-26,2025,2528439.0,1818000.0,0.0,983000.0,Bank Transfer,Pending,Jan (Easter Semester)
PAY000209,M23B02/006,2025-04-01,2023,1151927.0,1818000.0,0.0,983000.0,Mobile Money,Failed,Jan (Easter Semester)
PAY000210,J23B02/005,2025-05-23,2026,2141746.0,1818000.0,0.0,983000.0,Credit Card,Pending,September (Advent)
PAY000211,J23B02/005,2023-09-30,2023,1140062.0,1818000.0,0.0,983000.0,Bank Transfer,Failed,Jan (Easter Semester)
PAY000212,J23B02/005,2024-10-05,2025,2160629.0,1818000.0,0.0,983000.0,Credit Card,Pending,September (Advent)
PAY000213,J23B02/005,2025-10-31,2024,1153477.0,1818000.0,0.0,983000.0,Bank Transfer,Failed,May (Trinity Semester)
PAY000214,J23B02/005,2026-01-04,2023,2431888.0,1818000.0,0.0,983000.0,Bank Transfer,Pending,September (Advent)
PAY000215,J21B02/003,2023-08-21,2024,1648767.0,0.0,2727000.0,983000.0,Cash,Failed,Jan (Easter Semester)
PAY000216,J24B02/003,2024-04-09,2023,1697103.0,1818000.0,0.0,983000.0,Credit Card,Pending,May (Trinity Semester)
