grade_id,student_id,course_code,coursework_score,exam_score,grade,letter_grade,fcw,exam_status,absence_reason,semester,year,exam_date
GRD000016,J24B01/001,COURSE022,60.48,54.82,58.22,D,False,Completed,,May 2024 (Trinity Semester),2025,2025-10-24
GRD000017,J24B01/001,COURSE023,64.43,83.48,72.05,B,False,Completed,,May 2022 (Trinity Semester),2023,2023-09-19
GRD000018,J24B01/001,COURSE139,26.94,58.83,39.7,FCW,True,FCW,,September 2023 (Advent),2023,2023-12-09
GRD000019,S22B01/002,COURSE179,57.74,46.15,53.1,D,False,Completed,,Jan 2024 (Easter Semester),2024,2024-09-04
GRD000020,S22B01/002,COURSE194,73.78,43.78,61.78,C,False,Completed,,September 2023 (Advent),2023,2023-12-02
GRD000021,S22B01/002,COURSE056,45.5,,27.3,MEX,False,MEX,Tuition fee arrears - unable to sit exam,Jan 2025 (Easter Semester),2025,2025-12-27
GRD000022,S22B01/002,COURSE044,77.77,87.51,81.67,A,False,Completed,,May 2025 (Trinity Semester),2025,2025-04-27
GRD000023,M22B01/001,COURSE187,63.86,46.74,57.01,D,False,Completed,,Jan 2023 (Easter Semester),2024,2024-01-24
GRD000024,M22B01/001,COURSE138,54.42,80.12,64.7,C,False,Completed,,Jan 2024 (Easter Semester),2024,2024-06-09
GRD000025,M22B01/001,COURSE024,66.75,63.48,65.44,C,False,Completed,,Jan 2024 (Easter Semester),2024,2024-06-18
GRD000026,M22B01/001,COURSE069,69.7,64.44,67.6,C,False,Completed,,Jan 2022 (Easter Semester),2023,2023-06-30
GRD000027,J22B01/001,COURSE168,88.19,53.76,74.42,B,False,Completed,,September 2025 (Advent),2025,2025-07-09
GRD000028,J22B01/001,COURSE069,52.04,44.25,48.92,F,False,Completed,,Jan 2025 (Easter Semester),2025,2025-05-02
GRD000029,J22B01/001,COURSE134,56.9,48.62,53.59,D,False,Completed,,September 2026 (Advent),2026,2026-01-04
GRD000030,J22B01/001,COURSE187,68.27,65.31,67.09,C,False,Completed,,May 2024 (Trinity Semester),2024,2024-05-31
GRD000031,J22B01/001,COURSE028,48.81,73.84,58.82,D,False,Completed,,September 2023 (Advent),2024,2024-04-13
GRD000032,J22B01/001,COURSE144,87.75,70.37,80.8,A,False,Completed,,May 2025 (Trinity Semester),2025,2025-08-28
GRD000033,J22B01/001,COURSE119,26.85,94.81,54.03,FCW,True,FCW,,Jan 2023 (Easter Semester),2023,2023-08-28
GRD000034,J22B01/001,COURSE049,76.2,94.35,83.46,A,False,Completed,,May 2023 (Trinity Semester),2023,2023-04-18
GRD000035,J22B01/001,COURSE030,81.36,84.36,82.56,A,False,Completed,,May 2023 (Trinity Semester),2024,2024-09-03
GRD000036,J22B01/001,COURSE123,68.08,61.07,65.28,C,False,Completed,,September 2022 (Advent),2023,2023-05-21
GRD000037,J23B01/001,COURSE032,70.6,54.37,64.11,C,False,Completed,,May 2025 (Trinity Semester),2025,2025-04-20
GRD000038,J23B01/001,COURSE152,71.51,25.6,53.15,D,False,Completed,,Jan 2025 (Easter Semester),2025,2025-07-26
GRD000039,J23B01/001,COURSE040,65.64,85.17,73.45,B,False,Completed,,Jan 2024 (Easter Semester),2025,2025-11-25
GRD000040,J23B01/001,COURSE104,66.41,90.91,76.21,B+,False,Completed,,May 2022 (Trinity Semester),2023,2023-08-21
GRD000041,J23B01/001,COURSE017,61.04,80.04,68.64,C,False,Completed,,September 2023 (Advent),2024,2024-01-21
GRD000042,J23B01/001,COURSE125,51.83,79.43,62.87,C,False,Completed,,September 2023 (Advent),2023,2023-04-18
GRD000043,J23B01/001,COURSE177,68.49,61.7,65.77,C,False,Completed,,September 2024 (Advent),2025,2025-08-28
GRD000044,J23B01/001,COURSE171,26.39,61.18,40.31,FCW,True,FCW,,May 2024 (Trinity Semester),2025,2025-02-28
GRD000045,S24B01/001,COURSE165,68.2,77.43,71.89,B,False,Completed,,Jan 2025 (Easter Semester),2025,2025-04-20
GRD000046,S24B01/001,COURSE014,88.41,95.53,91.26,A,False,Completed,,Jan 2022 (Easter Semester),2023,2023-07-19
GRD000047,S24B01/001,COURSE058,83.69,56.57,72.84,B,False,Completed,,Jan 2023 (Easter Semester),2023,2023-09-25
GRD000048,S23B01/001,COURSE132,60.43,,36.26,MEX,False,MEX,Financial constraints - pending fees,May 2023 (Trinity Semester),2024,2024-11-11
GRD000049,S23B01/001,COURSE021,76.08,72.79,74.76,B,False,Completed,,September 2024 (Advent),2024,2024-10-25
GRD000050,S23B01/001,COURSE028,89.43,100.0,93.66,A,False,Completed,,May 2022 (Trinity Semester),2023,2023-05-21
GRD000051,S23B01/001,COURSE026,99.01,87.41,94.37,A,False,Completed,,May 2023 (Trinity Semester),2023,2023-09-22
GRD000052,S23B01/001,COURSE126,72.92,85.24,77.85,B+,False,Completed,,September 2023 (Advent),2023,2023-11-04
GRD000053,M24B01/001,COURSE131,89.92,62.79,79.07,B+,False,Completed,,Jan 2023 (Easter Semester),2023,2023-10-09
GRD000054,M24B01/001,COURSE013,57.01,,34.21,MEX,False,MEX,Tuition fee arrears - unable to sit exam,Jan 2023 (Easter Semester),2023,2023-12-01
GRD000055,M24B01/001,COURSE096,53.49,51.85,52.83,D,False,Completed,,September 2023 (Advent),2024,2024-04-11
GRD000056,M24B01/001,COURSE035,44.27,68.75,54.06,D,False,Completed,,Jan 2025 (Easter Semester),2025,2025-11-05
GRD000057,M24B01/001,COURSE031,50.0,53.25,51.3,D,False,Completed,,Jan 2022 (Easter Semester),2023,2023-02-26
GRD000058,M24B01/001,COURSE186,75.52,67.72,72.4,B,False,Completed,,September 2026 (Advent),2026,2026-01-06
GRD000059,M24B01/001,COURSE176,71.44,85.48,77.06,B+,False,Completed,,May 2026 (Trinity Semester),2026,2026-01-24
GRD000060,J23B01/002,COURSE032,77.97,87.78,81.89,A,False,Completed,,Jan 2024 (Easter Semester),2024,2024-04-21
GRD000061,J23B01/002,COURSE109,66.2,89.18,75.39,B+,False,Completed,,September 2025 (Advent),2026,2026-01-24
GRD000062,J23B01/002,COURSE034,70.4,67.53,69.25,C,False,Completed,,May 2022 (Trinity Semester),2023,2023-05-05
GRD000063,J23B01/002,COURSE149,86.92,51.92,72.92,B,False,Completed,,Jan 2023 (Easter Semester),2023,2023-11-11
GRD000064,J23B01/002,COURSE081,95.35,60.77,81.52,A,False,Completed,,September 2024 (Advent),2025,2025-08-06
GRD000065,J23B01/002,COURSE132,46.73,74.8,57.96,D,False,Completed,,Jan 2024 (Easter Semester),2024,2024-09-15
GRD000066,S22B01/003,COURSE112,59.34,95.39,73.76,B,False,Completed,,Jan 2022 (Easter Semester),2023,2023-07-15
GRD000067,S22B01/003,COURSE126,58.51,69.72,62.99,C,False,Completed,,Jan 2023 (Easter Semester),2023,2023-08-09
GRD000068,S22B01/003,COURSE192,43.62,77.19,57.05,D,False,Completed,,September 2024 (Advent),2024,2024-11-03
GRD000069,S22B01/003,COURSE066,53.34,75.4,62.16,C,False,Completed,,Jan 2023 (Easter Semester),2023,2023-07-14
GRD000070,S22B01/003,COURSE017,58.57,34.3,48.86,F,False,Completed,,May 2024 (Trinity Semester),2025,2025-12-12
GRD000071,S22B01/003,COURSE176,66.97,66.3,66.7,C,False,Completed,,Jan 2024 (Easter Semester),2025,2025-05-27
GRD000072,S22B01/003,COURSE104,78.22,88.34,82.27,A,False,Completed,,Jan 2024 (Easter Semester),2025,2025-01-24
GRD000073,S22B01/003,COURSE099,93.69,77.96,87.4,A,False,Completed,,September 2023 (Advent),2024,2024-06-15
GRD000074,S22B01/003,COURSE014,69.18,43.59,58.94,D,False,Completed,,September 2023 (Advent),2023,2023-11-03
GRD000075,S22B01/003,COURSE069,68.03,68.22,68.11,C,False,Completed,,May 2024 (Trinity Semester),2024,2024-01-13
GRD000076,J23B01/003,COURSE088,62.02,74.49,67.01,C,False,Completed,,September 2024 (Advent),2025,2025-05-17
GRD000077,J23B01/003,COURSE015,81.83,52.72,70.19,B,False,Completed,,Jan 2024 (Easter Semester),2024,2024-03-10
GRD000078,J23B01/003,COURSE070,52.49,62.91,56.66,D,False,Completed,,September 2023 (Advent),2023,2023-08-18
GRD000079,J23B01/003,COURSE188,55.77,40.38,49.61,F,False,Completed,,Jan 2022 (Easter Semester),2023,2023-07-29
GRD000080,J23B01/003,COURSE158,50.05,46.52,48.64,F,False,Completed,,Jan 2025 (Easter Semester),2025,2025-03-13
GRD000081,J23B01/003,COURSE192,83.13,90.54,86.09,A,False,Completed,,September 2023 (Advent),2024,2024-10-10
GRD000082,J23B01/003,COURSE130,48.57,73.19,58.42,D,False,Completed,,September 2023 (Advent),2024,2024-12-03
GRD000083,M23B01/001,COURSE045,78.1,42.62,63.91,C,False,Completed,,May 2023 (Trinity Semester),2024,2024-05-07
GRD000084,M23B01/001,COURSE107,67.41,100.0,80.45,A,False,Completed,,Jan 2024 (Easter Semester),2024,2024-11-06
GRD000085,M23B01/001,COURSE085,75.16,61.32,69.62,C,False,Completed,,Jan 2024 (Easter Semester),2025,2025-09-19
GRD000086,M23B01/001,COURSE046,56.6,34.66,47.82,F,False,Completed,,September 2023 (Advent),2023,2023-04-18
GRD000087,J22B01/002,COURSE028,72.06,94.22,80.92,A,False,Completed,,Jan 2023 (Easter Semester),2023,2023-08-27
GRD000088,J22B01/002,COURSE088,52.8,35.97,46.07,F,False,Completed,,Jan 2023 (Easter Semester),2023,2023-08-30
GRD000089,J22B01/002,COURSE095,55.04,78.22,64.31,C,False,Completed,,September 2025 (Advent),2025,2025-06-02
GRD000090,J22B01/002,COURSE045,58.57,52.69,56.22,D,False,Completed,,September 2023 (Advent),2023,2023-06-06
GRD000091,J22B01/002,COURSE081,65.29,68.45,66.55,C,False,Completed,,Jan 2025 (Easter Semester),2025,2025-06-20
GRD000092,J22B01/002,COURSE070,44.17,23.26,35.81,FEX,False,FEX,Disciplinary action,Jan 2023 (Easter Semester),2023,2023-07-28
GRD000093,S21B01/002,COURSE142,57.54,,34.52,MEX,False,MEX,Transportation issues,September 2024 (Advent),2024,2024-09-20
GRD000094,S21B01/002,COURSE106,55.39,49.74,53.13,D,False,Completed,,May 2025 (Trinity Semester),2025,2025-12-30
GRD000095,S21B01/002,COURSE133,79.12,55.33,69.6,C,False,Completed,,May 2024 (Trinity Semester),2024,2024-07-15
GRD000096,S21B01/002,COURSE095,35.08,68.96,48.63,F,False,Completed,,September 2023 (Advent),2023,2023-07-31
GRD000097,S24B01/002,COURSE107,75.88,53.06,66.75,C,False,Completed,,Jan 2022 (Easter Semester),2023,2023-11-14
GRD000098,S24B01/002,COURSE192,56.61,55.26,56.07,D,False,Completed,,September 2024 (Advent),2025,2025-01-03
GRD000099,S24B01/002,COURSE177,59.8,81.6,68.52,C,False,Completed,,September 2024 (Advent),2025,2025-07-03
GRD000100,S24B01/002,COURSE152,63.29,77.59,69.01,C,False,Completed,,Jan 2025 (Easter Semester),2025,2025-07-17
GRD000101,S24B01/002,COURSE126,50.47,59.24,53.98,D,False,Completed,,Jan 2024 (Easter Semester),2025,2025-06-09
GRD000102,S24B01/002,COURSE125,79.31,52.92,68.75,C,False,Completed,,Jan 2022 (Easter Semester),2023,2023-12-26
GRD000103,S24B01/002,COURSE017,80.18,55.57,70.34,B,False,Completed,,May 2026 (Trinity Semester),2026,2026-02-15
GRD000104,S24B01/002,COURSE001,60.18,90.05,72.13,B,False,Completed,,May 2022 (Trinity Semester),2023,2023-09-02
GRD000105,M24B01/002,COURSE046,58.46,67.18,61.95,C,False,Completed,,September 2024 (Advent),2025,2025-08-16
GRD000106,M24B01/002,COURSE078,74.25,68.4,71.91,B,False,Completed,,Jan 2024 (Easter Semester),2025,2025-05-24
GRD000107,M24B01/002,COURSE047,68.83,64.15,66.96,C,False,Completed,,September 2025 (Advent),2025,2025-09-18
GRD000108,M24B01/002,COURSE053,45.47,70.22,55.37,D,False,Completed,,Jan 2024 (Easter Semester),2024,2024-08-01
GRD000109,M24B01/002,COURSE093,54.01,76.64,63.06,C,False,Completed,,September 2022 (Advent),2023,2023-04-05
GRD000110,M24B01/002,COURSE158,85.58,37.92,66.52,C,False,Completed,,Jan 2023 (Easter Semester),2024,2024-01-31
GRD000111,M24B01/002,COURSE048,85.61,58.83,74.9,B,False,Completed,,Jan 2025 (Easter Semester),2025,2025-09-03
GRD000112,J24B01/002,COURSE047,63.04,51.31,58.35,D,False,Completed,,May 2023 (Trinity Semester),2024,2024-11-07
GRD000113,J24B01/002,COURSE122,67.83,66.0,67.1,C,False,Completed,,September 2025 (Advent),2025,2025-01-02
GRD000114,J24B01/002,COURSE046,81.15,,48.69,MEX,False,MEX,Financial constraints - pending fees,Jan 2025 (Easter Semester),2025,2025-06-15
GRD000115,J24B01/002,COURSE084,53.88,89.91,68.29,C,False,Completed,,May 2025 (Trinity Semester),2025,2025-10-22
GRD000116,J24B01/002,COURSE137,74.97,66.36,71.53,B,False,Completed,,September 2025 (Advent),2025,2025-01-24
GRD000117,J24B01/002,COURSE104,62.29,60.4,61.53,C,False,Completed,,May 2024 (Trinity Semester),2024,2024-03-25
GRD000118,J24B01/002,COURSE031,61.38,67.53,63.84,C,False,Completed,,Jan 2025 (Easter Semester),2025,2025-01-29
GRD000119,J24B01/002,COURSE130,61.87,55.39,59.28,D,False,Completed,,September 2023 (Advent),2023,2023-06-21
GRD000120,J24B01/002,COURSE048,67.62,52.46,61.56,C,False,Completed,,May 2025 (Trinity Semester),2025,2025-05-30
GRD000121,M22B02/001,COURSE197,69.84,61.65,66.56,C,False,Completed,,Jan 2024 (Easter Semester),2025,2025-08-13
GRD000122,M22B02/001,COURSE187,75.45,79.84,77.21,B+,False,Completed,,May 2023 (Trinity Semester),2024,2024-02-09
GRD000123,M22B02/001,COURSE097,79.83,69.77,75.81,B+,False,Completed,,Jan 2023 (Easter Semester),2023,2023-04-30
GRD000124,M22B02/001,COURSE033,71.52,60.16,66.98,C,False,Completed,,September 2025 (Advent),2025,2025-08-30
GRD000125,M22B02/002,COURSE009,75.16,76.86,75.84,B+,False,Completed,,May 2022 (Trinity Semester),2023,2023-06-19
GRD000126,M22B02/002,COURSE007,41.49,70.68,53.17,D,False,Completed,,May 2025 (Trinity Semester),2025,2025-08-19
GRD000127,M22B02/002,COURSE108,85.52,59.66,75.18,B+,False,Completed,,September 2022 (Advent),2023,2023-12-20
GRD000128,M22B02/002,COURSE025,56.38,58.7,57.31,D,False,Completed,,September 2022 (Advent),2023,2023-08-26
GRD000129,M22B02/002,COURSE029,42.43,66.89,52.21,D,False,Completed,,September 2022 (Advent),2023,2023-03-18
GRD000130,J22B02/001,COURSE158,65.45,67.96,66.45,C,False,Completed,,May 2024 (Trinity Semester),2024,2024-03-22
GRD000131,J22B02/001,COURSE178,71.24,53.03,63.96,C,False,Completed,,May 2022 (Trinity Semester),2023,2023-08-28
GRD000132,J22B02/001,COURSE171,69.1,71.65,70.12,B,False,Completed,,May 2024 (Trinity Semester),2025,2025-04-28
GRD000133,J22B02/001,COURSE121,57.67,71.3,63.12,C,False,Completed,,Jan 2024 (Easter Semester),2025,2025-10-21
GRD000134,J22B02/001,COURSE200,66.21,55.53,61.94,C,False,Completed,,May 2023 (Trinity Semester),2024,2024-10-15
GRD000135,S23B02/001,COURSE163,69.24,60.64,65.8,C,False,Completed,,September 2022 (Advent),2023,2023-12-30
GRD000136,S23B02/001,COURSE092,75.46,61.41,69.84,C,False,Completed,,September 2025 (Advent),2025,2025-05-22
GRD000137,S23B02/001,COURSE041,45.65,69.0,54.99,D,False,Completed,,Jan 2023 (Easter Semester),2023,2023-03-18
GRD000138,S23B02/001,COURSE062,68.44,48.78,60.58,C,False,Completed,,September 2022 (Advent),2023,2023-05-18
GRD000139,S23B02/001,COURSE082,76.26,75.47,75.94,B+,False,Completed,,May 2024 (Trinity Semester),2025,2025-02-03
GRD000140,S23B02/001,COURSE133,51.95,55.11,53.21,D,False,Completed,,Jan 2023 (Easter Semester),2023,2023-05-17
GRD000141,M21B02/001,COURSE101,62.87,53.62,59.17,D,False,Completed,,Jan 2024 (Easter Semester),2024,2024-12-01
GRD000142,M21B02/001,COURSE016,74.61,67.23,71.66,B,False,Completed,,September 2024 (Advent),2025,2025-08-14
GRD000143,M21B02/001,COURSE116,48.6,52.66,50.22,D,False,Completed,,September 2023 (Advent),2024,2024-04-20
GRD000144,M21B02/001,COURSE074,82.82,88.03,84.9,A,False,Completed,,May 2023 (Trinity Semester),2023,2023-04-02
GRD000145,M21B02/001,COURSE150,73.08,61.83,68.58,C,False,Completed,,Jan 2024 (Easter Semester),2024,2024-04-19
GRD000146,M21B02/001,COURSE019,58.4,73.25,64.34,C,False,Completed,,May 2024 (Trinity Semester),2024,2024-07-02
GRD000147,M21B02/001,COURSE192,66.14,40.85,56.02,D,False,Completed,,September 2023 (Advent),2024,2024-07-29
GRD000148,S24B02/001,COURSE172,80.48,85.19,82.36,A,False,Completed,,Jan 2025 (Easter Semester),2025,2025-02-08
GRD000149,S24B02/001,COURSE080,76.06,48.63,65.09,C,False,Completed,,May 2025 (Trinity Semester),2025,2025-06-24
GRD000150,S24B02/001,COURSE121,55.45,37.13,48.12,F,False,Completed,,September 2024 (Advent),2025,2025-08-09
GRD000151,S24B02/002,COURSE075,88.94,59.65,77.22,B+,False,Completed,,May 2024 (Trinity Semester),2025,2025-02-10
GRD000152,S24B02/002,COURSE048,100.0,94.33,97.73,A,False,Completed,,September 2022 (Advent),2023,2023-03-12
GRD000153,S24B02/002,COURSE069,51.45,54.38,52.62,D,False,Completed,,May 2024 (Trinity Semester),2025,2025-03-12
GRD000154,J21B02/001,COURSE096,71.99,38.68,58.67,D,False,Completed,,September 2025 (Advent),2025,2025-08-10
GRD000155,J21B02/001,COURSE133,58.43,56.93,57.83,D,False,Completed,,September 2024 (Advent),2024,2024-03-05
GRD000156,J21B02/001,COURSE152,92.77,67.42,82.63,A,False,Completed,,Jan 2023 (Easter Semester),2023,2023-07-07
GRD000157,J21B02/001,COURSE149,60.73,55.53,58.65,D,False,Completed,,September 2024 (Advent),2024,2024-05-05
GRD000158,J21B02/001,COURSE054,78.41,57.55,70.07,B,False,Completed,,May 2024 (Trinity Semester),2024,2024-09-29
GRD000159,J21B02/001,COURSE052,64.25,55.41,60.71,C,False,Completed,,Jan 2025 (Easter Semester),2025,2025-02-21
GRD000160,J21B02/001,COURSE063,42.24,50.06,45.37,F,False,Completed,,September 2025 (Advent),2025,2025-04-10
GRD000161,J21B02/001,COURSE087,57.47,61.05,58.9,D,False,Completed,,September 2023 (Advent),2024,2024-02-16
GRD000162,J21B02/001,COURSE123,61.71,63.67,62.49,C,False,Completed,,May 2024 (Trinity Semester),2024,2024-06-29
GRD000163,S22B02/001,COURSE134,57.67,85.24,68.7,C,False,Completed,,September 2024 (Advent),2025,2025-05-07
GRD000164,S22B02/001,COURSE189,79.22,62.97,72.72,B,False,Completed,,September 2024 (Advent),2024,2024-08-03
GRD000165,S22B02/001,COURSE070,68.81,59.42,65.05,C,False,Completed,,September 2023 (Advent),2024,2024-12-06
GRD000166,J21B02/002,COURSE040,22.35,,13.41,FCW,True,FCW,Financial constraints - pending fees,May 2025 (Trinity Semester),2025,2025-02-09
GRD000167,J21B02/002,COURSE131,65.31,69.58,67.02,C,False,Completed,,Jan 2024 (Easter Semester),2025,2025-10-20
GRD000168,J21B02/002,COURSE007,40.81,72.49,53.48,D,False,Completed,,September 2022 (Advent),2023,2023-04-03
GRD000169,J21B02/002,COURSE159,60.79,27.7,47.55,FEX,False,FEX,Disciplinary action,Jan 2025 (Easter Semester),2025,2025-07-10
GRD000170,J21B02/002,COURSE036,61.24,83.76,70.25,B,False,Completed,,September 2023 (Advent),2024,2024-04-14
GRD000171,J21B02/002,COURSE128,68.39,80.04,73.05,B,False,Completed,,May 2024 (Trinity Semester),2025,2025-12-21
GRD000172,J21B02/002,COURSE118,81.27,48.21,68.05,C,False,Completed,,September 2023 (Advent),2024,2024-08-16
GRD000173,J21B02/002,COURSE191,53.91,71.77,61.05,C,False,Completed,,September 2024 (Advent),2025,2025-11-04
GRD000174,J21B02/002,COURSE019,59.52,61.42,60.28,C,False,Completed,,Jan 2024 (Easter Semester),2025,2025-09-03
GRD000175,J21B02/002,COURSE077,84.3,60.34,74.72,B,False,Completed,,May 2023 (Trinity Semester),2023,2023-07-21
GRD000176,M22B02/003,COURSE116,50.47,52.49,51.28,D,False,Completed,,May 2024 (Trinity Semester),2024,2024-10-08
GRD000177,M22B02/003,COURSE192,97.74,62.33,83.58,A,False,Completed,,May 2022 (Trinity Semester),2023,2023-11-19
GRD000178,M22B02/003,COURSE088,44.54,38.46,42.11,F,False,Completed,,September 2024 (Advent),2024,2024-10-07
GRD000179,M22B02/003,COURSE039,55.63,62.05,58.2,D,False,Completed,,September 2024 (Advent),2025,2025-07-30
GRD000180,M22B02/003,COURSE070,79.24,77.79,78.66,B+,False,Completed,,Jan 2024 (Easter Semester),2025,2025-11-22
GRD000181,M22B02/003,COURSE094,64.9,58.19,62.22,C,False,Completed,,May 2023 (Trinity Semester),2024,2024-12-02
GRD000182,M22B02/003,COURSE042,70.09,38.77,57.56,D,False,Completed,,Jan 2024 (Easter Semester),2024,2024-01-16
GRD000183,M22B02/003,COURSE030,94.72,74.81,86.76,A,False,Completed,,May 2024 (Trinity Semester),2024,2024-05-11
GRD000184,M24B02/001,COURSE065,78.0,48.89,66.36,C,False,Completed,,September 2023 (Advent),2024,2024-07-08
GRD000185,M24B02/001,COURSE162,84.24,58.1,73.78,B,False,Completed,,September 2024 (Advent),2024,2024-12-12
GRD000186,M24B02/001,COURSE144,50.71,64.41,56.19,D,False,Completed,,Jan 2022 (Easter Semester),2023,2023-10-05
GRD000187,M24B02/001,COURSE167,64.06,48.82,57.96,D,False,Completed,,Jan 2024 (Easter Semester),2024,2024-07-15
GRD000188,M24B02/001,COURSE082,51.58,50.4,51.11,D,False,Completed,,September 2024 (Advent),2024,2024-03-15
GRD000189,M24B02/001,COURSE035,50.54,59.18,54.0,D,False,Completed,,May 2025 (Trinity Semester),2026,2026-02-07
GRD000190,M24B02/001,COURSE022,44.17,54.63,48.35,F,False,Completed,,Jan 2023 (Easter Semester),2024,2024-06-12
GRD000191,M24B02/001,COURSE188,80.68,77.35,79.35,B+,False,Completed,,Jan 2024 (Easter Semester),2025,2025-08-08
GRD000192,M23B02/001,COURSE064,49.25,79.37,61.3,C,False,Completed,,September 2024 (Advent),2024,2024-08-01
GRD000193,M23B02/001,COURSE144,35.5,100.0,61.3,C,False,Completed,,Jan 2023 (Easter Semester),2024,2024-05-07
GRD000194,M23B02/001,COURSE028,84.5,56.6,73.34,B,False,Completed,,Jan 2024 (Easter Semester),2025,2025-01-15
GRD000195,M23B02/001,COURSE193,70.74,43.99,60.04,C,False,Completed,,Jan 2025 (Easter Semester),2025,2025-12-03
GRD000196,M23B02/001,COURSE191,65.91,62.25,64.45,C,False,Completed,,Jan 2022 (Easter Semester),2023,2023-03-22
GRD000197,M23B02/001,COURSE122,52.48,57.97,54.68,D,False,Completed,,September 2024 (Advent),2025,2025-08-04
GRD000198,S22B02/002,COURSE026,56.5,48.02,53.11,D,False,Completed,,Jan 2024 (Easter Semester),2024,2024-04-23
GRD000199,S22B02/002,COURSE120,52.13,43.37,48.63,F,False,Completed,,Jan 2024 (Easter Semester),2024,2024-11-12
GRD000200,S22B02/002,COURSE007,77.86,17.54,53.73,FEX,False,FEX,Academic probation,Jan 2025 (Easter Semester),2026,2026-02-09
GRD000201,J22B02/002,COURSE051,46.67,77.62,59.05,D,False,Completed,,September 2025 (Advent),2025,2025-01-28
GRD000202,J22B02/002,COURSE120,70.54,77.07,73.15,B,False,Completed,,May 2024 (Trinity Semester),2025,2025-12-09
GRD000203,J22B02/002,COURSE016,78.74,94.06,84.87,A,False,Completed,,Jan 2023 (Easter Semester),2023,2023-10-17
GRD000204,J22B02/002,COURSE176,62.66,43.14,54.85,D,False,Completed,,September 2024 (Advent),2025,2025-02-26
GRD000205,J22B02/002,COURSE032,69.07,54.96,63.43,C,False,Completed,,Jan 2024 (Easter Semester),2025,2025-03-20
GRD000206,J22B02/002,COURSE154,50.64,66.5,56.98,D,False,Completed,,September 2024 (Advent),2025,2025-04-21
GRD000207,S24B02/003,COURSE189,77.99,52.46,67.78,C,False,Completed,,Jan 2023 (Easter Semester),2024,2024-11-10
GRD000208,S24B02/003,COURSE087,84.12,50.16,70.54,B,False,Completed,,May 2024 (Trinity Semester),2025,2025-07-09
GRD000209,S24B02/003,COURSE017,61.34,70.79,65.12,C,False,Completed,,September 2025 (Advent),2025,2025-07-07
GRD000210,S24B02/003,COURSE067,59.18,10.79,39.82,FEX,False,FEX,Academic probation,May 2022 (Trinity Semester),2023,2023-09-04
GRD000211,S24B02/003,COURSE164,78.91,55.65,69.61,C,False,Completed,,Jan 2022 (Easter Semester),2023,2023-07-10
GRD000212,S24B02/003,COURSE056,76.17,46.04,64.12,C,False,Completed,,September 2023 (Advent),2023,2023-11-10
GRD000213,S24B02/003,COURSE105,48.6,77.94,60.34,C,False,Completed,,May 2025 (Trinity Semester),2025,2025-05-26
GRD000214,S24B02/003,COURSE065,70.11,58.42,65.43,C,False,Completed,,May 2022 (Trinity Semester),2023,2023-07-08
GRD000215,S24B02/003,COURSE111,70.33,50.69,62.47,C,False,Completed,,September 2023 (Advent),2023,2023-04-29
GRD000216,M23B02/002,COURSE032,66.65,66.93,66.76,C,False,Completed,,Jan 2024 (Easter Semester),2025,2025-12-06
GRD000217,M23B02/002,COURSE048,59.39,52.47,56.62,D,False,Completed,,September 2024 (Advent),2025,2025-12-21
GRD000218,M23B02/002,COURSE082,66.05,64.18,65.3,C,False,Completed,,Jan 2023 (Easter Semester),2024,2024-05-31
